Settimana,2001_max,2001_media,2001_min,5897_max,5897_media,5897_min,5909_max,5909_media,5909_min,5911_max,5911_media,5911_min,5920_max,5920_media,5920_min,8162_max,8162_media,8162_min
48,7.86,5.56,2.86,7.29,6.77,5.0,7.57,6.87,5.14,7.71,6.83,4.71,8.14,6.73,4.43,7.29,5.43,3.14
49,7.14,4.17,1.43,6.86,5.19,2.43,7.14,5.43,3.0,6.86,5.03,2.43,7.43,4.96,1.86,5.86,3.99,1.57
50,5.29,3.11,1.0,4.86,3.51,1.57,5.14,3.73,1.71,4.86,3.54,1.57,5.29,3.64,1.57,4.43,2.93,0.71
51,9.0,7.23,5.43,8.0,7.26,5.71,8.43,7.57,6.0,8.29,7.39,5.71,8.57,7.61,6.14,8.29,7.0,5.0
52,10.0,8.49,6.57,9.57,8.67,7.14,10.14,9.01,7.57,10.0,8.76,7.29,10.43,8.86,7.0,9.43,8.26,6.57
1,9.86,8.84,7.14,9.71,8.96,7.43,10.0,9.26,7.71,9.71,9.06,7.43,10.29,9.24,7.43,9.57,8.64,7.14
2,10.57,6.23,2.29,10.14,7.89,5.14,10.71,7.99,5.14,10.43,7.51,4.43,10.86,7.4,3.86,9.57,5.87,2.0
3,6.0,3.14,0.14,5.57,4.09,1.86,6.14,4.3,2.0,5.57,3.96,1.71,6.43,4.24,1.43,5.0,3.06,0.43
4,8.0,4.43,0.57,7.86,5.93,3.71,8.29,6.09,4.0,8.14,5.7,3.0,9.0,6.06,2.57,7.0,4.11,0.57
5,13.71,7.8,1.71,14.0,9.03,4.33,13.86,9.36,5.14,13.71,8.44,3.86,14.29,8.49,3.14,12.57,7.3,1.57
6,8.29,3.09,-1.71,8.17,4.53,0.83,9.0,4.97,1.14,9.6,4.56,0.4,9.14,4.59,-0.29,7.14,2.61,-1.43
7,15.57,8.63,1.57,15.57,10.63,6.0,15.86,10.97,6.14,16.0,9.73,4.57,16.57,9.74,3.14,14.14,7.74,1.43
8,13.71,9.73,5.86,13.14,10.46,7.71,13.43,10.71,7.86,13.43,10.49,7.71,13.86,10.8,7.71,12.57,9.37,5.86
9,12.0,7.27,2.0,11.29,8.37,4.86,11.71,8.46,4.86,12.0,8.09,4.29,12.86,8.47,3.86,11.14,6.94,2.29
10,17.29,12.41,7.43,16.57,13.04,9.43,16.71,13.34,9.29,17.14,12.93,8.57,18.14,13.37,8.57,16.29,11.94,6.71
11,15.71,10.97,5.29,15.14,12.01,8.43,15.71,12.26,8.43,15.71,11.93,7.71,16.57,12.59,7.86,15.29,10.7,4.71
12,19.43,13.79,8.0,19.0,14.81,10.86,19.14,15.07,11.29,19.57,14.54,10.14,20.0,14.94,9.71,18.57,13.3,7.57
13,17.86,13.21,7.57,17.29,13.74,9.57,17.57,14.07,10.0,18.14,13.7,9.14,18.57,13.94,8.43,17.0,12.81,7.43
14,16.29,10.73,4.29,15.14,11.49,7.57,15.86,11.8,7.71,16.57,11.73,7.14,17.14,12.26,6.86,15.43,10.47,4.14
15,18.0,13.11,6.43,17.29,13.61,9.57,17.57,13.81,9.43,18.14,13.89,9.29,19.14,14.51,9.14,17.29,12.81,6.86
