Settimana,2001_max,2001_media,2001_min,5897_max,5897_media,5897_min,5909_max,5909_media,5909_min,5911_max,5911_media,5911_min,5920_max,5920_media,5920_min,8162_max,8162_media,8162_min
48,8.57,5.53,2.14,8.71,6.46,3.86,8.86,6.54,4.0,9.0,6.27,3.71,9.57,6.59,3.29,8.29,5.19,2.14
49,7.29,3.43,0.57,6.71,4.39,2.0,6.71,4.54,2.0,6.71,4.2,1.71,7.43,4.16,1.57,6.0,3.04,0.43
50,9.71,5.76,2.29,8.86,6.81,4.29,9.43,6.94,4.57,9.14,6.59,4.14,10.0,6.53,3.29,8.29,5.17,1.86
51,14.29,8.21,3.14,13.43,9.67,6.0,14.43,10.2,6.0,13.43,9.06,5.14,14.57,8.49,3.71,12.29,7.46,3.14
52,11.14,8.81,6.43,10.71,9.63,8.29,10.86,9.69,8.0,10.86,9.51,7.86,11.14,9.53,7.29,10.29,8.49,6.14
1,9.0,6.27,3.71,8.29,6.59,4.43,8.57,6.89,4.71,8.43,6.47,4.29,9.0,6.56,4.0,7.86,5.91,3.43
2,7.86,3.87,0.86,7.14,5.11,3.0,7.43,5.34,2.86,7.43,4.96,2.71,8.43,5.0,2.14,6.71,3.59,1.14
3,7.29,3.43,0.29,7.0,4.31,1.86,7.0,4.53,2.29,6.71,4.09,1.71,7.86,4.3,1.43,6.29,2.9,0.0
4,9.86,4.2,-0.43,9.43,6.04,1.86,10.0,6.16,1.86,9.71,5.5,1.71,10.71,5.51,0.57,8.57,3.47,-0.71
5,12.14,5.69,0.57,11.86,7.41,3.29,12.0,7.73,3.86,11.71,6.7,2.43,12.43,6.36,1.29,11.0,4.93,0.43
6,12.86,10.16,7.29,12.14,10.61,8.43,12.14,10.76,8.57,12.43,10.56,8.29,13.43,11.0,8.29,11.86,9.7,6.57
7,15.57,9.29,3.86,14.71,11.13,7.14,14.14,10.97,7.0,14.71,10.44,6.29,15.71,10.5,5.29,14.29,8.54,3.29
8,13.43,9.59,5.43,13.29,10.57,8.0,13.0,10.54,8.0,13.43,10.41,7.43,14.71,11.04,7.0,12.86,9.14,5.14
9,11.29,9.9,7.71,11.0,9.97,8.14,11.0,9.99,8.29,11.14,9.96,8.0,11.71,10.4,8.43,11.0,9.6,7.71
10,12.0,9.33,6.14,11.57,9.66,7.0,11.57,9.73,7.0,11.86,9.69,6.86,12.71,10.11,6.86,11.43,8.96,5.86
11,18.29,12.71,6.71,17.71,13.57,9.43,17.57,13.59,9.71,17.71,13.31,8.86,19.0,13.74,8.0,17.0,12.1,6.29
12,19.29,14.14,8.43,18.71,14.86,11.0,18.43,14.9,11.0,18.71,14.7,10.57,20.29,15.33,10.14,18.57,13.61,8.14
13,13.43,10.73,7.29,12.86,11.01,8.43,13.29,11.11,8.0,12.86,11.0,8.29,13.86,11.5,8.43,12.71,10.43,7.0
14,20.0,14.91,8.29,19.29,15.47,11.0,19.14,15.59,11.43,19.14,15.24,10.57,20.57,15.7,9.71,19.0,14.4,8.14
15,23.0,17.6,11.43,22.86,18.57,13.29,22.43,18.47,13.71,22.57,18.21,13.0,24.14,18.87,12.29,22.57,17.11,11.0
