Settimana,2001_max,2001_media,2001_min,5897_max,5897_media,5897_min,5909_max,5909_media,5909_min,5911_max,5911_media,5911_min,5920_max,5920_media,5920_min,8162_max,8162_media,8162_min
48,8.86,4.54,0.43,9.14,6.37,3.43,9.14,6.19,3.14,9.14,5.66,2.43,10.0,5.89,1.71,11.0,7.13,3.29
49,9.67,7.28,4.83,10.0,8.19,6.43,10.0,8.26,6.14,9.86,8.17,5.86,10.29,8.07,5.43,11.29,9.26,6.57
50,12.43,7.31,3.29,12.86,9.07,5.43,12.86,9.23,5.71,12.29,8.3,4.57,13.57,7.97,3.14,11.43,6.69,2.86
51,9.57,8.34,6.43,9.71,9.04,7.71,10.0,8.96,7.57,10.0,9.03,7.43,10.43,9.1,7.14,9.86,8.36,6.14
52,8.86,6.59,4.0,9.14,7.56,5.29,9.57,7.51,5.43,9.43,7.27,5.0,10.14,7.47,4.86,8.86,6.49,3.71
1,5.57,2.63,0.0,6.29,4.0,1.71,6.29,3.96,1.86,6.14,3.54,1.29,6.5,3.2,0.5,5.29,2.43,0.0
2,5.57,1.29,-1.86,5.57,2.7,0.43,5.86,2.66,0.0,5.71,2.13,-0.29,6.43,2.23,-1.14,4.86,1.1,-2.0
3,7.43,5.94,4.0,8.0,6.69,4.86,7.57,6.49,4.57,8.0,6.71,4.86,8.29,6.79,4.43,7.29,5.97,3.86
4,6.14,3.77,1.0,6.14,4.57,2.57,6.43,4.51,2.43,6.14,4.64,2.43,6.71,4.81,2.43,6.0,3.83,1.0
5,7.57,5.17,2.43,8.0,5.94,3.86,7.86,5.89,3.71,7.86,5.83,3.43,8.86,5.9,2.57,7.43,5.19,2.0
6,9.14,6.77,4.0,9.29,7.26,4.71,9.43,7.26,4.57,9.57,7.21,4.57,10.14,7.44,4.57,8.86,6.7,3.86
7,12.43,8.81,5.29,12.71,9.67,6.71,12.57,9.49,6.57,12.71,9.57,6.43,14.0,9.94,6.43,12.14,8.8,5.43
8,13.0,8.44,3.29,13.29,9.53,5.86,13.57,9.53,5.43,13.86,9.23,4.86,14.71,9.66,4.43,12.57,8.21,3.14
9,15.14,10.94,7.14,15.71,12.09,8.86,15.29,12.09,8.86,15.43,11.8,8.29,16.57,12.06,7.71,14.57,10.63,6.43
10,14.43,10.73,7.0,15.14,11.99,9.0,15.0,11.86,8.71,15.43,11.86,8.43,16.71,12.43,8.0,14.71,10.49,6.29
11,14.57,11.51,8.14,15.29,12.33,9.43,14.86,12.21,9.29,15.14,12.19,9.0,16.43,12.57,9.14,14.43,11.53,8.29
12,15.43,11.81,6.86,15.71,12.69,8.71,16.57,12.66,8.57,16.57,12.66,8.43,17.29,13.36,8.71,15.29,11.66,6.14
13,16.43,11.83,6.29,16.86,13.01,8.43,17.0,12.96,8.57,17.14,12.59,7.71,18.0,13.24,7.29,16.0,11.66,6.29
14,19.0,13.33,6.86,19.71,15.0,9.86,17.5,13.1,9.5,20.0,14.53,8.86,21.14,14.93,7.71,18.57,13.1,6.14
15,22.0,17.0,11.14,22.86,17.67,12.71,20.33,16.53,12.33,22.71,17.86,12.86,24.29,18.57,12.86,21.71,16.73,10.57
