Settimana,2002_max,2002_media,2002_min,6174_max,6174_media,6174_min,6179_max,6179_media,6179_min,6185_max,6185_media,6185_min,6597_max,6597_media,6597_min
48,99.0,93.37,80.86,93.43,85.16,75.57,93.0,84.66,73.43,100.0,94.04,82.57,91.57,84.5,74.57
49,99.14,96.61,84.29,99.0,91.0,75.0,98.43,90.04,74.43,100.0,96.03,82.14,98.71,90.54,75.0
50,98.86,94.49,80.43,97.14,90.14,77.86,97.43,88.84,74.14,100.0,97.24,88.71,95.14,88.46,75.0
51,98.29,91.47,76.0,96.14,88.9,80.0,94.0,86.01,75.14,100.0,96.46,87.29,93.29,85.71,76.43
52,99.14,95.96,86.57,99.0,94.2,84.71,99.0,92.26,81.71,100.0,98.39,91.0,98.0,91.57,81.71
1,99.0,96.86,90.71,99.0,96.43,91.0,99.0,95.0,88.43,100.0,99.07,95.29,98.0,94.87,89.29
2,90.86,76.01,49.43,79.57,67.1,46.43,78.14,65.66,44.57,90.71,77.49,50.86,77.86,66.81,45.57
3,95.71,86.07,70.14,89.43,79.0,67.43,89.71,77.81,64.71,91.57,84.06,72.86,87.14,78.64,69.14
4,92.57,76.29,53.57,75.71,65.53,53.0,75.0,64.07,50.29,90.0,74.24,54.43,74.86,65.59,50.14
5,86.43,63.11,36.0,78.5,57.75,36.33,72.57,54.01,34.14,90.14,66.8,40.71,75.14,57.86,37.29
6,80.71,58.33,35.29,62.83,46.77,31.0,62.43,47.37,32.0,78.43,55.94,35.14,61.6,49.08,31.6
7,94.86,72.29,45.14,76.14,62.09,44.71,75.29,59.59,42.14,94.14,73.73,48.0,76.29,63.73,43.14
8,98.29,84.86,62.71,93.0,80.19,64.0,90.14,77.74,61.14,99.14,87.73,67.71,87.0,77.71,61.29
9,96.86,74.79,49.0,84.0,66.54,49.57,83.0,65.21,46.43,97.57,76.01,52.14,82.43,67.57,48.14
10,88.29,63.8,42.29,76.71,59.16,41.86,74.43,56.73,40.0,86.14,66.01,44.43,74.71,58.86,41.29
11,81.57,55.4,32.0,69.57,49.4,30.86,68.0,47.61,29.0,77.29,54.51,31.86,68.0,49.4,30.57
12,89.71,66.13,41.43,79.43,60.24,37.86,77.0,58.0,35.86,93.0,67.66,41.43,78.57,59.99,37.29
13,78.14,51.3,32.0,73.71,47.87,31.29,70.0,45.47,29.86,83.0,54.16,33.0,70.43,47.74,31.43
14,76.57,53.63,32.43,60.43,48.0,33.57,58.86,46.41,31.14,72.14,52.51,33.29,60.57,47.34,31.14
15,88.57,59.63,34.14,76.71,54.26,34.86,75.86,53.23,33.0,85.0,58.01,35.14,74.43,53.14,33.57
