Settimana,2002_max,2002_media,2002_min,6174_max,6174_media,6174_min,6179_max,6179_media,6179_min,6185_max,6185_media,6185_min,6597_max,6597_media,6597_min
48,96.86,76.0,48.43,91.29,69.87,43.14,89.71,69.07,41.43,96.57,75.43,48.0,90.57,70.26,45.29
49,99.0,91.84,68.43,97.0,85.03,66.14,96.71,83.51,64.14,100.0,92.83,74.14,94.43,83.87,64.86
50,99.14,94.1,72.29,97.43,88.99,73.57,96.71,87.86,69.57,100.0,95.4,79.86,96.57,88.16,71.29
51,85.14,72.31,45.43,81.43,66.16,46.71,78.57,63.0,43.14,92.0,77.99,52.71,80.86,66.9,46.0
52,96.0,88.3,73.57,89.14,81.1,71.43,89.43,80.39,69.14,99.57,91.99,80.14,85.86,79.54,69.86
1,99.29,94.37,78.0,98.14,91.43,76.29,97.57,90.06,73.0,100.0,96.31,84.29,96.86,89.7,74.43
2,92.57,82.07,58.57,85.29,73.84,58.71,83.71,71.84,55.86,92.71,83.29,64.29,83.57,73.27,58.43
3,99.14,87.81,63.71,93.86,82.47,64.71,93.0,80.91,62.43,98.86,88.94,69.14,93.14,81.21,62.29
4,99.14,83.26,57.14,85.86,73.47,56.57,85.14,71.76,53.57,97.14,83.47,60.43,86.43,73.91,56.0
5,100.0,86.84,52.43,92.29,78.2,53.71,93.57,76.13,51.57,100.0,88.76,58.86,94.43,78.5,51.57
6,98.71,88.79,74.43,94.0,86.11,76.0,93.43,84.74,74.71,99.71,91.67,79.0,93.43,84.5,73.57
7,99.43,82.71,51.57,87.14,72.7,53.0,87.14,72.33,51.43,99.71,83.79,55.86,88.29,73.44,50.86
8,99.0,85.66,62.86,92.0,79.1,61.57,91.57,78.61,61.0,100.0,85.69,62.29,93.14,79.03,59.71
9,99.0,94.14,85.29,98.86,93.13,83.71,99.0,93.3,84.43,100.0,96.51,87.43,98.43,92.24,83.0
10,99.0,88.39,68.14,97.43,84.7,68.86,97.29,84.44,68.43,100.0,90.17,73.29,96.14,83.7,67.57
11,98.14,72.04,44.57,86.57,66.6,45.29,86.0,65.37,42.29,97.14,74.1,48.57,86.0,66.33,45.71
12,92.14,69.3,41.0,82.57,64.83,40.86,82.0,63.56,39.71,92.0,70.81,42.29,81.71,63.91,40.71
13,91.86,82.07,65.14,90.14,79.43,63.43,90.0,79.16,62.57,93.0,84.26,69.14,90.0,77.87,62.43
14,97.43,71.1,43.43,84.71,65.51,43.86,83.43,64.09,42.14,98.29,74.21,47.86,85.71,66.24,44.29
15,99.0,74.6,49.86,87.86,65.69,46.43,88.14,65.8,46.29,100.0,73.44,48.29,87.43,66.61,46.71
