idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
10049,Biossido di Zolfo,µg/m³,689,Galliavola v. Marconi,87.0,PV,Galliavola,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4993533,485861,45.09512986,8.82032142,POINT (8.82032142 45.09512986)
9798,Monossido di Carbonio,mg/m³,670,Mantova S.Agnese,22.0,MN,Mantova,N,2004-12-28T00:00:00.000,,5002356,641122,45.16057658,10.79557331,POINT (10.79557331 45.16057658)
9875,Ossidi di Azoto,µg/m³,674,Monza v.Machiavelli,162.0,MB,Monza,N,2005-10-21T00:00:00.000,,5047450,521343,45.574117,9.263808,POINT (9.263808 45.574117)
6945,PM10 (SM2005),µg/m³,633,Soresina v. Landriani,70.0,CR,Soresina,N,2000-02-04T00:00:00.000,,5014860,567712,45.28398,9.86340258,POINT (9.86340258 45.28398)
9919,Ossidi di Azoto,µg/m³,666,Porto Mantovano v. Gianni Rodari,29.0,MN,Porto Mantovano,S,2004-06-05T00:00:00.000,2018-07-30T00:00:00.000,5006244,641169,45.19554761,10.79727231,POINT (10.79727231 45.19554761)
6625,Particolato Totale Sospeso,µg/m³,576,Merate v. Madonna di Loreto,279.0,LC,Merate,S,1991-02-17T00:00:00.000,1999-11-01T00:00:00.000,5060569,531623,45.69795956,9.40619194,POINT (9.40619194 45.69795956)
6826,Biossido di Azoto,µg/m³,657,Lonato del Garda v.del Marchesino,180.0,BS,Lonato del Garda,N,1990-02-16T00:00:00.000,,5035536,615762,45.46375819,10.48078183,POINT (10.48078183 45.46375819)
9963,PM10 (SM2005),µg/m³,508,Cassano d'Adda v.di Vona,133.0,MI,Cassano d'Adda,S,2006-01-01T00:00:00.000,2017-12-12T00:00:00.000,5040847,540004,45.52000944,9.51223153,POINT (9.51223153 45.52000944)
10085,Particelle sospese PM2.5,µg/m³,695,Ponti sul Mincio v.San Martino,113.0,MN,Ponti sul Mincio,N,2007-01-12T00:00:00.000,,5030184,631718,45.41277633,10.68336214,POINT (10.68336214 45.41277633)
5609,Biossido di Azoto,µg/m³,606,San Giuliano Milanese via Milano,97.0,MI,San Giuliano Milanese,N,2000-01-13T00:00:00.000,,5027003,522127,45.39619767,9.28269897,POINT (9.28269897 45.39619767)
