Variabile,Coefficiente,Std_err,t_stat,p_value,IC95_low,IC95_high
TEMP_lag2,-0.3547,0.1824,-1.9446,0.0561,-0.719,0.0096
HUMIDITY_lag1,0.106,0.1661,0.6384,0.5255,-0.2257,0.4377
PM25_lag1,-1.8467,0.689,-2.6802,0.0093,-3.2227,-0.4706
PM10_lag1,1.9793,0.678,2.9194,0.0048,0.6253,3.3333
NO2_lag1,-0.1524,0.1948,-0.7825,0.4368,-0.5416,0.2367
ILI_NORM_lag1,1.6973,0.1273,13.3308,0.0,1.443,1.9515
