Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Liguria,Milano v.Marche,Milano v.Senato
48,47.55,42.79,47.76,49.86,47.1
49,48.24,40.1,38.62,44.6,45.49
50,50.74,41.89,42.09,51.83,48.01
51,49.56,42.83,43.84,53.36,48.95
52,33.81,36.31,32.78,44.38,39.66
1,24.54,34.21,33.46,41.01,36.45
2,50.88,60.92,60.11,67.45,63.7
3,38.39,49.25,50.1,58.73,52.53
4,42.04,50.69,51.2,64.29,56.39
5,38.98,45.72,46.4,65.65,53.5
6,42.87,46.92,49.36,81.06,55.37
7,52.48,59.61,63.59,80.35,69.61
8,36.1,40.95,45.2,59.59,46.58
9,35.52,42.64,47.78,61.14,47.28
10,26.41,34.38,41.54,50.89,36.78
11,30.74,33.98,41.23,55.14,36.47
12,29.66,34.75,42.57,57.17,37.64
13,21.7,27.77,36.29,39.81,31.51
14,23.6,25.89,32.74,42.15,30.18
15,15.55,23.84,30.41,37.75,27.53
