Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Liguria,Milano v.Marche,Milano v.Senato
48,52.38,55.9,46.22,51.19,54.83
49,43.04,45.67,38.94,40.91,42.92
50,53.66,56.48,45.01,51.6,52.06
51,42.7,45.84,40.49,41.93,42.49
52,40.8,34.66,32.6,35.06,33.08
1,42.88,43.96,39.74,42.21,42.71
2,53.71,51.49,49.12,51.03,51.27
3,48.41,50.02,45.55,48.35,48.03
4,44.56,43.45,42.15,47.77,45.91
5,43.12,43.0,39.37,44.07,46.3
6,40.14,41.75,40.05,44.16,44.0
7,37.15,37.52,38.55,44.59,44.12
8,38.78,36.98,40.94,47.51,45.33
9,39.51,39.9,43.17,49.93,37.37
10,35.33,32.51,39.72,47.85,33.99
11,31.14,31.54,35.31,46.35,31.07
12,25.18,25.71,31.41,43.78,26.74
13,30.61,31.13,36.98,41.56,32.12
14,26.83,28.29,35.93,43.93,29.29
15,11.96,18.13,24.14,39.31,18.58
