Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Liguria,Milano v.Marche,Milano v.Senato
48,33.9,39.5,43.09,55.48,44.68
49,40.5,45.24,44.23,56.42,52.48
50,35.55,47.14,41.61,50.94,52.78
51,38.1,65.35,60.9,55.72,61.01
52,28.11,48.17,39.18,62.07,44.12
1,33.39,44.66,35.73,46.88,42.71
2,38.82,51.09,47.56,53.9,47.97
3,42.03,54.66,51.22,51.82,54.57
4,56.96,70.05,62.17,74.22,70.39
5,56.17,71.27,59.06,69.95,71.2
6,24.75,45.58,38.55,47.83,42.12
7,52.12,73.72,59.69,59.66,54.68
8,30.85,50.33,46.52,50.66,32.03
9,25.64,42.75,46.4,42.93,28.36
10,20.17,36.29,,34.24,23.94
11,23.23,36.63,35.73,36.41,27.71
12,16.86,30.41,32.95,33.9,26.18
13,18.88,33.58,35.17,37.86,33.26
14,18.01,35.99,34.14,34.91,30.61
15,25.83,41.43,42.78,46.61,32.43
