giorno,ATS,NO2_mean_ugm3,PM10_SM2005_mean_ugm3,PM25_mean_ugm3
2024-02-08,ATS_Montagna,-652.9867647058823,-716.8461538461538,-2464.0
2024-02-09,ATS_Bergamo,25.05185185185185,25.875,-1983.0
2024-02-09,ATS_Montagna,26.881234567901235,-743.0769230769231,-2485.0
2024-02-10,ATS_Bergamo,17.320833333333333,4.625,3.8
2024-02-10,ATS_Montagna,17.40514705882353,10.461538461538462,8.0
2024-02-11,ATS_Bergamo,19.99861111111111,10.25,8.4
2024-02-11,ATS_Montagna,19.566666666666666,9.384615384615385,8.875
2024-02-12,ATS_Bergamo,26.705555555555552,23.75,20.0
2024-02-12,ATS_Montagna,25.33970588235294,18.846153846153847,11.375
2024-02-13,ATS_Bergamo,-10.430555555555557,37.875,31.6
2024-02-13,ATS_Montagna,29.97960687960688,26.076923076923077,19.625
2024-02-14,ATS_Bergamo,39.56018518518518,36.5,31.0
2024-02-14,ATS_Montagna,-40.86911764705882,29.384615384615383,19.5
2024-02-15,ATS_Bergamo,-374.2481481481482,56.875,46.0
2024-02-15,ATS_Montagna,36.230637254901964,48.38461538461539,34.0
2024-02-16,ATS_Bergamo,-418.137962962963,77.75,65.0
2024-02-16,ATS_Montagna,12.612254901960785,62.30769230769231,-1208.0
2024-02-17,ATS_Bergamo,49.588888888888896,-1167.0,-1939.0
2024-02-17,ATS_Montagna,11.858823529411763,67.23076923076923,-1200.5
2024-02-18,ATS_Bergamo,37.721296296296295,86.75,72.0
2024-02-18,ATS_Montagna,29.565413533834587,-715.4615384615385,-1208.0
2024-02-19,ATS_Bergamo,-49.182870370370374,93.875,75.8
2024-02-19,ATS_Montagna,-41.06826196473552,62.38461538461539,-1206.25
2024-02-20,ATS_Bergamo,-51.893055555555556,83.875,64.75
2024-02-20,ATS_Montagna,6.0336708860759485,54.84615384615385,-1212.375
2024-02-21,ATS_Bergamo,38.06018518518518,49.0,38.5
2024-02-21,ATS_Montagna,-41.894235588972435,38.0,-1224.875
2024-02-22,ATS_Bergamo,35.461111111111116,43.375,30.0
2024-02-22,ATS_Montagna,-65.89975490196078,44.38461538461539,-1221.125
2024-02-23,ATS_Bergamo,26.985648148148147,7.0,-1993.6
2024-02-23,ATS_Montagna,-0.7784313725490191,11.307692307692308,-1242.875
2024-02-24,ATS_Bergamo,23.17361111111111,13.5,9.2
2024-02-24,ATS_Montagna,20.673417721518987,8.666666666666666,6.571428571428571
2024-02-25,ATS_Bergamo,21.270833333333332,11.125,8.4
2024-02-25,ATS_Montagna,18.822916666666668,-759.0,-1243.5
2024-02-26,ATS_Bergamo,22.70925925925926,8.5,6.8
2024-02-26,ATS_Montagna,-103.97254408060454,11.583333333333334,6.142857142857143
2024-02-27,ATS_Bergamo,31.2875,8.375,7.6
2024-02-27,ATS_Montagna,19.052450980392155,8.615384615384615,-2494.875
2024-02-28,ATS_Bergamo,29.587962962962962,11.75,8.8
2024-02-28,ATS_Montagna,25.93186274509804,14.384615384615385,9.75
2024-02-29,ATS_Bergamo,33.488425925925924,25.0,-1987.0
2024-02-29,ATS_Montagna,-21.352450980392156,27.23076923076923,13.25
2024-03-01,ATS_Bergamo,29.96666666666667,13.75,10.75
2024-03-01,ATS_Montagna,0.3600490196078431,15.153846153846153,9.25
2024-03-02,ATS_Bergamo,23.244907407407407,11.75,9.4
2024-03-02,ATS_Montagna,20.511029411764707,-757.8461538461538,8.0
2024-03-03,ATS_Bergamo,15.52037037037037,8.875,6.0
2024-03-03,ATS_Montagna,13.154411764705882,9.307692307692308,5.625
2024-03-04,ATS_Bergamo,-67.49305555555556,13.75,10.0
2024-03-04,ATS_Montagna,-22.198529411764707,15.307692307692308,10.25
2024-03-05,ATS_Bergamo,-64.0625,19.125,13.2
2024-03-05,ATS_Montagna,4.694117647058825,20.307692307692307,13.125
2024-03-06,ATS_Bergamo,22.522685185185182,11.625,9.2
2024-03-06,ATS_Montagna,-1.6794117647058833,12.615384615384615,-2491.5
2024-03-07,ATS_Bergamo,25.038888888888888,22.875,19.4
2024-03-07,ATS_Montagna,23.654901960784315,16.46153846153846,10.875
2024-03-08,ATS_Bergamo,19.28055555555556,22.875,17.0
2024-03-08,ATS_Montagna,21.16741293532338,21.076923076923077,14.125
2024-03-09,ATS_Bergamo,17.53009259259259,11.5,9.2
2024-03-09,ATS_Montagna,21.401822916666664,13.307692307692308,9.75
2024-03-10,ATS_Bergamo,15.613425925925926,10.125,8.0
2024-03-10,ATS_Montagna,16.915104166666666,10.0,6.875
2024-03-11,ATS_Bergamo,24.67175925925926,13.75,9.4
2024-03-11,ATS_Montagna,-26.49473684210526,12.5,7.875
2024-03-12,ATS_Bergamo,-18.872222222222224,15.428571428571429,10.8
2024-03-12,ATS_Montagna,25.378676470588236,13.538461538461538,-1240.375
2024-03-13,ATS_Bergamo,26.07777777777778,27.571428571428573,24.2
2024-03-13,ATS_Montagna,-22.143627450980393,20.923076923076923,-1237.125
2024-03-14,ATS_Bergamo,-18.12175925925926,39.375,30.4
