giorno,ATS,nometiposensore,valore_medio
2024-01-14,ATS_Montagna,PM10 (SM2005),40.07692307692308
2024-01-14,ATS_Montagna,Particelle sospese PM2.5,35.625
2024-01-15,ATS_Bergamo,Biossido di Azoto,0.44259259259259454
2024-01-15,ATS_Bergamo,PM10 (SM2005),63.75
2024-01-15,ATS_Bergamo,Particelle sospese PM2.5,50.6
2024-01-15,ATS_Montagna,Biossido di Azoto,-697.3546568627452
2024-01-15,ATS_Montagna,PM10 (SM2005),-715.0769230769231
2024-01-15,ATS_Montagna,Particelle sospese PM2.5,50.0
2024-01-16,ATS_Bergamo,Biossido di Azoto,44.86435185185186
2024-01-16,ATS_Bergamo,PM10 (SM2005),-1200.875
2024-01-16,ATS_Bergamo,Particelle sospese PM2.5,43.8
2024-01-16,ATS_Montagna,Biossido di Azoto,17.55
2024-01-16,ATS_Montagna,PM10 (SM2005),-726.0769230769231
2024-01-16,ATS_Montagna,Particelle sospese PM2.5,36.625
2024-01-17,ATS_Bergamo,Biossido di Azoto,-2.4509259259259273
2024-01-17,ATS_Bergamo,PM10 (SM2005),-1207.875
2024-01-17,ATS_Bergamo,Particelle sospese PM2.5,37.0
2024-01-17,ATS_Montagna,Biossido di Azoto,-56.66289926289926
2024-01-17,ATS_Montagna,PM10 (SM2005),-730.8461538461538
2024-01-17,ATS_Montagna,Particelle sospese PM2.5,37.375
2024-01-18,ATS_Bergamo,Biossido di Azoto,42.42638888888889
2024-01-18,ATS_Bergamo,PM10 (SM2005),-1219.625
2024-01-18,ATS_Bergamo,Particelle sospese PM2.5,29.8
2024-01-18,ATS_Montagna,Biossido di Azoto,41.22598039215686
2024-01-18,ATS_Montagna,PM10 (SM2005),33.46153846153846
2024-01-18,ATS_Montagna,Particelle sospese PM2.5,29.75
2024-01-19,ATS_Bergamo,Biossido di Azoto,-247.08148148148146
2024-01-19,ATS_Bergamo,PM10 (SM2005),41.5
2024-01-19,ATS_Bergamo,Particelle sospese PM2.5,27.4
2024-01-19,ATS_Montagna,Biossido di Azoto,28.76078431372549
2024-01-19,ATS_Montagna,PM10 (SM2005),24.153846153846153
2024-01-19,ATS_Montagna,Particelle sospese PM2.5,19.25
2024-01-20,ATS_Bergamo,Biossido di Azoto,-1081.9430555555557
2024-01-20,ATS_Bergamo,PM10 (SM2005),21.125
2024-01-20,ATS_Bergamo,Particelle sospese PM2.5,-1984.8
2024-01-20,ATS_Montagna,Biossido di Azoto,28.984803921568627
2024-01-20,ATS_Montagna,PM10 (SM2005),-748.0
2024-01-20,ATS_Montagna,Particelle sospese PM2.5,15.25
2024-01-21,ATS_Bergamo,Biossido di Azoto,-1076.4226851851852
2024-01-21,ATS_Bergamo,PM10 (SM2005),32.125
2024-01-21,ATS_Bergamo,Particelle sospese PM2.5,-1976.2
2024-01-21,ATS_Montagna,Biossido di Azoto,33.86274509803921
2024-01-21,ATS_Montagna,PM10 (SM2005),32.46153846153846
2024-01-21,ATS_Montagna,Particelle sospese PM2.5,24.625
2024-01-22,ATS_Bergamo,Biossido di Azoto,-556.4949074074074
2024-01-22,ATS_Bergamo,PM10 (SM2005),45.375
2024-01-22,ATS_Bergamo,Particelle sospese PM2.5,37.2
2024-01-22,ATS_Montagna,Biossido di Azoto,-125.82776412776413
2024-01-22,ATS_Montagna,PM10 (SM2005),46.61538461538461
2024-01-22,ATS_Montagna,Particelle sospese PM2.5,31.25
2024-01-23,ATS_Bergamo,Biossido di Azoto,50.783796296296295
2024-01-23,ATS_Bergamo,PM10 (SM2005),51.0
2024-01-23,ATS_Bergamo,Particelle sospese PM2.5,40.8
2024-01-23,ATS_Montagna,Biossido di Azoto,18.837745098039214
2024-01-23,ATS_Montagna,PM10 (SM2005),43.76923076923077
2024-01-23,ATS_Montagna,Particelle sospese PM2.5,30.375
2024-01-24,ATS_Bergamo,Biossido di Azoto,-132.32361111111112
2024-01-24,ATS_Bergamo,PM10 (SM2005),62.125
2024-01-24,ATS_Bergamo,Particelle sospese PM2.5,46.0
2024-01-24,ATS_Montagna,Biossido di Azoto,20.90392156862745
2024-01-24,ATS_Montagna,PM10 (SM2005),-722.4615384615385
2024-01-24,ATS_Montagna,Particelle sospese PM2.5,-1216.875
2024-01-25,ATS_Bergamo,Biossido di Azoto,50.92546296296296
2024-01-25,ATS_Bergamo,PM10 (SM2005),79.75
2024-01-25,ATS_Bergamo,Particelle sospese PM2.5,-1954.0
2024-01-25,ATS_Montagna,Biossido di Azoto,42.839054726368154
2024-01-25,ATS_Montagna,PM10 (SM2005),-717.8461538461538
2024-01-25,ATS_Montagna,Particelle sospese PM2.5,43.625
2024-01-26,ATS_Bergamo,Biossido di Azoto,3.7476851851851842
2024-01-26,ATS_Bergamo,PM10 (SM2005),83.5
2024-01-26,ATS_Bergamo,Particelle sospese PM2.5,63.8
2024-01-26,ATS_Montagna,Biossido di Azoto,-8.009558823529412
2024-01-26,ATS_Montagna,PM10 (SM2005),57.84615384615385
2024-01-26,ATS_Montagna,Particelle sospese PM2.5,44.875
2024-01-27,ATS_Bergamo,Biossido di Azoto,49.386574074074076
2024-01-27,ATS_Bergamo,PM10 (SM2005),75.375
2024-01-27,ATS_Bergamo,Particelle sospese PM2.5,57.0
2024-01-27,ATS_Montagna,Biossido di Azoto,41.04264705882353
2024-01-27,ATS_Montagna,PM10 (SM2005),45.92307692307692
2024-01-27,ATS_Montagna,Particelle sospese PM2.5,-1215.125
2024-01-28,ATS_Bergamo,Biossido di Azoto,37.73240740740741
2024-01-28,ATS_Bergamo,PM10 (SM2005),59.0
2024-01-28,ATS_Bergamo,Particelle sospese PM2.5,42.4
2024-01-28,ATS_Montagna,Biossido di Azoto,32.72181372549019
2024-01-28,ATS_Montagna,PM10 (SM2005),37.92307692307692
2024-01-28,ATS_Montagna,Particelle sospese PM2.5,-1221.25
2024-01-29,ATS_Bergamo,Biossido di Azoto,46.46666666666666
2024-01-29,ATS_Bergamo,PM10 (SM2005),59.75
2024-01-29,ATS_Bergamo,Particelle sospese PM2.5,-1966.4
2024-01-29,ATS_Montagna,Biossido di Azoto,40.24583333333333
2024-01-29,ATS_Montagna,PM10 (SM2005),46.46153846153846
2024-01-29,ATS_Montagna,Particelle sospese PM2.5,-1219.625
2024-01-30,ATS_Bergamo,Biossido di Azoto,57.16527777777778
2024-01-30,ATS_Bergamo,PM10 (SM2005),67.625
2024-01-30,ATS_Bergamo,Particelle sospese PM2.5,47.6
2024-01-30,ATS_Montagna,Biossido di Azoto,19.29605911330049
2024-01-30,ATS_Montagna,PM10 (SM2005),54.46153846153846
2024-01-30,ATS_Montagna,Particelle sospese PM2.5,38.42857142857143
2024-01-31,ATS_Bergamo,Biossido di Azoto,11.600462962962963
2024-01-31,ATS_Bergamo,PM10 (SM2005),78.71428571428571
2024-01-31,ATS_Bergamo,Particelle sospese PM2.5,60.25
2024-01-31,ATS_Montagna,Biossido di Azoto,47.221078431372554
2024-01-31,ATS_Montagna,PM10 (SM2005),52.69230769230769
2024-01-31,ATS_Montagna,Particelle sospese PM2.5,-1219.0
2024-02-01,ATS_Bergamo,Biossido di Azoto,7.017592592592594
2024-02-01,ATS_Bergamo,PM10 (SM2005),74.5
2024-02-01,ATS_Bergamo,Particelle sospese PM2.5,50.8
2024-02-01,ATS_Montagna,Biossido di Azoto,24.148774509803918
2024-02-01,ATS_Montagna,PM10 (SM2005),60.0
2024-02-01,ATS_Montagna,Particelle sospese PM2.5,40.125
2024-02-02,ATS_Bergamo,Biossido di Azoto,54.70648148148148
2024-02-02,ATS_Bergamo,PM10 (SM2005),70.125
2024-02-02,ATS_Bergamo,Particelle sospese PM2.5,53.8
2024-02-02,ATS_Montagna,Biossido di Azoto,46.71176470588236
2024-02-02,ATS_Montagna,PM10 (SM2005),48.84615384615385
2024-02-02,ATS_Montagna,Particelle sospese PM2.5,34.875
2024-02-03,ATS_Bergamo,Biossido di Azoto,52.51296296296296
2024-02-03,ATS_Bergamo,PM10 (SM2005),-1187.5
2024-02-03,ATS_Bergamo,Particelle sospese PM2.5,53.4
2024-02-03,ATS_Montagna,Biossido di Azoto,43.39019607843137
2024-02-03,ATS_Montagna,PM10 (SM2005),-722.8461538461538
2024-02-03,ATS_Montagna,Particelle sospese PM2.5,44.125
2024-02-04,ATS_Bergamo,Biossido di Azoto,40.92268518518518
2024-02-04,ATS_Bergamo,PM10 (SM2005),-1195.875
2024-02-04,ATS_Bergamo,Particelle sospese PM2.5,48.6
2024-02-04,ATS_Montagna,Biossido di Azoto,35.3875
2024-02-04,ATS_Montagna,PM10 (SM2005),-720.6923076923077
2024-02-04,ATS_Montagna,Particelle sospese PM2.5,46.75
2024-02-05,ATS_Bergamo,Biossido di Azoto,-9.05972222222222
2024-02-05,ATS_Bergamo,PM10 (SM2005),-1205.0
2024-02-05,ATS_Bergamo,Particelle sospese PM2.5,40.0
2024-02-05,ATS_Montagna,Biossido di Azoto,-12.426715686274509
2024-02-05,ATS_Montagna,PM10 (SM2005),62.46153846153846
2024-02-05,ATS_Montagna,Particelle sospese PM2.5,55.125
2024-02-06,ATS_Bergamo,Biossido di Azoto,41.87407407407407
2024-02-06,ATS_Bergamo,PM10 (SM2005),-1170.875
2024-02-06,ATS_Bergamo,Particelle sospese PM2.5,65.8
2024-02-06,ATS_Montagna,Biossido di Azoto,-353.2186274509804
2024-02-06,ATS_Montagna,PM10 (SM2005),-757.25
2024-02-06,ATS_Montagna,Particelle sospese PM2.5,-1376.5714285714287
2024-02-07,ATS_Bergamo,Biossido di Azoto,39.9875
2024-02-07,ATS_Bergamo,PM10 (SM2005),-1203.375
2024-02-07,ATS_Bergamo,Particelle sospese PM2.5,37.0
2024-02-07,ATS_Montagna,Biossido di Azoto,-1141.7958333333333
2024-02-07,ATS_Montagna,PM10 (SM2005),-1482.076923076923
2024-02-07,ATS_Montagna,Particelle sospese PM2.5,-1211.5
2024-02-08,ATS_Bergamo,Biossido di Azoto,-59.59722222222222
2024-02-08,ATS_Bergamo,PM10 (SM2005),41.0
2024-02-08,ATS_Bergamo,Particelle sospese PM2.5,26.4
2024-02-08,ATS_Montagna,Biossido di Azoto,-652.9867647058823
2024-02-08,ATS_Montagna,PM10 (SM2005),-716.8461538461538
2024-02-08,ATS_Montagna,Particelle sospese PM2.5,-2464.0
2024-02-09,ATS_Bergamo,Biossido di Azoto,25.05185185185185
2024-02-09,ATS_Bergamo,PM10 (SM2005),25.875
2024-02-09,ATS_Bergamo,Particelle sospese PM2.5,-1983.0
2024-02-09,ATS_Montagna,Biossido di Azoto,26.881234567901235
2024-02-09,ATS_Montagna,PM10 (SM2005),-743.0769230769231
2024-02-09,ATS_Montagna,Particelle sospese PM2.5,-2485.0
2024-02-10,ATS_Bergamo,Biossido di Azoto,17.320833333333333
2024-02-10,ATS_Bergamo,PM10 (SM2005),4.625
2024-02-10,ATS_Bergamo,Particelle sospese PM2.5,3.8
2024-02-10,ATS_Montagna,Biossido di Azoto,17.40514705882353
2024-02-10,ATS_Montagna,PM10 (SM2005),10.461538461538462
2024-02-10,ATS_Montagna,Particelle sospese PM2.5,8.0
2024-02-11,ATS_Bergamo,Biossido di Azoto,19.99861111111111
2024-02-11,ATS_Bergamo,PM10 (SM2005),10.25
2024-02-11,ATS_Bergamo,Particelle sospese PM2.5,8.4
2024-02-11,ATS_Montagna,Biossido di Azoto,19.566666666666666
2024-02-11,ATS_Montagna,PM10 (SM2005),9.384615384615385
2024-02-11,ATS_Montagna,Particelle sospese PM2.5,8.875
2024-02-12,ATS_Bergamo,Biossido di Azoto,26.705555555555552
2024-02-12,ATS_Bergamo,PM10 (SM2005),23.75
2024-02-12,ATS_Bergamo,Particelle sospese PM2.5,20.0
2024-02-12,ATS_Montagna,Biossido di Azoto,25.33970588235294
