"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"016001","Adrara San Martino","586","504","35","22","","","","1147","404","456","41","113","","","","1014","2161"
"016002","Adrara San Rocco","205","192","13","9","","","","419","153","180","12","43","","","","388","807"
"016003","Albano Sant'Alessandro","2081","1847","118","112","","","","4158","1700","1848","153","388","","","","4089","8247"
"016004","Albino","4074","3956","326","258","","","","8614","3543","3957","411","967","","","","8878","17492"
"016005","Almè","1241","1231","121","72","","","","2665","1081","1271","117","357","","","","2826","5491"
"016006","Almenno San Bartolomeo","1624","1479","117","66","","","","3286","1333","1508","137","279","","","","3257","6543"
"016007","Almenno San Salvatore","1266","1247","95","75","","","","2683","1114","1243","123","337","","","","2817","5500"
"016008","Alzano Lombardo","3317","2882","270","175","","","","6644","2760","2917","395","779","","","","6851","13495"
"016009","Ambivere","596","537","45","36","","","","1214","443","523","35","134","","","","1135","2349"
"016010","Antegnate","839","752","43","40","","","","1674","637","729","51","173","","","","1590","3264"
"016011","Arcene","1256","1111","85","62","","","","2514","982","1086","101","266","","","","2435","4949"
"016012","Ardesio","857","725","43","50","","","","1675","593","720","48","272","","","","1633","3308"
"016013","Arzago d'Adda","650","648","36","32","","","","1366","540","652","50","133","","","","1375","2741"
"016014","Averara","45","46","6","2","","","","99","28","39","2","10","","","","79","178"
"016015","Aviatico","146","145","20","6","","","","317","89","132","9","33","","","","263","580"
"016016","Azzano San Paolo","1745","1735","142","101","","","","3723","1540","1745","186","406","","","","3877","7600"
"016017","Azzone","92","82","6","6","","","","186","54","89","5","23","","","","171","357"
"016018","Bagnatica","1134","1014","75","45","","","","2268","938","1020","80","183","","","","2221","4489"
"016019","Barbata","164","165","10","4","","","","343","151","160","5","35","","","","351","694"
"016020","Bariano","1087","971","55","66","","","","2179","815","966","57","218","","","","2056","4235"
"016021","Barzana","529","477","27","16","","","","1049","408","469","38","62","","","","977","2026"
"016022","Bedulita","161","177","6","10","","","","354","147","172","6","43","","","","368","722"
"016023","Berbenno","582","571","31","25","","","","1209","486","572","41","147","","","","1246","2455"
"016024","Bergamo","29273","24030","2166","1485","110","3","4","57071","27075","25011","3510","7448","40","1","1","63086","120157"
"016025","Berzo San Fermo","389","305","11","20","","","","725","288","305","17","62","","","","672","1397"
"016026","Bianzano","142","150","16","7","","","","315","102","149","14","37","","","","302","617"
"016027","Blello","18","14","1","0","","","","33","21","15","1","4","","","","41","74"
"016028","Bolgare","1720","1525","59","51","","","","3355","1448","1500","112","265","","","","3325","6680"
"016029","Boltiere","1600","1392","121","82","","","","3195","1250","1369","148","291","","","","3058","6253"
"016030","Bonate Sopra","2668","2313","144","107","","","","5232","2328","2338","186","382","","","","5234","10466"
"016031","Bonate Sotto","1620","1504","107","92","","","","3323","1327","1524","124","314","","","","3289","6612"
"016032","Borgo di Terzo","322","262","19","12","","","","615","252","256","24","49","","","","581","1196"
"016033","Bossico","266","203","10","10","","","","489","207","201","4","69","","","","481","970"
"016034","Bottanuco","1232","1190","95","69","","","","2586","932","1199","88","279","","","","2498","5084"
