"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"017001","Acquafredda","326","362","24","17","","","","729","310","360","30","89","","","","789","1518"
"017002","Adro","1724","1636","105","110","","","","3575","1399","1655","114","428","","","","3596","7171"
"017003","Agnosine","386","394","28","24","","","","832","264","393","28","105","","","","790","1622"
"017004","Alfianello","573","575","15","33","","","","1196","444","557","27","148","","","","1176","2372"
"017005","Anfo","109","104","14","10","","","","237","68","104","11","30","","","","213","450"
"017006","Angolo Terme","574","517","40","36","","","","1167","451","496","26","169","","","","1142","2309"
"017007","Artogne","911","768","56","54","","","","1789","757","756","52","213","","","","1778","3567"
"017008","Azzano Mella","872","784","43","28","","","","1727","717","756","80","118","","","","1671","3398"
"017009","Bagnolo Mella","3006","2901","174","150","","","","6231","2423","2823","235","782","","","","6263","12494"
"017010","Bagolino","871","899","56","53","","","","1879","641","883","49","303","","","","1876","3755"
"017011","Barbariga","580","540","34","29","","","","1183","428","529","34","143","","","","1134","2317"
"017012","Barghe","301","275","18","12","","","","606","186","276","16","54","","","","532","1138"
"017013","Bassano Bresciano","591","547","33","25","","","","1196","463","525","36","113","","","","1137","2333"
"017014","Bedizzole","2965","2777","254","125","","","","6121","2493","2777","284","603","","","","6157","12278"
"017015","Berlingo","701","653","42","31","","","","1427","534","650","35","106","","","","1325","2752"
"017016","Berzo Demo","364","376","22","27","","","","789","236","363","18","119","","","","736","1525"
"017017","Berzo Inferiore","589","592","23","17","","","","1221","465","595","50","116","","","","1226","2447"
"017018","Bienno","863","892","44","51","","","","1850","715","893","61","241","","","","1910","3760"
"017019","Bione","302","316","20","19","","","","657","227","313","22","92","","","","654","1311"
"017020","Borgo San Giacomo","1414","1205","72","58","","","","2749","1096","1204","63","276","","","","2639","5388"
"017021","Borgosatollo","2147","2163","140","94","","","","4544","1740","2138","166","473","","","","4517","9061"
"017022","Borno","588","536","41","45","","","","1210","482","533","53","201","","","","1269","2479"
"017023","Botticino","2435","2498","181","107","","","","5221","2085","2538","261","601","","","","5485","10706"
"017024","Bovegno","472","428","49","40","","","","989","403","424","50","159","","","","1036","2025"
"017025","Bovezzo","1556","1779","141","78","","","","3554","1319","1841","200","442","","","","3802","7356"
"017026","Brandico","436","425","25","19","","","","905","341","413","28","57","","","","839","1744"
"017027","Braone","162","161","11","12","","","","346","121","160","14","41","","","","336","682"
"017028","Breno","1052","1079","55","76","","","","2262","877","1079","92","322","","","","2370","4632"
"017029","Brescia","46171","41626","3574","2494","181","5","1","94052","41296","42498","5978","12008","71","1","2","101854","195906"
"017030","Brione","199","166","25","3","","","","393","140","151","14","39","","","","344","737"
"017031","Caino","526","497","38","25","","","","1086","409","494","41","106","","","","1050","2136"
"017032","Calcinato","3210","2980","226","118","","","","6534","2550","2928","268","610","","","","6356","12890"
"017033","Calvagese della Riviera","884","835","78","30","","","","1827","755","826","77","159","","","","1817","3644"
"017034","Calvisano","2085","1979","113","91","","","","4268","1596","1947","125","439","","","","4107","8375"
"017035","Capo di Ponte","539","522","25","32","","","","1118","483","526","26","174","","","","1209","2327"
"017036","Capovalle","78","78","7","7","","","","170","59","83","4","29","","","","175","345"
"017037","Capriano del Colle","1151","1069","106","48","","","","2374","896","1049","97","217","","","","2259","4633"
