codice_dusaf,macro_cat,area_km2
1121,Residenziale,0.007411033695374639
12122,Industriale / Commerciale / Infrastrutture,0.008244982782510547
2312,Agricola,0.011946779785021724
2311,Agricola,0.0315812840678065
1121,Residenziale,0.21921586405814536
1123,Residenziale,0.0016937987627948963
2311,Agricola,0.058307125661269416
12111,Industriale / Commerciale / Infrastrutture,0.002873922219928838
2312,Agricola,0.010148789524136684
3242,Boschi e zone naturali,0.004070617390276086
3242,Boschi e zone naturali,0.002933526934370648
1221,Zone estrattive e cantieri,0.007156613091658085
5121,Corpi idrici,0.0016770340122403246
2311,Agricola,0.018393645834719564
31111,Boschi e zone naturali,0.007362912014293186
2312,Agricola,0.003174757615998191
1123,Residenziale,0.001989633430670794
2311,Agricola,0.02186946283556701
2312,Agricola,0.015571914277547772
2312,Agricola,0.006360382713694365
1123,Residenziale,0.0016573082699850544
2311,Agricola,0.01047487353220026
2311,Agricola,0.006219631930632174
1421,Altre superfici artificiali,0.0037030013108981276
2311,Agricola,0.0024778488644372184
2312,Agricola,0.0025361379447192372
2311,Agricola,0.006425087172457948
2311,Agricola,0.0023095959419821696
2312,Agricola,0.010391633765497427
1123,Residenziale,0.002063749314941715
2312,Agricola,0.0064258303178898616
2312,Agricola,0.029782848626863465
222,Agricola,0.0039893306506479315
1123,Residenziale,0.001966017907360205
2311,Agricola,0.003986602111656538
2311,Agricola,0.005915052485496114
1122,Residenziale,0.006894005469859188
2312,Agricola,0.005596674214690695
2312,Agricola,0.020915029393403842
2311,Agricola,0.0037504882779470787
2311,Agricola,0.0004094496321321296
1123,Residenziale,0.0016109703959309946
333,Boschi e zone naturali,0.005094196635515781
1123,Residenziale,0.0023919696463653144
3242,Boschi e zone naturali,0.0022018888593977
333,Boschi e zone naturali,0.004172135261286025
133,Altre superfici artificiali,0.0029344668057538674
1123,Residenziale,0.0026850880956417605
1123,Residenziale,0.004254475209246628
2311,Agricola,0.02866212350611925
2312,Agricola,0.149191129183221
1121,Residenziale,0.005000600486553733
2312,Agricola,0.003228090289256336
31111,Boschi e zone naturali,0.003187358758923672
2312,Agricola,0.003372025325704384
1121,Residenziale,0.011983199610764796
1122,Residenziale,0.005953156600274309
1121,Residenziale,0.02227209165034588
2311,Agricola,0.008487907651572256
1123,Residenziale,0.002269646943346263
2311,Agricola,0.0034014028346242217
2312,Agricola,0.011515666161841439
2312,Agricola,0.010612487878834035
2312,Agricola,0.004245152449887894
1122,Residenziale,0.009208527076634568
1121,Residenziale,0.056427113302172746
2311,Agricola,0.011069173871168698
1123,Residenziale,0.0050882910700583124
2311,Agricola,0.0018816647568313841
2311,Agricola,0.012305088892069492
2312,Agricola,0.0038850160469660862
1121,Residenziale,0.01274048876240346
1122,Residenziale,0.0035227449016237006
1123,Residenziale,0.009365031777476865
12111,Industriale / Commerciale / Infrastrutture,0.005420911761888287
2311,Agricola,0.025353455012619742
1122,Residenziale,0.0028706925140408474
2311,Agricola,0.18233810816545487
333,Boschi e zone naturali,0.004650968044398199
3211,Boschi e zone naturali,0.00014628137171078938
333,Boschi e zone naturali,0.005047466688135834
1122,Residenziale,0.005570340803019988
31111,Boschi e zone naturali,0.020676491818921276
3241,Boschi e zone naturali,0.0024616852700619567
31111,Boschi e zone naturali,0.011031413353665068
1121,Residenziale,0.01661551036481887
1121,Residenziale,0.02796426120583844
1123,Residenziale,0.0016795058640048843
31111,Boschi e zone naturali,0.028931972824113663
1123,Residenziale,0.0016582010954182874
2312,Agricola,0.004123730879160033
1123,Residenziale,0.0031617666138314595
2311,Agricola,0.016786000736632566
1122,Residenziale,0.009211367966330571
1122,Residenziale,0.02335293483143955
2311,Agricola,0.029262203693758284
1122,Residenziale,0.006359304285738716
2311,Agricola,0.02145924323599175
1123,Residenziale,0.002053571357431469
2312,Agricola,0.006161033872164098
2312,Agricola,0.019657825690212627
1122,Residenziale,0.01290865472091858
1122,Residenziale,0.02520816012421706
2311,Agricola,0.015007279324274894
1123,Residenziale,0.002196605030508322
2311,Agricola,0.002865333176387271
2311,Agricola,0.004855212525323728
2311,Agricola,0.008228529590681249
1123,Residenziale,0.0018844517948949505
3241,Boschi e zone naturali,0.0032204124539350317
1123,Residenziale,0.0027749705701633925
1421,Altre superfici artificiali,0.00443418460034572
1121,Residenziale,0.00440592735232517
333,Boschi e zone naturali,0.0036788051899976164
1123,Residenziale,0.0022823943059023244
2311,Agricola,0.005249637799170257
2311,Agricola,0.0021944478403239046
2312,Agricola,0.0029314140557321444
2312,Agricola,0.0035266186211725813
2311,Agricola,0.0028146057417501266
2311,Agricola,0.00937814491617337
333,Boschi e zone naturali,0.0031277953950290304
333,Boschi e zone naturali,0.0055556509140317085
333,Boschi e zone naturali,0.005181780796339963
333,Boschi e zone naturali,0.0027041346809401168
