idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100048,PM10,µg/m³,100016,PM10 Bodio Lomnago,VA,Bodio Lomnago,N         ,2011-01-01T00:00:00.000,
100049,Biossido di Azoto,µg/m³,100017,NO2 Brebbia,VA,Brebbia,N         ,2011-01-01T00:00:00.000,
100050,Ozono,µg/m³,100017,O3 Brebbia,VA,Brebbia,N         ,2011-01-01T00:00:00.000,
100051,PM10,µg/m³,100017,PM10 Brebbia,VA,Brebbia,N         ,2011-01-01T00:00:00.000,
100052,Biossido di Azoto,µg/m³,100018,NO2 Bregano,VA,Bregano,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
100053,Ozono,µg/m³,100018,O3 Bregano,VA,Bregano,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
100054,PM10,µg/m³,100018,PM10 Bregano,VA,Bregano,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
100055,Biossido di Azoto,µg/m³,100019,NO2 Brenta,VA,Brenta,N         ,2011-01-01T00:00:00.000,
100056,Ozono,µg/m³,100019,O3 Brenta,VA,Brenta,N         ,2011-01-01T00:00:00.000,
100057,PM10,µg/m³,100019,PM10 Brenta,VA,Brenta,N         ,2011-01-01T00:00:00.000,
100058,Biossido di Azoto,µg/m³,100020,NO2 Brezzo di Bedero,VA,Brezzo di Bedero,N         ,2011-01-01T00:00:00.000,
100059,Ozono,µg/m³,100020,O3 Brezzo di Bedero,VA,Brezzo di Bedero,N         ,2011-01-01T00:00:00.000,
100060,PM10,µg/m³,100020,PM10 Brezzo di Bedero,VA,Brezzo di Bedero,N         ,2011-01-01T00:00:00.000,
100061,Biossido di Azoto,µg/m³,100021,NO2 Brinzio,VA,Brinzio,N         ,2011-01-01T00:00:00.000,
100062,Ozono,µg/m³,100021,O3 Brinzio,VA,Brinzio,N         ,2011-01-01T00:00:00.000,
100063,PM10,µg/m³,100021,PM10 Brinzio,VA,Brinzio,N         ,2011-01-01T00:00:00.000,
100064,Biossido di Azoto,µg/m³,100022,NO2 Brissago-Valtravaglia,VA,Brissago-Valtravaglia,N         ,2011-01-01T00:00:00.000,
100065,Ozono,µg/m³,100022,O3 Brissago-Valtravaglia,VA,Brissago-Valtravaglia,N         ,2011-01-01T00:00:00.000,
100066,PM10,µg/m³,100022,PM10 Brissago-Valtravaglia,VA,Brissago-Valtravaglia,N         ,2011-01-01T00:00:00.000,
100067,Biossido di Azoto,µg/m³,100023,NO2 Brunello,VA,Brunello,N         ,2011-01-01T00:00:00.000,
100068,Ozono,µg/m³,100023,O3 Brunello,VA,Brunello,N         ,2011-01-01T00:00:00.000,
100069,PM10,µg/m³,100023,PM10 Brunello,VA,Brunello,N         ,2011-01-01T00:00:00.000,
100070,Biossido di Azoto,µg/m³,100024,NO2 Brusimpiano,VA,Brusimpiano,N         ,2011-01-01T00:00:00.000,
