idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100496,Biossido di Azoto,µg/m³,100166,NO2 Cadorago,CO,Cadorago,N         ,2011-01-01T00:00:00.000,
100497,Ozono,µg/m³,100166,O3 Cadorago,CO,Cadorago,N         ,2011-01-01T00:00:00.000,
100498,PM10,µg/m³,100166,PM10 Cadorago,CO,Cadorago,N         ,2011-01-01T00:00:00.000,
100499,Biossido di Azoto,µg/m³,100167,NO2 Caglio,CO,Caglio,N         ,2011-01-01T00:00:00.000,
100500,Ozono,µg/m³,100167,O3 Caglio,CO,Caglio,N         ,2011-01-01T00:00:00.000,
100501,PM10,µg/m³,100167,PM10 Caglio,CO,Caglio,N         ,2011-01-01T00:00:00.000,
100502,Biossido di Azoto,µg/m³,100168,NO2 Cagno,CO,Cagno,S         ,2011-01-01T00:00:00.000,2022-11-18T00:00:00.000
100503,Ozono,µg/m³,100168,O3 Cagno,CO,Cagno,S         ,2011-01-01T00:00:00.000,2022-11-18T07:00:00.000
100504,PM10,µg/m³,100168,PM10 Cagno,CO,Cagno,S         ,2011-01-01T00:00:00.000,2022-11-17T00:00:00.000
100505,Biossido di Azoto,µg/m³,100169,NO2 Campione d'Italia,CO,Campione d'Italia,N         ,2011-01-01T00:00:00.000,
100506,Ozono,µg/m³,100169,O3 Campione d'Italia,CO,Campione d'Italia,N         ,2011-01-01T00:00:00.000,
100507,PM10,µg/m³,100169,PM10 Campione d'Italia,CO,Campione d'Italia,N         ,2011-01-01T00:00:00.000,
100508,Biossido di Azoto,µg/m³,100170,NO2 Cantù,CO,Cantù,N         ,2011-01-01T00:00:00.000,
100509,Ozono,µg/m³,100170,O3 Cantù,CO,Cantù,N         ,2011-01-01T00:00:00.000,
100510,PM10,µg/m³,100170,PM10 Cantù,CO,Cantù,N         ,2011-01-01T00:00:00.000,
100511,Biossido di Azoto,µg/m³,100171,NO2 Canzo,CO,Canzo,N         ,2011-01-01T00:00:00.000,
100512,Ozono,µg/m³,100171,O3 Canzo,CO,Canzo,N         ,2011-01-01T00:00:00.000,
100513,PM10,µg/m³,100171,PM10 Canzo,CO,Canzo,N         ,2011-01-01T00:00:00.000,
100514,Biossido di Azoto,µg/m³,100172,NO2 Capiago Intimiano,CO,Capiago Intimiano,N         ,2011-01-01T00:00:00.000,
100515,Ozono,µg/m³,100172,O3 Capiago Intimiano,CO,Capiago Intimiano,N         ,2011-01-01T00:00:00.000,
100516,PM10,µg/m³,100172,PM10 Capiago Intimiano,CO,Capiago Intimiano,N         ,2011-01-01T00:00:00.000,
100517,Biossido di Azoto,µg/m³,100173,NO2 Carate Urio,CO,Carate Urio,N         ,2011-01-01T00:00:00.000,
100518,Ozono,µg/m³,100173,O3 Carate Urio,CO,Carate Urio,N         ,2011-01-01T00:00:00.000,
100519,PM10,µg/m³,100173,PM10 Carate Urio,CO,Carate Urio,N         ,2011-01-01T00:00:00.000,
100520,Biossido di Azoto,µg/m³,100174,NO2 Carbonate,CO,Carbonate,N         ,2011-01-01T00:00:00.000,
100521,Ozono,µg/m³,100174,O3 Carbonate,CO,Carbonate,N         ,2011-01-01T00:00:00.000,
100522,PM10,µg/m³,100174,PM10 Carbonate,CO,Carbonate,N         ,2011-01-01T00:00:00.000,
100523,Biossido di Azoto,µg/m³,100175,NO2 Carimate,CO,Carimate,N         ,2011-01-01T00:00:00.000,
100524,Ozono,µg/m³,100175,O3 Carimate,CO,Carimate,N         ,2011-01-01T00:00:00.000,
100525,PM10,µg/m³,100175,PM10 Carimate,CO,Carimate,N         ,2011-01-01T00:00:00.000,
100526,Biossido di Azoto,µg/m³,100176,NO2 Carlazzo,CO,Carlazzo,N         ,2011-01-01T00:00:00.000,
100527,Ozono,µg/m³,100176,O3 Carlazzo,CO,Carlazzo,N         ,2011-01-01T00:00:00.000,
100528,PM10,µg/m³,100176,PM10 Carlazzo,CO,Carlazzo,N         ,2011-01-01T00:00:00.000,
100529,Biossido di Azoto,µg/m³,100177,NO2 Carugo,CO,Carugo,N         ,2011-01-01T00:00:00.000,
100530,Ozono,µg/m³,100177,O3 Carugo,CO,Carugo,N         ,2011-01-01T00:00:00.000,
100531,PM10,µg/m³,100177,PM10 Carugo,CO,Carugo,N         ,2011-01-01T00:00:00.000,
100532,Biossido di Azoto,µg/m³,100178,NO2 Casasco d'Intelvi,CO,Casasco d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-18T00:00:00.000
100533,Ozono,µg/m³,100178,O3 Casasco d'Intelvi,CO,Casasco d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-18T07:00:00.000
100534,PM10,µg/m³,100178,PM10 Casasco d'Intelvi,CO,Casasco d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-17T00:00:00.000
100535,Biossido di Azoto,µg/m³,100179,NO2 Caslino d'Erba,CO,Caslino d'Erba,N         ,2011-01-01T00:00:00.000,
100536,Ozono,µg/m³,100179,O3 Caslino d'Erba,CO,Caslino d'Erba,N         ,2011-01-01T00:00:00.000,
100537,PM10,µg/m³,100179,PM10 Caslino d'Erba,CO,Caslino d'Erba,N         ,2011-01-01T00:00:00.000,
100538,Biossido di Azoto,µg/m³,100180,NO2 Casnate con Bernate,CO,Casnate con Bernate,N         ,2011-01-01T00:00:00.000,
100539,Ozono,µg/m³,100180,O3 Casnate con Bernate,CO,Casnate con Bernate,N         ,2011-01-01T00:00:00.000,
100540,PM10,µg/m³,100180,PM10 Casnate con Bernate,CO,Casnate con Bernate,N         ,2011-01-01T00:00:00.000,
100541,Biossido di Azoto,µg/m³,100181,NO2 Cassina Rizzardi,CO,Cassina Rizzardi,N         ,2011-01-01T00:00:00.000,
100542,Ozono,µg/m³,100181,O3 Cassina Rizzardi,CO,Cassina Rizzardi,N         ,2011-01-01T00:00:00.000,
100543,PM10,µg/m³,100181,PM10 Cassina Rizzardi,CO,Cassina Rizzardi,N         ,2011-01-01T00:00:00.000,
100544,Biossido di Azoto,µg/m³,100182,NO2 Castelmarte,CO,Castelmarte,N         ,2011-01-01T00:00:00.000,
100545,Ozono,µg/m³,100182,O3 Castelmarte,CO,Castelmarte,N         ,2011-01-01T00:00:00.000,
100546,PM10,µg/m³,100182,PM10 Castelmarte,CO,Castelmarte,N         ,2011-01-01T00:00:00.000,
100547,Biossido di Azoto,µg/m³,100183,NO2 Castelnuovo Bozzente,CO,Castelnuovo Bozzente,N         ,2011-01-01T00:00:00.000,
100548,Ozono,µg/m³,100183,O3 Castelnuovo Bozzente,CO,Castelnuovo Bozzente,N         ,2011-01-01T00:00:00.000,
100549,PM10,µg/m³,100183,PM10 Castelnuovo Bozzente,CO,Castelnuovo Bozzente,N         ,2011-01-01T00:00:00.000,
100550,Biossido di Azoto,µg/m³,100184,NO2 Castiglione d'Intelvi,CO,Castiglione d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-18T00:00:00.000
100551,Ozono,µg/m³,100184,O3 Castiglione d'Intelvi,CO,Castiglione d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-18T07:00:00.000
100552,PM10,µg/m³,100184,PM10 Castiglione d'Intelvi,CO,Castiglione d'Intelvi,S         ,2011-01-01T00:00:00.000,2022-11-17T00:00:00.000
100553,Biossido di Azoto,µg/m³,100185,NO2 Cavallasca,CO,Cavallasca,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100554,Ozono,µg/m³,100185,O3 Cavallasca,CO,Cavallasca,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100555,PM10,µg/m³,100185,PM10 Cavallasca,CO,Cavallasca,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100556,Biossido di Azoto,µg/m³,100186,NO2 Cavargna,CO,Cavargna,N         ,2011-01-01T00:00:00.000,
100557,Ozono,µg/m³,100186,O3 Cavargna,CO,Cavargna,N         ,2011-01-01T00:00:00.000,
100558,PM10,µg/m³,100186,PM10 Cavargna,CO,Cavargna,N         ,2011-01-01T00:00:00.000,
100559,Biossido di Azoto,µg/m³,100187,NO2 Cerano d'Intelvi,CO,Cerano d'Intelvi,N         ,2011-01-01T00:00:00.000,
100560,Ozono,µg/m³,100187,O3 Cerano d'Intelvi,CO,Cerano d'Intelvi,N         ,2011-01-01T00:00:00.000,
100561,PM10,µg/m³,100187,PM10 Cerano d'Intelvi,CO,Cerano d'Intelvi,N         ,2011-01-01T00:00:00.000,
100562,Biossido di Azoto,µg/m³,100188,NO2 Cermenate,CO,Cermenate,N         ,2011-01-01T00:00:00.000,
100563,Ozono,µg/m³,100188,O3 Cermenate,CO,Cermenate,N         ,2011-01-01T00:00:00.000,
100564,PM10,µg/m³,100188,PM10 Cermenate,CO,Cermenate,N         ,2011-01-01T00:00:00.000,
100565,Biossido di Azoto,µg/m³,100189,NO2 Cernobbio,CO,Cernobbio,N         ,2011-01-01T00:00:00.000,
100566,Ozono,µg/m³,100189,O3 Cernobbio,CO,Cernobbio,N         ,2011-01-01T00:00:00.000,
100567,PM10,µg/m³,100189,PM10 Cernobbio,CO,Cernobbio,N         ,2011-01-01T00:00:00.000,
100568,Biossido di Azoto,µg/m³,100190,NO2 Cirimido,CO,Cirimido,N         ,2011-01-01T00:00:00.000,
100569,Ozono,µg/m³,100190,O3 Cirimido,CO,Cirimido,N         ,2011-01-01T00:00:00.000,
100570,PM10,µg/m³,100190,PM10 Cirimido,CO,Cirimido,N         ,2011-01-01T00:00:00.000,
100571,Biossido di Azoto,µg/m³,100191,NO2 Civenna,CO,Civenna,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100572,Ozono,µg/m³,100191,O3 Civenna,CO,Civenna,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100573,PM10,µg/m³,100191,PM10 Civenna,CO,Civenna,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100574,Biossido di Azoto,µg/m³,100192,NO2 Claino con Osteno,CO,Claino con Osteno,N         ,2011-01-01T00:00:00.000,
100575,Ozono,µg/m³,100192,O3 Claino con Osteno,CO,Claino con Osteno,N         ,2011-01-01T00:00:00.000,
100576,PM10,µg/m³,100192,PM10 Claino con Osteno,CO,Claino con Osteno,N         ,2011-01-01T00:00:00.000,
100577,Biossido di Azoto,µg/m³,100193,NO2 Colonno,CO,Colonno,N         ,2011-01-01T00:00:00.000,
100578,Ozono,µg/m³,100193,O3 Colonno,CO,Colonno,N         ,2011-01-01T00:00:00.000,
100579,PM10,µg/m³,100193,PM10 Colonno,CO,Colonno,N         ,2011-01-01T00:00:00.000,
100580,Biossido di Azoto,µg/m³,100194,NO2 Como,CO,Como,N         ,2011-01-01T00:00:00.000,
100581,Ozono,µg/m³,100194,O3 Como,CO,Como,N         ,2011-01-01T00:00:00.000,
100582,PM10,µg/m³,100194,PM10 Como,CO,Como,N         ,2011-01-01T00:00:00.000,
100583,Biossido di Azoto,µg/m³,100195,NO2 Corrido,CO,Corrido,N         ,2011-01-01T00:00:00.000,
100584,Ozono,µg/m³,100195,O3 Corrido,CO,Corrido,N         ,2011-01-01T00:00:00.000,
100585,PM10,µg/m³,100195,PM10 Corrido,CO,Corrido,N         ,2011-01-01T00:00:00.000,
100586,Biossido di Azoto,µg/m³,100196,NO2 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,
100587,Ozono,µg/m³,100196,O3 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,
100588,PM10,µg/m³,100196,PM10 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,
100589,Biossido di Azoto,µg/m³,100197,NO2 Cucciago,CO,Cucciago,N         ,2011-01-01T00:00:00.000,
100590,Ozono,µg/m³,100197,O3 Cucciago,CO,Cucciago,N         ,2011-01-01T00:00:00.000,
100591,PM10,µg/m³,100197,PM10 Cucciago,CO,Cucciago,N         ,2011-01-01T00:00:00.000,
100592,Biossido di Azoto,µg/m³,100198,NO2 Cusino,CO,Cusino,N         ,2011-01-01T00:00:00.000,
100593,Ozono,µg/m³,100198,O3 Cusino,CO,Cusino,N         ,2011-01-01T00:00:00.000,
100594,PM10,µg/m³,100198,PM10 Cusino,CO,Cusino,N         ,2011-01-01T00:00:00.000,
100595,Biossido di Azoto,µg/m³,100199,NO2 Dizzasco,CO,Dizzasco,N         ,2011-01-01T00:00:00.000,
100596,Ozono,µg/m³,100199,O3 Dizzasco,CO,Dizzasco,N         ,2011-01-01T00:00:00.000,
100597,PM10,µg/m³,100199,PM10 Dizzasco,CO,Dizzasco,N         ,2011-01-01T00:00:00.000,
100598,Biossido di Azoto,µg/m³,100200,NO2 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,
100599,Ozono,µg/m³,100200,O3 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,
100600,PM10,µg/m³,100200,PM10 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,
100601,Biossido di Azoto,µg/m³,100201,NO2 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,
100602,Ozono,µg/m³,100201,O3 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,
100603,PM10,µg/m³,100201,PM10 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,
100604,Biossido di Azoto,µg/m³,100202,NO2 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,
100605,Ozono,µg/m³,100202,O3 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,
100606,PM10,µg/m³,100202,PM10 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,
100607,Biossido di Azoto,µg/m³,100203,NO2 Drezzo,CO,Drezzo,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100608,Ozono,µg/m³,100203,O3 Drezzo,CO,Drezzo,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100609,PM10,µg/m³,100203,PM10 Drezzo,CO,Drezzo,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100610,Biossido di Azoto,µg/m³,100204,NO2 Erba,CO,Erba,N         ,2011-01-01T00:00:00.000,
100611,Ozono,µg/m³,100204,O3 Erba,CO,Erba,N         ,2011-01-01T00:00:00.000,
100612,PM10,µg/m³,100204,PM10 Erba,CO,Erba,N         ,2011-01-01T00:00:00.000,
100613,Biossido di Azoto,µg/m³,100205,NO2 Eupilio,CO,Eupilio,N         ,2011-01-01T00:00:00.000,
100614,Ozono,µg/m³,100205,O3 Eupilio,CO,Eupilio,N         ,2011-01-01T00:00:00.000,
100615,PM10,µg/m³,100205,PM10 Eupilio,CO,Eupilio,N         ,2011-01-01T00:00:00.000,
100616,Biossido di Azoto,µg/m³,100206,NO2 Faggeto Lario,CO,Faggeto Lario,N         ,2011-01-01T00:00:00.000,
100617,Ozono,µg/m³,100206,O3 Faggeto Lario,CO,Faggeto Lario,N         ,2011-01-01T00:00:00.000,
100618,PM10,µg/m³,100206,PM10 Faggeto Lario,CO,Faggeto Lario,N         ,2011-01-01T00:00:00.000,
100619,Biossido di Azoto,µg/m³,100207,NO2 Faloppio,CO,Faloppio,N         ,2011-01-01T00:00:00.000,
100620,Ozono,µg/m³,100207,O3 Faloppio,CO,Faloppio,N         ,2011-01-01T00:00:00.000,
100621,PM10,µg/m³,100207,PM10 Faloppio,CO,Faloppio,N         ,2011-01-01T00:00:00.000,
100622,Biossido di Azoto,µg/m³,100208,NO2 Fenegrò,CO,Fenegrò,N         ,2011-01-01T00:00:00.000,
100623,Ozono,µg/m³,100208,O3 Fenegrò,CO,Fenegrò,N         ,2011-01-01T00:00:00.000,
100624,PM10,µg/m³,100208,PM10 Fenegrò,CO,Fenegrò,N         ,2011-01-01T00:00:00.000,
100625,Biossido di Azoto,µg/m³,100209,NO2 Figino Serenza,CO,Figino Serenza,N         ,2011-01-01T00:00:00.000,
100626,Ozono,µg/m³,100209,O3 Figino Serenza,CO,Figino Serenza,N         ,2011-01-01T00:00:00.000,
100627,PM10,µg/m³,100209,PM10 Figino Serenza,CO,Figino Serenza,N         ,2011-01-01T00:00:00.000,
100628,Biossido di Azoto,µg/m³,100210,NO2 Fino Mornasco,CO,Fino Mornasco,N         ,2011-01-01T00:00:00.000,
100629,Ozono,µg/m³,100210,O3 Fino Mornasco,CO,Fino Mornasco,N         ,2011-01-01T00:00:00.000,
100630,PM10,µg/m³,100210,PM10 Fino Mornasco,CO,Fino Mornasco,N         ,2011-01-01T00:00:00.000,
100631,Biossido di Azoto,µg/m³,100211,NO2 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,
100632,Ozono,µg/m³,100211,O3 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,
100633,PM10,µg/m³,100211,PM10 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,
100634,Biossido di Azoto,µg/m³,100212,NO2 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,
100635,Ozono,µg/m³,100212,O3 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,
100636,PM10,µg/m³,100212,PM10 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,
100637,Biossido di Azoto,µg/m³,100213,NO2 Gironico,CO,Gironico,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100638,Ozono,µg/m³,100213,O3 Gironico,CO,Gironico,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100639,PM10,µg/m³,100213,PM10 Gironico,CO,Gironico,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100640,Biossido di Azoto,µg/m³,100214,NO2 Grandate,CO,Grandate,N         ,2011-01-01T00:00:00.000,
100641,Ozono,µg/m³,100214,O3 Grandate,CO,Grandate,N         ,2011-01-01T00:00:00.000,
100642,PM10,µg/m³,100214,PM10 Grandate,CO,Grandate,N         ,2011-01-01T00:00:00.000,
100643,Biossido di Azoto,µg/m³,100215,NO2 Grandola ed Uniti,CO,Grandola ed Uniti,N         ,2011-01-01T00:00:00.000,
100644,Ozono,µg/m³,100215,O3 Grandola ed Uniti,CO,Grandola ed Uniti,N         ,2011-01-01T00:00:00.000,
100645,PM10,µg/m³,100215,PM10 Grandola ed Uniti,CO,Grandola ed Uniti,N         ,2011-01-01T00:00:00.000,
100646,Biossido di Azoto,µg/m³,100216,NO2 Griante,CO,Griante,N         ,2011-01-01T00:00:00.000,
100647,Ozono,µg/m³,100216,O3 Griante,CO,Griante,N         ,2011-01-01T00:00:00.000,
100648,PM10,µg/m³,100216,PM10 Griante,CO,Griante,N         ,2011-01-01T00:00:00.000,
100649,Biossido di Azoto,µg/m³,100217,NO2 Guanzate,CO,Guanzate,N         ,2011-01-01T00:00:00.000,
100650,Ozono,µg/m³,100217,O3 Guanzate,CO,Guanzate,N         ,2011-01-01T00:00:00.000,
100651,PM10,µg/m³,100217,PM10 Guanzate,CO,Guanzate,N         ,2011-01-01T00:00:00.000,
100652,Biossido di Azoto,µg/m³,100218,NO2 Inverigo,CO,Inverigo,N         ,2011-01-01T00:00:00.000,
100653,Ozono,µg/m³,100218,O3 Inverigo,CO,Inverigo,N         ,2011-01-01T00:00:00.000,
100654,PM10,µg/m³,100218,PM10 Inverigo,CO,Inverigo,N         ,2011-01-01T00:00:00.000,
100655,Biossido di Azoto,µg/m³,100219,NO2 Laglio,CO,Laglio,N         ,2011-01-01T00:00:00.000,
100656,Ozono,µg/m³,100219,O3 Laglio,CO,Laglio,N         ,2011-01-01T00:00:00.000,
100657,PM10,µg/m³,100219,PM10 Laglio,CO,Laglio,N         ,2011-01-01T00:00:00.000,
100658,Biossido di Azoto,µg/m³,100220,NO2 Laino,CO,Laino,N         ,2011-01-01T00:00:00.000,
100659,Ozono,µg/m³,100220,O3 Laino,CO,Laino,N         ,2011-01-01T00:00:00.000,
100660,PM10,µg/m³,100220,PM10 Laino,CO,Laino,N         ,2011-01-01T00:00:00.000,
100661,Biossido di Azoto,µg/m³,100221,NO2 Lambrugo,CO,Lambrugo,N         ,2011-01-01T00:00:00.000,
100662,Ozono,µg/m³,100221,O3 Lambrugo,CO,Lambrugo,N         ,2011-01-01T00:00:00.000,
100663,PM10,µg/m³,100221,PM10 Lambrugo,CO,Lambrugo,N         ,2011-01-01T00:00:00.000,
100664,Biossido di Azoto,µg/m³,100222,NO2 Lanzo d'Intelvi,CO,Lanzo d'Intelvi,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100665,Ozono,µg/m³,100222,O3 Lanzo d'Intelvi,CO,Lanzo d'Intelvi,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100666,PM10,µg/m³,100222,PM10 Lanzo d'Intelvi,CO,Lanzo d'Intelvi,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100667,Biossido di Azoto,µg/m³,100223,NO2 Lasnigo,CO,Lasnigo,N         ,2011-01-01T00:00:00.000,
100668,Ozono,µg/m³,100223,O3 Lasnigo,CO,Lasnigo,N         ,2011-01-01T00:00:00.000,
100669,PM10,µg/m³,100223,PM10 Lasnigo,CO,Lasnigo,N         ,2011-01-01T00:00:00.000,
100670,Biossido di Azoto,µg/m³,100224,NO2 Lenno,CO,Lenno,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100671,Ozono,µg/m³,100224,O3 Lenno,CO,Lenno,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100672,PM10,µg/m³,100224,PM10 Lenno,CO,Lenno,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100673,Biossido di Azoto,µg/m³,100225,NO2 Lezzeno,CO,Lezzeno,N         ,2011-01-01T00:00:00.000,
100674,Ozono,µg/m³,100225,O3 Lezzeno,CO,Lezzeno,N         ,2011-01-01T00:00:00.000,
100675,PM10,µg/m³,100225,PM10 Lezzeno,CO,Lezzeno,N         ,2011-01-01T00:00:00.000,
100676,Biossido di Azoto,µg/m³,100226,NO2 Limido Comasco,CO,Limido Comasco,N         ,2011-01-01T00:00:00.000,
100677,Ozono,µg/m³,100226,O3 Limido Comasco,CO,Limido Comasco,N         ,2011-01-01T00:00:00.000,
100678,PM10,µg/m³,100226,PM10 Limido Comasco,CO,Limido Comasco,N         ,2011-01-01T00:00:00.000,
100679,Biossido di Azoto,µg/m³,100227,NO2 Lipomo,CO,Lipomo,N         ,2011-01-01T00:00:00.000,
100680,Ozono,µg/m³,100227,O3 Lipomo,CO,Lipomo,N         ,2011-01-01T00:00:00.000,
100681,PM10,µg/m³,100227,PM10 Lipomo,CO,Lipomo,N         ,2011-01-01T00:00:00.000,
100682,Biossido di Azoto,µg/m³,100228,NO2 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,
100683,Ozono,µg/m³,100228,O3 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,
100684,PM10,µg/m³,100228,PM10 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,
100685,Biossido di Azoto,µg/m³,100229,NO2 Locate Varesino,CO,Locate Varesino,N         ,2011-01-01T00:00:00.000,
100686,Ozono,µg/m³,100229,O3 Locate Varesino,CO,Locate Varesino,N         ,2011-01-01T00:00:00.000,
100687,PM10,µg/m³,100229,PM10 Locate Varesino,CO,Locate Varesino,N         ,2011-01-01T00:00:00.000,
100688,Biossido di Azoto,µg/m³,100230,NO2 Lomazzo,CO,Lomazzo,N         ,2011-01-01T00:00:00.000,
100689,Ozono,µg/m³,100230,O3 Lomazzo,CO,Lomazzo,N         ,2011-01-01T00:00:00.000,
100690,PM10,µg/m³,100230,PM10 Lomazzo,CO,Lomazzo,N         ,2011-01-01T00:00:00.000,
100691,Biossido di Azoto,µg/m³,100231,NO2 Longone al Segrino,CO,Longone al Segrino,N         ,2011-01-01T00:00:00.000,
100692,Ozono,µg/m³,100231,O3 Longone al Segrino,CO,Longone al Segrino,N         ,2011-01-01T00:00:00.000,
100693,PM10,µg/m³,100231,PM10 Longone al Segrino,CO,Longone al Segrino,N         ,2011-01-01T00:00:00.000,
100694,Biossido di Azoto,µg/m³,100232,NO2 Luisago,CO,Luisago,N         ,2011-01-01T00:00:00.000,
100695,Ozono,µg/m³,100232,O3 Luisago,CO,Luisago,N         ,2011-01-01T00:00:00.000,
100696,PM10,µg/m³,100232,PM10 Luisago,CO,Luisago,N         ,2011-01-01T00:00:00.000,
100697,Biossido di Azoto,µg/m³,100233,NO2 Lurago d'Erba,CO,Lurago d'Erba,N         ,2011-01-01T00:00:00.000,
100698,Ozono,µg/m³,100233,O3 Lurago d'Erba,CO,Lurago d'Erba,N         ,2011-01-01T00:00:00.000,
100699,PM10,µg/m³,100233,PM10 Lurago d'Erba,CO,Lurago d'Erba,N         ,2011-01-01T00:00:00.000,
100700,Biossido di Azoto,µg/m³,100234,NO2 Lurago Marinone,CO,Lurago Marinone,N         ,2011-01-01T00:00:00.000,
100701,Ozono,µg/m³,100234,O3 Lurago Marinone,CO,Lurago Marinone,N         ,2011-01-01T00:00:00.000,
100702,PM10,µg/m³,100234,PM10 Lurago Marinone,CO,Lurago Marinone,N         ,2011-01-01T00:00:00.000,
100703,Biossido di Azoto,µg/m³,100235,NO2 Lurate Caccivio,CO,Lurate Caccivio,N         ,2011-01-01T00:00:00.000,
100704,Ozono,µg/m³,100235,O3 Lurate Caccivio,CO,Lurate Caccivio,N         ,2011-01-01T00:00:00.000,
100705,PM10,µg/m³,100235,PM10 Lurate Caccivio,CO,Lurate Caccivio,N         ,2011-01-01T00:00:00.000,
100706,Biossido di Azoto,µg/m³,100236,NO2 Magreglio,CO,Magreglio,N         ,2011-01-01T00:00:00.000,
100707,Ozono,µg/m³,100236,O3 Magreglio,CO,Magreglio,N         ,2011-01-01T00:00:00.000,
100708,PM10,µg/m³,100236,PM10 Magreglio,CO,Magreglio,N         ,2011-01-01T00:00:00.000,
100709,Biossido di Azoto,µg/m³,100237,NO2 Mariano Comense,CO,Mariano Comense,N         ,2011-01-01T00:00:00.000,
100710,Ozono,µg/m³,100237,O3 Mariano Comense,CO,Mariano Comense,N         ,2011-01-01T00:00:00.000,
100711,PM10,µg/m³,100237,PM10 Mariano Comense,CO,Mariano Comense,N         ,2011-01-01T00:00:00.000,
100712,Biossido di Azoto,µg/m³,100238,NO2 Maslianico,CO,Maslianico,N         ,2011-01-01T00:00:00.000,
100713,Ozono,µg/m³,100238,O3 Maslianico,CO,Maslianico,N         ,2011-01-01T00:00:00.000,
100714,PM10,µg/m³,100238,PM10 Maslianico,CO,Maslianico,N         ,2011-01-01T00:00:00.000,
100715,Biossido di Azoto,µg/m³,100239,NO2 Menaggio,CO,Menaggio,N         ,2011-01-01T00:00:00.000,
100716,Ozono,µg/m³,100239,O3 Menaggio,CO,Menaggio,N         ,2011-01-01T00:00:00.000,
100717,PM10,µg/m³,100239,PM10 Menaggio,CO,Menaggio,N         ,2011-01-01T00:00:00.000,
100718,Biossido di Azoto,µg/m³,100240,NO2 Merone,CO,Merone,N         ,2011-01-01T00:00:00.000,
100719,Ozono,µg/m³,100240,O3 Merone,CO,Merone,N         ,2011-01-01T00:00:00.000,
100720,PM10,µg/m³,100240,PM10 Merone,CO,Merone,N         ,2011-01-01T00:00:00.000,
100721,Biossido di Azoto,µg/m³,100241,NO2 Mezzegra,CO,Mezzegra,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100722,Ozono,µg/m³,100241,O3 Mezzegra,CO,Mezzegra,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000
100723,PM10,µg/m³,100241,PM10 Mezzegra,CO,Mezzegra,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000
100724,Biossido di Azoto,µg/m³,100242,NO2 Moltrasio,CO,Moltrasio,N         ,2011-01-01T00:00:00.000,
