anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,Biossido di Azoto,BG,Villa D'Almè,412,511,80.6
2025-2026,Biossido di Azoto,BG,Villa D'Ogna,467,511,91.4
2025-2026,Biossido di Azoto,SO,Villa Di Chiavenna,469,511,91.8
2025-2026,Biossido di Azoto,BG,Villa Di Serio,467,511,91.4
2025-2026,Biossido di Azoto,SO,Villa Di Tirano,402,511,78.7
2025-2026,Biossido di Azoto,MB,Villasanta,405,511,79.3
2025-2026,Biossido di Azoto,BG,Villongo,467,511,91.4
2025-2026,Biossido di Azoto,BG,Vilminore Di Scalve,467,511,91.4
2025-2026,Biossido di Azoto,MB,Vimercate,409,511,80.0
2025-2026,Biossido di Azoto,BS,Vione,465,511,91.0
2025-2026,Biossido di Azoto,BG,Zandobbio,469,511,91.8
2025-2026,Biossido di Azoto,BG,Zanica,467,511,91.4
2025-2026,Biossido di Azoto,BG,Zogno,413,511,80.8
