idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
105660,Particelle sospese PM2.5,µg/m³,100635,PM2.5 Urbanizzato Lenna,BG,Lenna,N         ,2016-01-01T00:00:00.000,,Lenna
105661,Particelle sospese PM2.5,µg/m³,100636,PM2.5 Levate,BG,Levate,N         ,2016-01-01T00:00:00.000,,Levate
105662,Particelle sospese PM2.5,µg/m³,100637,PM2.5 Locatello,BG,Locatello,N         ,2016-01-01T00:00:00.000,,Locatello
105663,Particelle sospese PM2.5,µg/m³,100637,PM2.5 Urbanizzato Locatello,BG,Locatello,N         ,2016-01-01T00:00:00.000,,Locatello
105664,Particelle sospese PM2.5,µg/m³,100638,PM2.5 Lovere,BG,Lovere,N         ,2016-01-01T00:00:00.000,,Lovere
105665,Particelle sospese PM2.5,µg/m³,100639,PM2.5 Lurano,BG,Lurano,N         ,2016-01-01T00:00:00.000,,Lurano
105666,Particelle sospese PM2.5,µg/m³,100640,PM2.5 Luzzana,BG,Luzzana,N         ,2016-01-01T00:00:00.000,,Luzzana
105667,Particelle sospese PM2.5,µg/m³,100641,PM2.5 Madone,BG,Madone,N         ,2016-01-01T00:00:00.000,,Madone
105668,Particelle sospese PM2.5,µg/m³,100642,PM2.5 Mapello,BG,Mapello,N         ,2016-01-01T00:00:00.000,,Mapello
105669,Particelle sospese PM2.5,µg/m³,100643,PM2.5 Martinengo,BG,Martinengo,N         ,2016-01-01T00:00:00.000,,Martinengo
105670,Particelle sospese PM2.5,µg/m³,100644,PM2.5 Mezzoldo,BG,Mezzoldo,N         ,2016-01-01T00:00:00.000,,Mezzoldo
105671,Particelle sospese PM2.5,µg/m³,100645,PM2.5 Misano di Gera d'Adda,BG,Misano di Gera d'Adda,N         ,2016-01-01T00:00:00.000,,Misano Di Gera D'Adda
105672,Particelle sospese PM2.5,µg/m³,100646,PM2.5 Moio de' Calvi,BG,Moio de' Calvi,N         ,2016-01-01T00:00:00.000,,Moio De' Calvi
105673,Particelle sospese PM2.5,µg/m³,100647,PM2.5 Monasterolo del Castello,BG,Monasterolo del Castello,N         ,2016-01-01T00:00:00.000,,Monasterolo Del Castello
105674,Particelle sospese PM2.5,µg/m³,100648,PM2.5 Montello,BG,Montello,N         ,2016-01-01T00:00:00.000,,Montello
105675,Particelle sospese PM2.5,µg/m³,100649,PM2.5 Morengo,BG,Morengo,N         ,2016-01-01T00:00:00.000,,Morengo
105676,Particelle sospese PM2.5,µg/m³,100650,PM2.5 Mornico al Serio,BG,Mornico al Serio,N         ,2016-01-01T00:00:00.000,,Mornico Al Serio
105677,Particelle sospese PM2.5,µg/m³,100651,PM2.5 Mozzanica,BG,Mozzanica,N         ,2016-01-01T00:00:00.000,,Mozzanica
105678,Particelle sospese PM2.5,µg/m³,100652,PM2.5 Mozzo,BG,Mozzo,N         ,2016-01-01T00:00:00.000,,Mozzo
105679,Particelle sospese PM2.5,µg/m³,100653,PM2.5 Nembro,BG,Nembro,N         ,2016-01-01T00:00:00.000,,Nembro
105680,Particelle sospese PM2.5,µg/m³,100654,PM2.5 Olmo al Brembo,BG,Olmo al Brembo,N         ,2016-01-01T00:00:00.000,,Olmo Al Brembo
105681,Particelle sospese PM2.5,µg/m³,100655,PM2.5 Oltre il Colle,BG,Oltre il Colle,N         ,2016-01-01T00:00:00.000,,Oltre Il Colle
105682,Particelle sospese PM2.5,µg/m³,100656,PM2.5 Oltressenda Alta,BG,Oltressenda Alta,N         ,2016-01-01T00:00:00.000,,Oltressenda Alta
105683,Particelle sospese PM2.5,µg/m³,100657,PM2.5 Oneta,BG,Oneta,N         ,2016-01-01T00:00:00.000,,Oneta
105684,Particelle sospese PM2.5,µg/m³,100658,PM2.5 Onore,BG,Onore,N         ,2016-01-01T00:00:00.000,,Onore
105685,Particelle sospese PM2.5,µg/m³,100659,PM2.5 Orio al Serio,BG,Orio al Serio,N         ,2016-01-01T00:00:00.000,,Orio Al Serio
105686,Particelle sospese PM2.5,µg/m³,100660,PM2.5 Ornica,BG,Ornica,N         ,2016-01-01T00:00:00.000,,Ornica
105687,Particelle sospese PM2.5,µg/m³,100661,PM2.5 Osio Sopra,BG,Osio Sopra,N         ,2016-01-01T00:00:00.000,,Osio Sopra
105688,Particelle sospese PM2.5,µg/m³,100662,PM2.5 Osio Sotto,BG,Osio Sotto,N         ,2016-01-01T00:00:00.000,,Osio Sotto
105689,Particelle sospese PM2.5,µg/m³,100663,PM2.5 Pagazzano,BG,Pagazzano,N         ,2016-01-01T00:00:00.000,,Pagazzano
105690,Particelle sospese PM2.5,µg/m³,100664,PM2.5 Paladina,BG,Paladina,N         ,2016-01-01T00:00:00.000,,Paladina
105691,Particelle sospese PM2.5,µg/m³,100665,PM2.5 Palazzago,BG,Palazzago,N         ,2016-01-01T00:00:00.000,,Palazzago
105692,Particelle sospese PM2.5,µg/m³,100666,PM2.5 Palosco,BG,Palosco,N         ,2016-01-01T00:00:00.000,,Palosco
105693,Particelle sospese PM2.5,µg/m³,100667,PM2.5 Parre,BG,Parre,N         ,2016-01-01T00:00:00.000,,Parre
105694,Particelle sospese PM2.5,µg/m³,100668,PM2.5 Parzanica,BG,Parzanica,N         ,2016-01-01T00:00:00.000,,Parzanica
