idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
100586,Biossido di Azoto,µg/m³,100196,NO2 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,,Cremia
100588,PM10,µg/m³,100196,PM10 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,,Cremia
100598,Biossido di Azoto,µg/m³,100200,NO2 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,,Domaso
100600,PM10,µg/m³,100200,PM10 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,,Domaso
100601,Biossido di Azoto,µg/m³,100201,NO2 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,,Dongo
100603,PM10,µg/m³,100201,PM10 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,,Dongo
100604,Biossido di Azoto,µg/m³,100202,NO2 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,,Dosso Del Liro
100606,PM10,µg/m³,100202,PM10 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,,Dosso Del Liro
100631,Biossido di Azoto,µg/m³,100211,NO2 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,,Garzeno
100633,PM10,µg/m³,100211,PM10 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,,Garzeno
100634,Biossido di Azoto,µg/m³,100212,NO2 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,,Gera Lario
100636,PM10,µg/m³,100212,PM10 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,,Gera Lario
100682,Biossido di Azoto,µg/m³,100228,NO2 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,,Livo
100684,PM10,µg/m³,100228,PM10 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,,Livo
100733,Biossido di Azoto,µg/m³,100245,NO2 Montemezzo,CO,Montemezzo,N         ,2011-01-01T00:00:00.000,,Montemezzo
100735,PM10,µg/m³,100245,PM10 Montemezzo,CO,Montemezzo,N         ,2011-01-01T00:00:00.000,,Montemezzo
100742,Biossido di Azoto,µg/m³,100248,NO2 Musso,CO,Musso,N         ,2011-01-01T00:00:00.000,,Musso
100744,PM10,µg/m³,100248,PM10 Musso,CO,Musso,N         ,2011-01-01T00:00:00.000,,Musso
100766,Biossido di Azoto,µg/m³,100256,NO2 Peglio,CO,Peglio,N         ,2011-01-01T00:00:00.000,,Peglio
100768,PM10,µg/m³,100256,PM10 Peglio,CO,Peglio,N         ,2011-01-01T00:00:00.000,,Peglio
100772,Biossido di Azoto,µg/m³,100258,NO2 Pianello del Lario,CO,Pianello del Lario,N         ,2011-01-01T00:00:00.000,,Pianello Del Lario
100774,PM10,µg/m³,100258,PM10 Pianello del Lario,CO,Pianello del Lario,N         ,2011-01-01T00:00:00.000,,Pianello Del Lario
100841,Biossido di Azoto,µg/m³,100281,NO2 Sorico,CO,Sorico,N         ,2011-01-01T00:00:00.000,,Sorico
100843,PM10,µg/m³,100281,PM10 Sorico,CO,Sorico,N         ,2011-01-01T00:00:00.000,,Sorico
100847,Biossido di Azoto,µg/m³,100283,NO2 Stazzona,CO,Stazzona,N         ,2011-01-01T00:00:00.000,,Stazzona
100849,PM10,µg/m³,100283,PM10 Stazzona,CO,Stazzona,N         ,2011-01-01T00:00:00.000,,Stazzona
100859,Biossido di Azoto,µg/m³,100287,NO2 Trezzone,CO,Trezzone,N         ,2011-01-01T00:00:00.000,,Trezzone
100861,PM10,µg/m³,100287,PM10 Trezzone,CO,Trezzone,N         ,2011-01-01T00:00:00.000,,Trezzone
100886,Biossido di Azoto,µg/m³,100296,NO2 Vercana,CO,Vercana,N         ,2011-01-01T00:00:00.000,,Vercana
100888,PM10,µg/m³,100296,PM10 Vercana,CO,Vercana,N         ,2011-01-01T00:00:00.000,,Vercana
100901,Biossido di Azoto,µg/m³,100301,NO2 Gravedona ed Uniti,CO,Gravedona ed Uniti,N         ,2011-01-01T00:00:00.000,,Gravedona Ed Uniti
100903,PM10,µg/m³,100301,PM10 Gravedona ed Uniti,CO,Gravedona ed Uniti,N         ,2011-01-01T00:00:00.000,,Gravedona Ed Uniti
100904,Biossido di Azoto,µg/m³,100302,NO2 Albaredo per San Marco,SO,Albaredo per San Marco,N         ,2011-01-01T00:00:00.000,,Albaredo Per San Marco
100906,PM10,µg/m³,100302,PM10 Albaredo per San Marco,SO,Albaredo per San Marco,N         ,2011-01-01T00:00:00.000,,Albaredo Per San Marco
100907,Biossido di Azoto,µg/m³,100303,NO2 Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100908,Biossido di Azoto,µg/m³,100303,NO2 Urbanizzato Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100911,PM10,µg/m³,100303,PM10 Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100912,PM10,µg/m³,100303,PM10 Urbanizzato Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100913,Biossido di Azoto,µg/m³,100304,NO2 Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
100914,Biossido di Azoto,µg/m³,100304,NO2 Urbanizzato Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
100917,PM10,µg/m³,100304,PM10 Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
100918,PM10,µg/m³,100304,PM10 Urbanizzato Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
100919,Biossido di Azoto,µg/m³,100305,NO2 Aprica,SO,Aprica,N         ,2011-01-01T00:00:00.000,,Aprica
100921,PM10,µg/m³,100305,PM10 Aprica,SO,Aprica,N         ,2011-01-01T00:00:00.000,,Aprica
100922,Biossido di Azoto,µg/m³,100306,NO2 Ardenno,SO,Ardenno,N         ,2011-01-01T00:00:00.000,,Ardenno
100923,Biossido di Azoto,µg/m³,100306,NO2 Urbanizzato Ardenno,SO,Ardenno,N         ,2011-01-01T00:00:00.000,,Ardenno
100926,PM10,µg/m³,100306,PM10 Ardenno,SO,Ardenno,N         ,2011-01-01T00:00:00.000,,Ardenno
100927,PM10,µg/m³,100306,PM10 Urbanizzato Ardenno,SO,Ardenno,N         ,2011-01-01T00:00:00.000,,Ardenno
100928,Biossido di Azoto,µg/m³,100307,NO2 Bema,SO,Bema,N         ,2011-01-01T00:00:00.000,,Bema
100930,PM10,µg/m³,100307,PM10 Bema,SO,Bema,N         ,2011-01-01T00:00:00.000,,Bema
100931,Biossido di Azoto,µg/m³,100308,NO2 Berbenno di Valtellina,SO,Berbenno di Valtellina,N         ,2011-01-01T00:00:00.000,,Berbenno Di Valtellina
100932,Biossido di Azoto,µg/m³,100308,NO2 Urbanizzato Berbenno di Valtellina,SO,Berbenno di Valtellina,N         ,2011-01-01T00:00:00.000,,Berbenno Di Valtellina
100935,PM10,µg/m³,100308,PM10 Berbenno di Valtellina,SO,Berbenno di Valtellina,N         ,2011-01-01T00:00:00.000,,Berbenno Di Valtellina
100936,PM10,µg/m³,100308,PM10 Urbanizzato Berbenno di Valtellina,SO,Berbenno di Valtellina,N         ,2011-01-01T00:00:00.000,,Berbenno Di Valtellina
100937,Biossido di Azoto,µg/m³,100309,NO2 Bianzone,SO,Bianzone,N         ,2011-01-01T00:00:00.000,,Bianzone
100938,Biossido di Azoto,µg/m³,100309,NO2 Urbanizzato Bianzone,SO,Bianzone,N         ,2011-01-01T00:00:00.000,,Bianzone
100941,PM10,µg/m³,100309,PM10 Bianzone,SO,Bianzone,N         ,2011-01-01T00:00:00.000,,Bianzone
100942,PM10,µg/m³,100309,PM10 Urbanizzato Bianzone,SO,Bianzone,N         ,2011-01-01T00:00:00.000,,Bianzone
100943,Biossido di Azoto,µg/m³,100310,NO2 Bormio,SO,Bormio,N         ,2011-01-01T00:00:00.000,,Bormio
100945,PM10,µg/m³,100310,PM10 Bormio,SO,Bormio,N         ,2011-01-01T00:00:00.000,,Bormio
100946,Biossido di Azoto,µg/m³,100311,NO2 Buglio in Monte,SO,Buglio in Monte,N         ,2011-01-01T00:00:00.000,,Buglio In Monte
100947,Biossido di Azoto,µg/m³,100311,NO2 Urbanizzato Buglio in Monte,SO,Buglio in Monte,N         ,2011-01-01T00:00:00.000,,Buglio In Monte
100950,PM10,µg/m³,100311,PM10 Buglio in Monte,SO,Buglio in Monte,N         ,2011-01-01T00:00:00.000,,Buglio In Monte
100951,PM10,µg/m³,100311,PM10 Urbanizzato Buglio in Monte,SO,Buglio in Monte,N         ,2011-01-01T00:00:00.000,,Buglio In Monte
100952,Biossido di Azoto,µg/m³,100312,NO2 Caiolo,SO,Caiolo,N         ,2011-01-01T00:00:00.000,,Caiolo
100953,Biossido di Azoto,µg/m³,100312,NO2 Urbanizzato Caiolo,SO,Caiolo,N         ,2011-01-01T00:00:00.000,,Caiolo
100956,PM10,µg/m³,100312,PM10 Caiolo,SO,Caiolo,N         ,2011-01-01T00:00:00.000,,Caiolo
100957,PM10,µg/m³,100312,PM10 Urbanizzato Caiolo,SO,Caiolo,N         ,2011-01-01T00:00:00.000,,Caiolo
100958,Biossido di Azoto,µg/m³,100313,NO2 Campodolcino,SO,Campodolcino,N         ,2011-01-01T00:00:00.000,,Campodolcino
100960,PM10,µg/m³,100313,PM10 Campodolcino,SO,Campodolcino,N         ,2011-01-01T00:00:00.000,,Campodolcino
100961,Biossido di Azoto,µg/m³,100314,NO2 Caspoggio,SO,Caspoggio,N         ,2011-01-01T00:00:00.000,,Caspoggio
100963,PM10,µg/m³,100314,PM10 Caspoggio,SO,Caspoggio,N         ,2011-01-01T00:00:00.000,,Caspoggio
100964,Biossido di Azoto,µg/m³,100315,NO2 Castello dell'Acqua,SO,Castello dell'Acqua,N         ,2011-01-01T00:00:00.000,,Castello Dell'Acqua
100965,Biossido di Azoto,µg/m³,100315,NO2 Urbanizzato Castello dell'Acqua,SO,Castello dell'Acqua,N         ,2011-01-01T00:00:00.000,,Castello Dell'Acqua
100968,PM10,µg/m³,100315,PM10 Castello dell'Acqua,SO,Castello dell'Acqua,N         ,2011-01-01T00:00:00.000,,Castello Dell'Acqua
100969,PM10,µg/m³,100315,PM10 Urbanizzato Castello dell'Acqua,SO,Castello dell'Acqua,N         ,2011-01-01T00:00:00.000,,Castello Dell'Acqua
100970,Biossido di Azoto,µg/m³,100316,NO2 Castione Andevenno,SO,Castione Andevenno,N         ,2011-01-01T00:00:00.000,,Castione Andevenno
100971,Biossido di Azoto,µg/m³,100316,NO2 Urbanizzato Castione Andevenno,SO,Castione Andevenno,N         ,2011-01-01T00:00:00.000,,Castione Andevenno
100974,PM10,µg/m³,100316,PM10 Castione Andevenno,SO,Castione Andevenno,N         ,2011-01-01T00:00:00.000,,Castione Andevenno
100975,PM10,µg/m³,100316,PM10 Urbanizzato Castione Andevenno,SO,Castione Andevenno,N         ,2011-01-01T00:00:00.000,,Castione Andevenno
100976,Biossido di Azoto,µg/m³,100317,NO2 Cedrasco,SO,Cedrasco,N         ,2011-01-01T00:00:00.000,,Cedrasco
100977,Biossido di Azoto,µg/m³,100317,NO2 Urbanizzato Cedrasco,SO,Cedrasco,N         ,2011-01-01T00:00:00.000,,Cedrasco
100980,PM10,µg/m³,100317,PM10 Cedrasco,SO,Cedrasco,N         ,2011-01-01T00:00:00.000,,Cedrasco
100981,PM10,µg/m³,100317,PM10 Urbanizzato Cedrasco,SO,Cedrasco,N         ,2011-01-01T00:00:00.000,,Cedrasco
100982,Biossido di Azoto,µg/m³,100318,NO2 Cercino,SO,Cercino,N         ,2011-01-01T00:00:00.000,,Cercino
100983,Biossido di Azoto,µg/m³,100318,NO2 Urbanizzato Cercino,SO,Cercino,N         ,2011-01-01T00:00:00.000,,Cercino
100986,PM10,µg/m³,100318,PM10 Cercino,SO,Cercino,N         ,2011-01-01T00:00:00.000,,Cercino
100987,PM10,µg/m³,100318,PM10 Urbanizzato Cercino,SO,Cercino,N         ,2011-01-01T00:00:00.000,,Cercino
100988,Biossido di Azoto,µg/m³,100319,NO2 Chiavenna,SO,Chiavenna,N         ,2011-01-01T00:00:00.000,,Chiavenna
100989,Biossido di Azoto,µg/m³,100319,NO2 Urbanizzato Chiavenna,SO,Chiavenna,N         ,2011-01-01T00:00:00.000,,Chiavenna
100992,PM10,µg/m³,100319,PM10 Chiavenna,SO,Chiavenna,N         ,2011-01-01T00:00:00.000,,Chiavenna
100993,PM10,µg/m³,100319,PM10 Urbanizzato Chiavenna,SO,Chiavenna,N         ,2011-01-01T00:00:00.000,,Chiavenna
100994,Biossido di Azoto,µg/m³,100320,NO2 Chiesa in Valmalenco,SO,Chiesa in Valmalenco,N         ,2011-01-01T00:00:00.000,,Chiesa In Valmalenco
100996,PM10,µg/m³,100320,PM10 Chiesa in Valmalenco,SO,Chiesa in Valmalenco,N         ,2011-01-01T00:00:00.000,,Chiesa In Valmalenco
100997,Biossido di Azoto,µg/m³,100321,NO2 Chiuro,SO,Chiuro,N         ,2011-01-01T00:00:00.000,,Chiuro
100998,Biossido di Azoto,µg/m³,100321,NO2 Urbanizzato Chiuro,SO,Chiuro,N         ,2011-01-01T00:00:00.000,,Chiuro
101001,PM10,µg/m³,100321,PM10 Chiuro,SO,Chiuro,N         ,2011-01-01T00:00:00.000,,Chiuro
101002,PM10,µg/m³,100321,PM10 Urbanizzato Chiuro,SO,Chiuro,N         ,2011-01-01T00:00:00.000,,Chiuro
101003,Biossido di Azoto,µg/m³,100322,NO2 Cino,SO,Cino,N         ,2011-01-01T00:00:00.000,,Cino
101004,Biossido di Azoto,µg/m³,100322,NO2 Urbanizzato Cino,SO,Cino,N         ,2011-01-01T00:00:00.000,,Cino
101007,PM10,µg/m³,100322,PM10 Cino,SO,Cino,N         ,2011-01-01T00:00:00.000,,Cino
101008,PM10,µg/m³,100322,PM10 Urbanizzato Cino,SO,Cino,N         ,2011-01-01T00:00:00.000,,Cino
101009,Biossido di Azoto,µg/m³,100323,NO2 Civo,SO,Civo,N         ,2011-01-01T00:00:00.000,,Civo
101011,PM10,µg/m³,100323,PM10 Civo,SO,Civo,N         ,2011-01-01T00:00:00.000,,Civo
101012,Biossido di Azoto,µg/m³,100324,NO2 Colorina,SO,Colorina,N         ,2011-01-01T00:00:00.000,,Colorina
101013,Biossido di Azoto,µg/m³,100324,NO2 Urbanizzato Colorina,SO,Colorina,N         ,2011-01-01T00:00:00.000,,Colorina
101016,PM10,µg/m³,100324,PM10 Colorina,SO,Colorina,N         ,2011-01-01T00:00:00.000,,Colorina
101017,PM10,µg/m³,100324,PM10 Urbanizzato Colorina,SO,Colorina,N         ,2011-01-01T00:00:00.000,,Colorina
101018,Biossido di Azoto,µg/m³,100325,NO2 Cosio Valtellino,SO,Cosio Valtellino,N         ,2011-01-01T00:00:00.000,,Cosio Valtellino
101019,Biossido di Azoto,µg/m³,100325,NO2 Urbanizzato Cosio Valtellino,SO,Cosio Valtellino,N         ,2011-01-01T00:00:00.000,,Cosio Valtellino
101022,PM10,µg/m³,100325,PM10 Cosio Valtellino,SO,Cosio Valtellino,N         ,2011-01-01T00:00:00.000,,Cosio Valtellino
101023,PM10,µg/m³,100325,PM10 Urbanizzato Cosio Valtellino,SO,Cosio Valtellino,N         ,2011-01-01T00:00:00.000,,Cosio Valtellino
101024,Biossido di Azoto,µg/m³,100326,NO2 Dazio,SO,Dazio,N         ,2011-01-01T00:00:00.000,,Dazio
101025,Biossido di Azoto,µg/m³,100326,NO2 Urbanizzato Dazio,SO,Dazio,N         ,2011-01-01T00:00:00.000,,Dazio
101028,PM10,µg/m³,100326,PM10 Dazio,SO,Dazio,N         ,2011-01-01T00:00:00.000,,Dazio
101029,PM10,µg/m³,100326,PM10 Urbanizzato Dazio,SO,Dazio,N         ,2011-01-01T00:00:00.000,,Dazio
101030,Biossido di Azoto,µg/m³,100327,NO2 Delebio,SO,Delebio,N         ,2011-01-01T00:00:00.000,,Delebio
101031,Biossido di Azoto,µg/m³,100327,NO2 Urbanizzato Delebio,SO,Delebio,N         ,2011-01-01T00:00:00.000,,Delebio
101034,PM10,µg/m³,100327,PM10 Delebio,SO,Delebio,N         ,2011-01-01T00:00:00.000,,Delebio
101035,PM10,µg/m³,100327,PM10 Urbanizzato Delebio,SO,Delebio,N         ,2011-01-01T00:00:00.000,,Delebio
101036,Biossido di Azoto,µg/m³,100328,NO2 Dubino,SO,Dubino,N         ,2011-01-01T00:00:00.000,,Dubino
101037,Biossido di Azoto,µg/m³,100328,NO2 Urbanizzato Dubino,SO,Dubino,N         ,2011-01-01T00:00:00.000,,Dubino
101040,PM10,µg/m³,100328,PM10 Dubino,SO,Dubino,N         ,2011-01-01T00:00:00.000,,Dubino
101041,PM10,µg/m³,100328,PM10 Urbanizzato Dubino,SO,Dubino,N         ,2011-01-01T00:00:00.000,,Dubino
101042,Biossido di Azoto,µg/m³,100329,NO2 Faedo Valtellino,SO,Faedo Valtellino,N         ,2011-01-01T00:00:00.000,,Faedo Valtellino
101043,Biossido di Azoto,µg/m³,100329,NO2 Urbanizzato Faedo Valtellino,SO,Faedo Valtellino,N         ,2011-01-01T00:00:00.000,,Faedo Valtellino
101046,PM10,µg/m³,100329,PM10 Faedo Valtellino,SO,Faedo Valtellino,N         ,2011-01-01T00:00:00.000,,Faedo Valtellino
101047,PM10,µg/m³,100329,PM10 Urbanizzato Faedo Valtellino,SO,Faedo Valtellino,N         ,2011-01-01T00:00:00.000,,Faedo Valtellino
101048,Biossido di Azoto,µg/m³,100330,NO2 Forcola,SO,Forcola,N         ,2011-01-01T00:00:00.000,,Forcola
101049,Biossido di Azoto,µg/m³,100330,NO2 Urbanizzato Forcola,SO,Forcola,N         ,2011-01-01T00:00:00.000,,Forcola
101052,PM10,µg/m³,100330,PM10 Forcola,SO,Forcola,N         ,2011-01-01T00:00:00.000,,Forcola
101053,PM10,µg/m³,100330,PM10 Urbanizzato Forcola,SO,Forcola,N         ,2011-01-01T00:00:00.000,,Forcola
101054,Biossido di Azoto,µg/m³,100331,NO2 Fusine,SO,Fusine,N         ,2011-01-01T00:00:00.000,,Fusine
101055,Biossido di Azoto,µg/m³,100331,NO2 Urbanizzato Fusine,SO,Fusine,N         ,2011-01-01T00:00:00.000,,Fusine
101058,PM10,µg/m³,100331,PM10 Fusine,SO,Fusine,N         ,2011-01-01T00:00:00.000,,Fusine
101059,PM10,µg/m³,100331,PM10 Urbanizzato Fusine,SO,Fusine,N         ,2011-01-01T00:00:00.000,,Fusine
101060,Biossido di Azoto,µg/m³,100332,NO2 Gerola Alta,SO,Gerola Alta,N         ,2011-01-01T00:00:00.000,,Gerola Alta
101062,PM10,µg/m³,100332,PM10 Gerola Alta,SO,Gerola Alta,N         ,2011-01-01T00:00:00.000,,Gerola Alta
101063,Biossido di Azoto,µg/m³,100333,NO2 Gordona,SO,Gordona,N         ,2011-01-01T00:00:00.000,,Gordona
101064,Biossido di Azoto,µg/m³,100333,NO2 Urbanizzato Gordona,SO,Gordona,N         ,2011-01-01T00:00:00.000,,Gordona
101067,PM10,µg/m³,100333,PM10 Gordona,SO,Gordona,N         ,2011-01-01T00:00:00.000,,Gordona
101068,PM10,µg/m³,100333,PM10 Urbanizzato Gordona,SO,Gordona,N         ,2011-01-01T00:00:00.000,,Gordona
101069,Biossido di Azoto,µg/m³,100334,NO2 Grosio,SO,Grosio,N         ,2011-01-01T00:00:00.000,,Grosio
101071,PM10,µg/m³,100334,PM10 Grosio,SO,Grosio,N         ,2011-01-01T00:00:00.000,,Grosio
101072,Biossido di Azoto,µg/m³,100335,NO2 Grosotto,SO,Grosotto,N         ,2011-01-01T00:00:00.000,,Grosotto
101074,PM10,µg/m³,100335,PM10 Grosotto,SO,Grosotto,N         ,2011-01-01T00:00:00.000,,Grosotto
101075,Biossido di Azoto,µg/m³,100336,NO2 Madesimo,SO,Madesimo,N         ,2011-01-01T00:00:00.000,,Madesimo
101077,PM10,µg/m³,100336,PM10 Madesimo,SO,Madesimo,N         ,2011-01-01T00:00:00.000,,Madesimo
101078,Biossido di Azoto,µg/m³,100337,NO2 Lanzada,SO,Lanzada,N         ,2011-01-01T00:00:00.000,,Lanzada
101080,PM10,µg/m³,100337,PM10 Lanzada,SO,Lanzada,N         ,2011-01-01T00:00:00.000,,Lanzada
101081,Biossido di Azoto,µg/m³,100338,NO2 Livigno,SO,Livigno,N         ,2011-01-01T00:00:00.000,,Livigno
101083,PM10,µg/m³,100338,PM10 Livigno,SO,Livigno,N         ,2011-01-01T00:00:00.000,,Livigno
101084,Biossido di Azoto,µg/m³,100339,NO2 Lovero,SO,Lovero,N         ,2011-01-01T00:00:00.000,,Lovero
101086,PM10,µg/m³,100339,PM10 Lovero,SO,Lovero,N         ,2011-01-01T00:00:00.000,,Lovero
101087,Biossido di Azoto,µg/m³,100340,NO2 Mantello,SO,Mantello,N         ,2011-01-01T00:00:00.000,,Mantello
101088,Biossido di Azoto,µg/m³,100340,NO2 Urbanizzato Mantello,SO,Mantello,N         ,2011-01-01T00:00:00.000,,Mantello
101091,PM10,µg/m³,100340,PM10 Mantello,SO,Mantello,N         ,2011-01-01T00:00:00.000,,Mantello
101092,PM10,µg/m³,100340,PM10 Urbanizzato Mantello,SO,Mantello,N         ,2011-01-01T00:00:00.000,,Mantello
101093,Biossido di Azoto,µg/m³,100341,NO2 Mazzo di Valtellina,SO,Mazzo di Valtellina,N         ,2011-01-01T00:00:00.000,,Mazzo Di Valtellina
101095,PM10,µg/m³,100341,PM10 Mazzo di Valtellina,SO,Mazzo di Valtellina,N         ,2011-01-01T00:00:00.000,,Mazzo Di Valtellina
101096,Biossido di Azoto,µg/m³,100342,NO2 Mello,SO,Mello,N         ,2011-01-01T00:00:00.000,,Mello
101098,PM10,µg/m³,100342,PM10 Mello,SO,Mello,N         ,2011-01-01T00:00:00.000,,Mello
101099,Biossido di Azoto,µg/m³,100343,NO2 Menarola,SO,Menarola,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000,Menarola
101101,PM10,µg/m³,100343,PM10 Menarola,SO,Menarola,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000,Menarola
101102,Biossido di Azoto,µg/m³,100344,NO2 Mese,SO,Mese,N         ,2011-01-01T00:00:00.000,,Mese
101103,Biossido di Azoto,µg/m³,100344,NO2 Urbanizzato Mese,SO,Mese,N         ,2011-01-01T00:00:00.000,,Mese
101106,PM10,µg/m³,100344,PM10 Mese,SO,Mese,N         ,2011-01-01T00:00:00.000,,Mese
101107,PM10,µg/m³,100344,PM10 Urbanizzato Mese,SO,Mese,N         ,2011-01-01T00:00:00.000,,Mese
101108,Biossido di Azoto,µg/m³,100345,NO2 Montagna in Valtellina,SO,Montagna in Valtellina,N         ,2011-01-01T00:00:00.000,,Montagna In Valtellina
101109,Biossido di Azoto,µg/m³,100345,NO2 Urbanizzato Montagna in Valtellina,SO,Montagna in Valtellina,N         ,2011-01-01T00:00:00.000,,Montagna In Valtellina
101112,PM10,µg/m³,100345,PM10 Montagna in Valtellina,SO,Montagna in Valtellina,N         ,2011-01-01T00:00:00.000,,Montagna In Valtellina
101113,PM10,µg/m³,100345,PM10 Urbanizzato Montagna in Valtellina,SO,Montagna in Valtellina,N         ,2011-01-01T00:00:00.000,,Montagna In Valtellina
101114,Biossido di Azoto,µg/m³,100346,NO2 Morbegno,SO,Morbegno,N         ,2011-01-01T00:00:00.000,,Morbegno
101115,Biossido di Azoto,µg/m³,100346,NO2 Urbanizzato Morbegno,SO,Morbegno,N         ,2011-01-01T00:00:00.000,,Morbegno
101118,PM10,µg/m³,100346,PM10 Morbegno,SO,Morbegno,N         ,2011-01-01T00:00:00.000,,Morbegno
101119,PM10,µg/m³,100346,PM10 Urbanizzato Morbegno,SO,Morbegno,N         ,2011-01-01T00:00:00.000,,Morbegno
101120,Biossido di Azoto,µg/m³,100347,NO2 Novate Mezzola,SO,Novate Mezzola,N         ,2011-01-01T00:00:00.000,,Novate Mezzola
101121,Biossido di Azoto,µg/m³,100347,NO2 Urbanizzato Novate Mezzola,SO,Novate Mezzola,N         ,2011-01-01T00:00:00.000,,Novate Mezzola
101124,PM10,µg/m³,100347,PM10 Novate Mezzola,SO,Novate Mezzola,N         ,2011-01-01T00:00:00.000,,Novate Mezzola
101125,PM10,µg/m³,100347,PM10 Urbanizzato Novate Mezzola,SO,Novate Mezzola,N         ,2011-01-01T00:00:00.000,,Novate Mezzola
101126,Biossido di Azoto,µg/m³,100348,NO2 Pedesina,SO,Pedesina,N         ,2011-01-01T00:00:00.000,,Pedesina
101128,PM10,µg/m³,100348,PM10 Pedesina,SO,Pedesina,N         ,2011-01-01T00:00:00.000,,Pedesina
101129,Biossido di Azoto,µg/m³,100349,NO2 Piantedo,SO,Piantedo,N         ,2011-01-01T00:00:00.000,,Piantedo
101130,Biossido di Azoto,µg/m³,100349,NO2 Urbanizzato Piantedo,SO,Piantedo,N         ,2011-01-01T00:00:00.000,,Piantedo
101133,PM10,µg/m³,100349,PM10 Piantedo,SO,Piantedo,N         ,2011-01-01T00:00:00.000,,Piantedo
101134,PM10,µg/m³,100349,PM10 Urbanizzato Piantedo,SO,Piantedo,N         ,2011-01-01T00:00:00.000,,Piantedo
101135,Biossido di Azoto,µg/m³,100350,NO2 Piateda,SO,Piateda,N         ,2011-01-01T00:00:00.000,,Piateda
101136,Biossido di Azoto,µg/m³,100350,NO2 Urbanizzato Piateda,SO,Piateda,N         ,2011-01-01T00:00:00.000,,Piateda
101139,PM10,µg/m³,100350,PM10 Piateda,SO,Piateda,N         ,2011-01-01T00:00:00.000,,Piateda
101140,PM10,µg/m³,100350,PM10 Urbanizzato Piateda,SO,Piateda,N         ,2011-01-01T00:00:00.000,,Piateda
101141,Biossido di Azoto,µg/m³,100351,NO2 Piuro,SO,Piuro,N         ,2011-01-01T00:00:00.000,,Piuro
101143,PM10,µg/m³,100351,PM10 Piuro,SO,Piuro,N         ,2011-01-01T00:00:00.000,,Piuro
101144,Biossido di Azoto,µg/m³,100352,NO2 Poggiridenti,SO,Poggiridenti,N         ,2011-01-01T00:00:00.000,,Poggiridenti
101145,Biossido di Azoto,µg/m³,100352,NO2 Urbanizzato Poggiridenti,SO,Poggiridenti,N         ,2011-01-01T00:00:00.000,,Poggiridenti
101148,PM10,µg/m³,100352,PM10 Poggiridenti,SO,Poggiridenti,N         ,2011-01-01T00:00:00.000,,Poggiridenti
101149,PM10,µg/m³,100352,PM10 Urbanizzato Poggiridenti,SO,Poggiridenti,N         ,2011-01-01T00:00:00.000,,Poggiridenti
101150,Biossido di Azoto,µg/m³,100353,NO2 Ponte in Valtellina,SO,Ponte in Valtellina,N         ,2011-01-01T00:00:00.000,,Ponte In Valtellina
101151,Biossido di Azoto,µg/m³,100353,NO2 Urbanizzato Ponte in Valtellina,SO,Ponte in Valtellina,N         ,2011-01-01T00:00:00.000,,Ponte In Valtellina
101154,PM10,µg/m³,100353,PM10 Ponte in Valtellina,SO,Ponte in Valtellina,N         ,2011-01-01T00:00:00.000,,Ponte In Valtellina
101155,PM10,µg/m³,100353,PM10 Urbanizzato Ponte in Valtellina,SO,Ponte in Valtellina,N         ,2011-01-01T00:00:00.000,,Ponte In Valtellina
101156,Biossido di Azoto,µg/m³,100354,NO2 Postalesio,SO,Postalesio,N         ,2011-01-01T00:00:00.000,,Postalesio
101157,Biossido di Azoto,µg/m³,100354,NO2 Urbanizzato Postalesio,SO,Postalesio,N         ,2011-01-01T00:00:00.000,,Postalesio
