Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5897,2025/01/01 00:00,6.8,4.7,8.9
5897,2025/01/02 00:00,6.6,5.2,7.9
5897,2025/01/03 00:00,7.3,3.2,13.2
5897,2025/01/04 00:00,5.2,4.9,6.1
5897,2025/01/05 00:00,4.4,3.7,5.2
5897,2025/01/06 00:00,4.2,4.0,4.5
5897,2025/01/07 00:00,5.3,4.1,6.4
5897,2025/01/08 00:00,5.6,4.9,6.5
5897,2025/01/09 00:00,6.7,5.6,7.8
5897,2025/01/10 00:00,6.9,3.5,9.9
5897,2025/01/11 00:00,5.9,4.5,7.6
5897,2025/01/12 00:00,5.1,2.0,9.0
5897,2025/01/13 00:00,3.8,1.5,6.1
5897,2025/01/14 00:00,3.7,1.5,7.1
5897,2025/01/15 00:00,3.0,-0.5,7.2
5897,2025/01/16 00:00,5.5,2.3,9.1
5897,2025/01/17 00:00,5.3,2.9,8.4
5897,2025/01/18 00:00,5.9,2.1,9.1
5897,2025/01/19 00:00,7.4,5.6,8.8
5897,2025/01/20 00:00,7.3,6.8,8.1
5897,2025/01/21 00:00,7.2,6.0,8.3
5897,2025/01/22 00:00,7.1,6.6,7.5
5897,2025/01/23 00:00,7.5,6.1,9.3
5897,2025/01/24 00:00,6.4,3.5,10.9
5897,2025/01/25 00:00,6.6,4.8,7.6
5897,2025/01/26 00:00,7.1,5.9,8.7
5897,2025/01/27 00:00,7.5,7.0,8.1
5897,2025/01/28 00:00,8.1,6.8,10.0
5897,2025/01/29 00:00,8.5,5.4,11.1
5897,2025/01/30 00:00,8.8,6.9,11.8
5897,2025/01/31 00:00,6.9,5.7,8.1
5897,2025/02/01 00:00,7.9,7.0,8.6
5897,2025/02/02 00:00,9.5,6.1,14.1
5897,2025/02/03 00:00,9.0,6.0,14.0
5897,2025/02/04 00:00,7.5,5.1,10.7
5897,2025/02/05 00:00,6.5,2.8,11.4
5897,2025/02/06 00:00,6.8,3.4,10.0
5897,2025/02/07 00:00,5.8,4.5,6.9
5897,2025/02/08 00:00,4.8,3.6,6.4
5897,2025/02/09 00:00,6.4,4.9,7.6
5897,2025/02/10 00:00,8.2,7.0,9.9
5897,2025/02/11 00:00,8.3,7.6,8.7
5897,2025/02/12 00:00,8.6,7.8,9.5
5897,2025/02/13 00:00,9.2,8.2,10.5
5897,2025/02/14 00:00,6.9,4.1,11.8
5897,2025/02/15 00:00,6.4,3.1,10.5
5897,2025/02/16 00:00,4.8,2.3,7.1
5897,2025/02/17 00:00,4.5,3.3,5.4
5897,2025/02/18 00:00,5.1,3.8,6.3
5897,2025/02/19 00:00,4.3,3.0,5.6
5897,2025/02/20 00:00,6.7,3.4,10.2
5897,2025/02/21 00:00,8.2,4.2,13.1
5897,2025/02/22 00:00,8.4,7.4,9.5
5897,2025/02/23 00:00,9.7,7.6,12.6
5897,2025/02/24 00:00,10.8,8.4,14.2
5897,2025/02/25 00:00,10.3,9.3,11.2
5897,2025/02/26 00:00,11.1,9.1,14.9
5897,2025/02/27 00:00,11.1,7.6,16.1
5897,2025/02/28 00:00,10.3,7.7,13.3
5897,2025/03/01 00:00,9.9,7.7,12.3
5897,2025/03/02 00:00,10.5,7.7,14.3
5897,2025/03/03 00:00,11.2,6.5,16.1
5897,2025/03/04 00:00,11.8,6.7,17.3
5897,2025/03/05 00:00,12.8,8.0,17.9
5897,2025/03/06 00:00,13.3,8.7,17.9
5897,2025/03/07 00:00,13.0,9.3,17.3
5897,2025/03/08 00:00,13.4,8.6,18.4
5897,2025/03/09 00:00,12.1,9.1,15.6
5897,2025/03/10 00:00,10.2,6.5,13.1
5897,2025/03/11 00:00,10.9,9.2,13.1
5897,2025/03/12 00:00,10.3,8.7,11.5
5897,2025/03/13 00:00,11.9,9.3,14.8
5897,2025/03/14 00:00,10.6,9.5,12.3
5897,2025/03/15 00:00,10.6,9.8,12.2
5897,2025/03/16 00:00,11.0,9.5,13.4
5897,2025/03/17 00:00,11.7,6.8,17.0
5897,2025/03/18 00:00,7.6,6.1,9.5
5897,2025/03/19 00:00,9.3,4.8,14.1
5897,2025/03/20 00:00,11.3,6.7,16.4
5897,2025/03/21 00:00,10.6,8.6,13.0
5897,2025/03/22 00:00,9.4,8.7,9.9
5897,2025/03/23 00:00,10.6,9.0,12.8
5897,2025/03/24 00:00,12.9,10.0,17.8
5897,2025/03/25 00:00,14.0,9.5,19.3
5897,2025/03/26 00:00,15.2,11.0,20.2
5897,2025/03/27 00:00,15.6,10.5,20.8
5897,2025/03/28 00:00,16.0,11.5,21.0
5897,2025/03/29 00:00,13.4,10.8,16.5
5897,2025/03/30 00:00,16.4,10.7,22.0
5897,2025/03/31 00:00,17.7,13.7,21.6
5897,2025/04/01 00:00,13.8,10.1,16.8
5897,2025/04/02 00:00,14.0,10.4,18.2
5897,2025/04/03 00:00,15.7,9.6,21.7
5897,2025/04/04 00:00,17.4,12.5,22.2
5897,2025/04/05 00:00,18.3,13.2,23.3
5897,2025/04/06 00:00,14.6,9.7,18.8
5897,2025/04/07 00:00,11.6,9.2,14.9
5897,2025/04/08 00:00,11.2,8.0,15.7
5897,2025/04/09 00:00,13.8,9.5,18.3
5897,2025/04/10 00:00,16.5,10.3,22.7
5897,2025/04/11 00:00,17.3,13.0,23.7
5897,2025/04/12 00:00,17.0,12.8,21.2
5897,2025/04/13 00:00,14.9,12.8,18.0
5897,2025/04/14 00:00,12.4,11.6,12.8
5897,2025/04/15 00:00,14.0,12.3,16.3
5897,2025/04/16 00:00,15.3,13.6,17.6
5897,2025/04/17 00:00,14.3,12.1,16.8
5897,2025/04/18 00:00,15.5,12.1,20.3
5897,2025/04/19 00:00,15.1,12.9,17.2
5897,2025/04/20 00:00,15.0,13.2,17.3
5897,2025/04/21 00:00,16.3,12.5,21.1
5897,2025/04/22 00:00,18.6,12.5,24.6
5897,2025/04/23 00:00,18.0,14.1,21.8
5897,2025/04/24 00:00,17.1,12.0,23.5
5897,2025/04/25 00:00,17.7,13.6,24.2
5897,2025/04/26 00:00,17.9,12.9,22.4
5897,2025/04/27 00:00,17.3,14.5,21.0
5897,2025/04/28 00:00,19.4,14.5,24.1
5897,2025/04/29 00:00,21.5,15.9,26.6
5897,2025/04/30 00:00,22.6,17.1,27.6
5897,2025/05/01 00:00,23.4,18.0,28.6
5897,2025/05/02 00:00,24.2,18.4,29.6
5897,2025/05/03 00:00,21.9,17.5,26.1
5897,2025/05/04 00:00,18.9,16.3,22.3
5897,2025/05/05 00:00,16.9,14.1,20.1
5897,2025/05/06 00:00,15.4,13.4,18.1
5897,2025/05/07 00:00,14.5,13.4,16.9
5897,2025/05/08 00:00,15.0,12.8,17.5
5897,2025/05/09 00:00,15.8,13.2,19.9
5897,2025/05/10 00:00,16.6,12.7,21.1
5897,2025/05/11 00:00,19.3,13.8,25.4
5897,2025/05/12 00:00,19.4,15.1,23.4
5897,2025/05/13 00:00,17.5,14.5,23.3
5897,2025/05/14 00:00,18.8,14.7,23.7
5897,2025/05/15 00:00,21.7,15.8,27.4
5897,2025/05/16 00:00,17.7,13.8,21.3
5897,2025/05/17 00:00,18.7,14.7,24.2
5897,2025/05/18 00:00,19.2,14.7,25.2
5897,2025/05/19 00:00,20.2,16.2,24.1
5897,2025/05/20 00:00,18.4,15.4,23.0
5897,2025/05/21 00:00,19.1,15.0,25.1
5897,2025/05/22 00:00,15.2,13.7,17.0
5897,2025/05/23 00:00,17.0,13.8,21.3
5897,2025/05/24 00:00,18.1,13.3,23.5
5897,2025/05/25 00:00,19.8,15.1,24.4
5897,2025/05/26 00:00,21.5,16.6,27.6
5897,2025/05/27 00:00,18.8,15.4,22.4
5897,2025/05/28 00:00,21.8,16.9,26.9
5897,2025/05/29 00:00,24.9,19.7,29.4
5897,2025/05/30 00:00,24.3,19.3,28.5
5897,2025/05/31 00:00,24.9,19.9,29.2
5897,2025/06/01 00:00,25.7,21.7,30.7
5897,2025/06/02 00:00,23.6,21.3,26.3
5897,2025/06/03 00:00,23.6,20.9,27.5
5897,2025/06/04 00:00,22.1,20.2,24.9
5897,2025/06/05 00:00,22.8,20.3,26.7
5897,2025/06/06 00:00,23.6,20.5,27.8
5897,2025/06/07 00:00,24.1,20.4,28.4
5897,2025/06/08 00:00,25.0,21.2,29.5
5897,2025/06/09 00:00,24.4,20.3,28.0
5897,2025/06/10 00:00,24.8,19.9,29.9
5897,2025/06/11 00:00,27.4,21.7,32.2
5897,2025/06/12 00:00,28.6,24.0,33.3
5897,2025/06/13 00:00,29.6,24.7,34.7
5897,2025/06/14 00:00,29.9,26.0,34.3
5897,2025/06/15 00:00,29.4,25.2,35.3
5897,2025/06/16 00:00,25.9,21.4,28.6
5897,2025/06/17 00:00,24.5,19.7,29.5
5897,2025/06/18 00:00,26.8,22.0,31.2
5897,2025/06/19 00:00,29.3,24.2,34.0
5897,2025/06/20 00:00,29.7,25.4,34.1
5897,2025/06/21 00:00,25.9,20.8,30.0
5897,2025/06/22 00:00,26.5,21.2,31.5
5897,2025/06/23 00:00,28.3,23.4,33.1
5897,2025/06/24 00:00,28.0,23.2,33.2
5897,2025/06/25 00:00,29.9,25.0,34.7
5897,2025/06/26 00:00,29.5,25.8,33.3
5897,2025/06/27 00:00,29.1,23.7,34.3
5897,2025/06/28 00:00,31.0,25.9,35.4
5897,2025/06/29 00:00,31.3,27.5,35.2
5897,2025/06/30 00:00,31.0,27.3,35.1
5897,2025/07/01 00:00,29.8,26.0,34.3
5897,2025/07/02 00:00,28.6,24.4,33.2
5897,2025/07/03 00:00,29.7,24.4,35.0
5897,2025/07/04 00:00,31.5,26.4,36.1
5897,2025/07/05 00:00,26.3,20.7,29.6
5897,2025/07/06 00:00,24.5,19.0,29.4
5897,2025/07/07 00:00,23.4,17.9,30.8
5897,2025/07/08 00:00,21.9,16.7,27.4
5897,2025/07/09 00:00,22.4,16.1,27.5
5897,2025/07/10 00:00,24.9,20.1,29.5
5897,2025/07/11 00:00,25.9,21.0,30.5
5897,2025/07/12 00:00,24.3,20.2,28.9
5897,2025/07/13 00:00,24.5,22.6,27.4
5897,2025/07/14 00:00,26.1,21.2,31.0
5897,2025/07/15 00:00,28.3,22.9,33.5
5897,2025/07/16 00:00,28.4,24.6,33.3
5897,2025/07/17 00:00,27.0,23.5,30.7
5897,2025/07/18 00:00,27.3,23.5,31.9
5897,2025/07/19 00:00,26.6,23.6,29.7
5897,2025/07/20 00:00,27.8,23.9,31.6
5897,2025/07/21 00:00,25.7,20.6,30.5
5897,2025/07/22 00:00,27.4,22.6,32.7
5897,2025/07/23 00:00,26.4,22.4,31.2
5897,2025/07/24 00:00,23.9,21.1,29.1
5897,2025/07/25 00:00,22.7,20.5,25.0
5897,2025/07/26 00:00,20.3,17.8,23.7
5897,2025/07/27 00:00,25.0,18.5,31.5
5897,2025/07/28 00:00,22.8,19.8,27.3
5897,2025/07/29 00:00,24.2,19.0,28.6
5897,2025/07/30 00:00,22.8,18.5,27.3
5897,2025/07/31 00:00,25.3,20.1,30.5
5897,2025/08/01 00:00,24.4,21.4,28.8
5897,2025/08/02 00:00,21.2,17.2,24.9
5897,2025/08/03 00:00,23.8,19.1,28.1
5897,2025/08/04 00:00,24.8,20.1,29.7
5897,2025/08/05 00:00,25.6,21.1,30.2
5897,2025/08/06 00:00,25.2,22.6,27.7
5897,2025/08/07 00:00,26.0,22.5,31.1
5897,2025/08/08 00:00,28.0,22.6,33.5
5897,2025/08/09 00:00,29.9,24.5,34.7
5897,2025/08/10 00:00,31.1,25.7,36.6
5897,2025/08/11 00:00,30.7,26.5,34.4
5897,2025/08/12 00:00,30.3,26.9,34.5
5897,2025/08/13 00:00,30.9,27.1,34.9
5897,2025/08/14 00:00,31.2,27.4,35.7
5897,2025/08/15 00:00,30.7,26.6,35.4
5897,2025/08/16 00:00,30.1,24.7,35.4
5897,2025/08/17 00:00,29.4,25.2,34.5
5897,2025/08/18 00:00,27.4,24.3,31.1
5897,2025/08/19 00:00,26.4,23.6,31.0
5897,2025/08/20 00:00,21.6,18.7,24.6
5897,2025/08/21 00:00,21.1,18.9,26.4
5897,2025/08/22 00:00,23.4,17.3,28.9
5897,2025/08/23 00:00,24.2,21.3,28.3
5897,2025/08/24 00:00,20.6,16.7,22.8
5897,2025/08/25 00:00,23.2,19.8,27.3
5897,2025/08/26 00:00,24.9,20.2,29.9
5897,2025/08/27 00:00,23.1,21.1,25.8
5897,2025/08/28 00:00,20.8,19.1,23.1
5897,2025/08/29 00:00,20.5,18.3,25.1
5897,2025/08/30 00:00,20.4,15.7,26.4
5897,2025/08/31 00:00,22.9,17.6,28.4
5897,2025/09/01 00:00,20.4,18.4,22.6
5897,2025/09/02 00:00,20.0,17.4,24.4
5897,2025/09/03 00:00,22.6,17.6,28.1
5897,2025/09/04 00:00,23.7,18.9,29.9
5897,2025/09/05 00:00,23.1,18.7,27.9
5897,2025/09/06 00:00,22.9,18.0,28.1
5897,2025/09/07 00:00,23.4,18.1,29.0
5897,2025/09/08 00:00,22.0,19.4,24.4
5897,2025/09/09 00:00,22.6,20.7,26.1
5897,2025/09/10 00:00,21.1,18.1,25.2
5897,2025/09/11 00:00,22.7,18.6,27.6
5897,2025/09/12 00:00,23.5,20.3,27.9
5897,2025/09/13 00:00,21.6,20.1,23.5
5897,2025/09/14 00:00,22.0,19.0,26.2
5897,2025/09/15 00:00,22.8,18.6,26.8
5897,2025/09/16 00:00,23.5,20.3,27.9
5897,2025/09/17 00:00,22.3,18.4,27.0
5897,2025/09/18 00:00,23.4,19.5,27.9
5897,2025/09/19 00:00,24.6,19.9,29.5
5897,2025/09/20 00:00,25.5,20.5,31.0
5897,2025/09/21 00:00,24.2,21.3,27.7
5897,2025/09/22 00:00,20.2,18.1,22.3
5897,2025/09/23 00:00,20.1,17.9,22.9
5897,2025/09/24 00:00,17.2,13.8,21.9
5897,2025/09/25 00:00,15.6,12.0,19.5
5897,2025/09/26 00:00,14.6,13.9,15.7
5897,2025/09/27 00:00,14.5,12.9,16.3
5897,2025/09/28 00:00,16.6,11.4,22.8
5897,2025/09/29 00:00,18.3,12.9,24.2
5897,2025/09/30 00:00,17.8,14.3,22.6
5897,2025/10/01 00:00,15.8,13.0,18.7
5897,2025/10/02 00:00,15.8,13.3,19.2
5897,2025/10/03 00:00,15.0,12.0,17.4
5897,2025/10/04 00:00,13.7,11.7,15.1
5897,2025/10/05 00:00,15.6,12.3,21.2
5897,2025/10/06 00:00,15.8,9.4,22.1
5897,2025/10/07 00:00,17.0,11.8,23.2
5897,2025/10/08 00:00,17.6,13.1,21.9
5897,2025/10/09 00:00,18.2,14.1,22.9
5897,2025/10/10 00:00,18.6,14.4,23.3
5897,2025/10/11 00:00,18.3,15.0,22.7
5897,2025/10/12 00:00,18.4,15.6,21.3
5897,2025/10/13 00:00,16.7,15.6,19.2
5897,2025/10/14 00:00,16.9,14.8,19.3
5897,2025/10/15 00:00,17.1,15.7,19.9
5897,2025/10/16 00:00,15.9,14.0,19.2
5897,2025/10/17 00:00,16.1,14.1,19.8
5897,2025/10/18 00:00,15.4,11.3,20.1
5897,2025/10/19 00:00,14.9,12.9,17.7
5897,2025/10/20 00:00,12.7,11.7,14.2
5897,2025/10/21 00:00,13.3,11.8,15.7
5897,2025/10/22 00:00,14.5,12.5,16.9
5897,2025/10/23 00:00,13.6,11.6,14.7
5897,2025/10/24 00:00,14.4,9.3,20.5
5897,2025/10/25 00:00,13.2,10.1,17.2
5897,2025/10/26 00:00,13.4,9.0,18.3
5897,2025/10/27 00:00,13.8,9.5,17.8
5897,2025/10/28 00:00,14.2,9.8,19.5
5897,2025/10/29 00:00,12.9,11.8,14.1
5897,2025/10/30 00:00,13.7,12.2,16.3
5897,2025/10/31 00:00,14.7,13.6,15.6
5897,2025/11/01 00:00,15.9,14.7,17.3
5897,2025/11/02 00:00,14.7,11.9,15.7
5897,2025/11/03 00:00,14.4,10.4,19.8
5897,2025/11/04 00:00,12.8,9.7,17.1
5897,2025/11/05 00:00,12.0,8.3,16.9
5897,2025/11/06 00:00,11.6,7.4,16.3
5897,2025/11/07 00:00,11.0,8.4,13.9
5897,2025/11/08 00:00,10.7,7.2,15.1
5897,2025/11/09 00:00,11.3,9.2,14.8
5897,2025/11/10 00:00,10.6,6.8,14.8
5897,2025/11/11 00:00,12.2,8.1,17.4
5897,2025/11/12 00:00,13.3,10.3,17.9
5897,2025/11/13 00:00,13.2,9.6,16.4
5897,2025/11/14 00:00,13.4,12.2,14.6
5897,2025/11/15 00:00,11.1,10.4,11.9
5897,2025/11/16 00:00,11.7,11.1,12.3
5897,2025/11/17 00:00,12.3,10.8,14.7
5897,2025/11/18 00:00,10.0,8.4,11.9
5897,2025/11/19 00:00,7.6,6.2,9.6
5897,2025/11/20 00:00,7.6,6.2,9.8
5897,2025/11/21 00:00,4.7,2.9,7.4
5897,2025/11/22 00:00,6.2,3.8,9.4
5897,2025/11/23 00:00,5.0,2.3,7.9
5897,2025/11/24 00:00,3.5,3.0,4.0
5897,2025/11/25 00:00,5.8,3.6,8.8
5897,2025/11/26 00:00,8.0,4.3,12.5
5897,2025/11/27 00:00,7.7,4.5,11.6
5897,2025/11/28 00:00,6.1,3.1,9.9
5897,2025/11/29 00:00,6.8,3.7,11.3
5897,2025/11/30 00:00,6.7,4.3,9.1
5897,2025/12/01 00:00,6.4,5.6,8.9
5897,2025/12/02 00:00,7.9,6.7,9.1
5897,2025/12/03 00:00,9.2,7.6,11.2
5897,2025/12/04 00:00,9.8,9.0,11.1
5897,2025/12/05 00:00,9.3,8.0,11.7
5897,2025/12/06 00:00,7.1,5.4,9.1
5897,2025/12/07 00:00,7.6,5.6,11.3
5897,2025/12/08 00:00,8.8,4.7,14.3
5897,2025/12/09 00:00,9.3,6.0,13.5
5897,2025/12/10 00:00,9.0,6.6,12.1
5897,2025/12/11 00:00,9.5,7.8,11.3
5897,2025/12/12 00:00,9.1,5.1,14.2
5897,2025/12/13 00:00,8.9,5.5,13.7
5897,2025/12/14 00:00,8.9,5.6,13.8
5897,2025/12/15 00:00,7.7,5.4,10.8
5897,2025/12/16 00:00,7.1,6.3,8.0
5897,2025/12/17 00:00,8.9,8.0,9.8
5897,2025/12/18 00:00,10.0,9.2,10.8
5897,2025/12/19 00:00,10.4,9.9,11.1
5897,2025/12/20 00:00,10.0,9.4,10.7
5897,2025/12/21 00:00,9.2,8.1,10.4
5897,2025/12/22 00:00,9.3,8.8,9.9
5897,2025/12/23 00:00,8.9,7.9,10.1
5897,2025/12/24 00:00,7.3,5.6,9.2
5897,2025/12/25 00:00,6.2,5.3,7.0
5897,2025/12/26 00:00,7.5,5.9,9.8
5897,2025/12/27 00:00,6.8,4.1,10.1
5897,2025/12/28 00:00,6.9,3.6,10.4
5897,2025/12/29 00:00,6.2,3.3,10.4
5897,2025/12/30 00:00,4.1,1.8,5.5
5897,2025/12/31 00:00,5.7,4.1,8.7
