PROVINCIA,Comune,Totale
Brescia,Angolo Terme,2306
Brescia,Artogne,3582
Brescia,Berzo Demo,1505
Brescia,Berzo Inferiore,2450
Brescia,Bienno,3771
Brescia,Borno,2436
Brescia,Braone,690
Brescia,Breno,4643
Brescia,Capo di Ponte,2323
Brescia,Cedegolo,1095
Brescia,Cerveno,659
Brescia,Ceto,1773
Brescia,Cevo,816
Brescia,Cimbergo,533
Brescia,Cividate Camuno,2656
Brescia,Corteno Golgi,1910
Brescia,Darfo Boario Terme,15655
Brescia,Edolo,4391
Brescia,Esine,5054
Brescia,Gianico,2127
Brescia,Incudine,343
Brescia,Losine,625
Brescia,Lozio,352
Brescia,Malegno,1930
Brescia,Malonno,3005
Brescia,Monno,512
Brescia,Niardo,1944
Brescia,Ono San Pietro,966
Brescia,Ossimo,1471
Brescia,Paisco Loveno,172
Brescia,Paspardo,579
Brescia,Pian Camuno,4770
Brescia,Pisogne,7860
Brescia,Ponte di Legno,1739
Brescia,Saviore dell'Adamello,795
Brescia,Sellero,1387
Brescia,Sonico,1204
Brescia,Temù,1131
Brescia,Vezza d'Oglio,1465
Brescia,Vione,623
Brescia,Piancogno,4782
Como,Cremia,689
Como,Domaso,1450
Como,Dongo,3204
Como,Dosso del Liro,236
Como,Garzeno,662
Como,Gera Lario,1064
Como,Livo,173
Como,Montemezzo,211
Como,Musso,943
Como,Peglio,186
Como,Pianello del Lario,1061
Como,Sorico,1245
Como,Stazzona,598
Como,Trezzone,238
Como,Vercana,745
Como,Gravedona ed Uniti,4051
Sondrio,Albaredo per San Marco,296
Sondrio,Albosaggia,2994
Sondrio,Andalo Valtellino,589
Sondrio,Aprica,1469
Sondrio,Ardenno,3220
Sondrio,Bema,116
Sondrio,Berbenno di Valtellina,4053
Sondrio,Bianzone,1256
Sondrio,Bormio,3966
Sondrio,Buglio in Monte,1983
Sondrio,Caiolo,1049
Sondrio,Campodolcino,936
Sondrio,Caspoggio,1345
Sondrio,Castello dell'Acqua,597
Sondrio,Castione Andevenno,1538
Sondrio,Cedrasco,421
Sondrio,Cercino,801
Sondrio,Chiavenna,7241
Sondrio,Chiesa in Valmalenco,2320
Sondrio,Chiuro,2433
Sondrio,Cino,343
Sondrio,Civo,1108
Sondrio,Colorina,1379
Sondrio,Cosio Valtellino,5526
Sondrio,Dazio,502
Sondrio,Delebio,3318
Sondrio,Dubino,3793
Sondrio,Faedo Valtellino,513
Sondrio,Forcola,757
Sondrio,Fusine,547
Sondrio,Gerola Alta,165
Sondrio,Gordona,1948
Sondrio,Grosio,4342
Sondrio,Grosotto,1612
Sondrio,Madesimo,503
Sondrio,Lanzada,1262
Sondrio,Livigno,6790
Sondrio,Lovero,619
Sondrio,Mantello,740
Sondrio,Mazzo di Valtellina,1033
Sondrio,Mello,932
Sondrio,Mese,1850
Sondrio,Montagna in Valtellina,2982
Sondrio,Morbegno,12261
Sondrio,Novate Mezzola,1903
Sondrio,Pedesina,37
Sondrio,Piantedo,1417
Sondrio,Piateda,2044
Sondrio,Piuro,1911
Sondrio,Poggiridenti,1807
Sondrio,Ponte in Valtellina,2242
Sondrio,Postalesio,666
Sondrio,Prata Camportaccio,2914
Sondrio,Rasura,288
Sondrio,Rogolo,573
Sondrio,Samolaco,2883
Sondrio,San Giacomo Filippo,367
Sondrio,Sernio,489
Sondrio,Sondalo,3913
Sondrio,Sondrio,21130
Sondrio,Spriana,82
Sondrio,Talamona,4590
Sondrio,Tartano,195
Sondrio,Teglio,4528
Sondrio,Tirano,8848
Sondrio,Torre di Santa Maria,734
Sondrio,Tovo di Sant'Agata,620
Sondrio,Traona,2850
Sondrio,Tresivio,2025
Sondrio,Valdidentro,4173
Sondrio,Valdisotto,3585
Sondrio,Valfurva,2490
Sondrio,Val Masino,839
Sondrio,Verceia,1065
Sondrio,Vervio,200
Sondrio,Villa di Chiavenna,948
Sondrio,Villa di Tirano,2991
