"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"108001","Agrate Brianza","3881","3378","275","184","","","","7718","3459","3373","345","768","","","","7945","15663"
"108002","Aicurzio","477","473","34","32","","","","1016","425","472","34","110","","","","1041","2057"
"108003","Albiate","1590","1508","84","83","","","","3265","1431","1534","133","349","","","","3447","6712"
"108004","Arcore","4185","3981","288","214","","","","8668","3707","4017","393","1067","","","","9184","17852"
"108005","Barlassina","1621","1566","99","114","","","","3400","1363","1560","177","396","","","","3496","6896"
"108006","Bellusco","1741","1713","114","112","","","","3680","1511","1715","155","406","","","","3787","7467"
"108007","Bernareggio","2870","2596","216","135","","","","5817","2385","2569","269","519","","","","5742","11559"
"108008","Besana in Brianza","3580","3582","241","229","","","","7632","2992","3600","320","901","","","","7813","15445"
"108009","Biassono","2716","2884","207","142","","","","5949","2454","2928","294","711","","","","6387","12336"
"108010","Bovisio-Masciago","3919","3779","286","233","","","","8217","3517","3823","405","882","","","","8627","16844"
"108011","Briosco","1396","1446","99","82","","","","3023","1181","1450","134","338","","","","3103","6126"
"108012","Brugherio","8362","7778","567","404","15","2","0","17128","7291","7878","837","2092","10","1","0","18109","35237"
"108013","Burago di Molgora","970","989","69","55","","","","2083","809","1004","111","262","","","","2186","4269"
"108014","Camparada","560","478","29","21","","","","1088","402","473","42","109","","","","1026","2114"
"108015","Carate Brianza","4217","4089","286","196","","","","8788","3521","4146","411","1056","","","","9134","17922"
"108016","Carnate","1906","1816","118","94","","","","3934","1483","1842","151","410","","","","3886","7820"
"108017","Cavenago di Brianza","1882","1615","129","93","","","","3719","1586","1656","154","379","","","","3775","7494"
"108018","Ceriano Laghetto","1562","1515","121","81","","","","3279","1295","1544","152","391","","","","3382","6661"
"108019","Cesano Maderno","9734","8786","663","517","15","1","1","19717","8069","8752","791","2196","13","3","0","19824","39541"
"108020","Cogliate","1956","1990","119","103","","","","4168","1643","2018","162","501","","","","4324","8492"
"108021","Concorezzo","3812","3558","246","196","","","","7812","3304","3615","333","914","","","","8166","15978"
"108022","Correzzana","839","668","59","34","","","","1600","737","673","70","121","","","","1601","3201"
"108023","Desio","9850","9399","702","505","17","0","0","20473","8314","9546","930","2295","12","0","0","21097","41570"
"108024","Giussano","6356","5939","427","333","7","2","0","13064","5242","6005","541","1386","4","0","0","13178","26242"
"108025","Lazzate","1787","1777","130","105","","","","3799","1500","1795","166","420","","","","3881","7680"
