Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
6174,2022/01/01 00:00,85.8,63.1,96.2
6174,2022/01/02 00:00,87.1,77.3,99.5
6174,2022/01/03 00:00,96.4,83.3,99.5
6174,2022/01/04 00:00,98.4,93.6,99.5
6174,2022/01/05 00:00,88.3,32.4,99.5
6174,2022/01/06 00:00,74.3,30.5,91.4
6174,2022/01/07 00:00,64.5,49.6,80.1
6174,2022/01/08 00:00,79.6,64.9,97.6
6174,2022/01/09 00:00,83.8,66.9,95.1
6174,2022/01/10 00:00,81.3,69.3,90.9
6174,2022/01/11 00:00,58.1,34.4,80.2
6174,2022/01/12 00:00,59.8,49.0,69.8
6174,2022/01/13 00:00,62.5,38.6,73.8
6174,2022/01/14 00:00,58.8,39.0,72.8
6174,2022/01/15 00:00,55.2,35.2,69.3
6174,2022/01/16 00:00,61.1,48.6,74.4
6174,2022/01/17 00:00,51.8,33.1,72.6
6174,2022/01/18 00:00,68.0,44.2,81.8
6174,2022/01/19 00:00,72.2,63.6,81.9
6174,2022/01/20 00:00,85.0,68.7,94.3
6174,2022/01/21 00:00,93.4,80.2,99.5
6174,2022/01/22 00:00,86.0,64.8,99.5
6174,2022/01/23 00:00,81.7,73.2,89.8
6174,2022/01/24 00:00,93.3,84.2,99.5
6174,2022/01/25 00:00,92.4,84.3,98.4
6174,2022/01/26 00:00,96.5,92.8,99.5
6174,2022/01/27 00:00,96.6,82.0,99.5
6174,2022/01/28 00:00,65.2,12.7,99.5
6174,2022/01/29 00:00,57.8,43.6,78.8
6174,2022/01/30 00:00,53.5,44.1,79.0
6174,2022/01/31 00:00,60.5,22.5,84.2
6174,2022/02/01 00:00,26.0,15.2,36.0
6174,2022/02/02 00:00,37.6,23.6,57.7
6174,2022/02/03 00:00,60.7,42.7,76.9
6174,2022/02/04 00:00,81.3,69.4,88.5
6174,2022/02/05 00:00,91.4,81.6,99.4
6174,2022/02/06 00:00,92.0,77.8,99.2
6174,2022/02/07 00:00,44.8,11.3,99.4
6174,2022/02/08 00:00,28.4,15.1,49.3
6174,2022/02/09 00:00,59.5,42.1,80.3
6174,2022/02/10 00:00,75.9,67.2,86.2
6174,2022/02/11 00:00,57.9,14.8,75.7
6174,2022/02/12 00:00,50.6,29.9,80.7
6174,2022/02/13 00:00,46.1,37.3,53.5
6174,2022/02/14 00:00,67.6,52.4,95.8
6174,2022/02/15 00:00,95.8,90.8,99.4
6174,2022/02/16 00:00,89.7,68.2,99.5
6174,2022/02/17 00:00,76.8,55.6,99.5
6174,2022/02/18 00:00,84.8,71.2,98.2
6174,2022/02/19 00:00,92.2,75.4,99.4
6174,2022/02/20 00:00,75.3,53.3,99.4
6174,2022/02/21 00:00,51.6,14.0,83.3
6174,2022/02/22 00:00,31.4,13.1,49.5
6174,2022/02/23 00:00,38.9,28.1,48.6
6174,2022/02/24 00:00,50.6,40.6,58.5
6174,2022/02/25 00:00,41.6,11.5,72.7
6174,2022/02/26 00:00,41.5,7.1,84.2
6174,2022/02/27 00:00,40.5,25.2,58.7
6174,2022/02/28 00:00,40.3,23.5,64.8
6174,2022/03/01 00:00,39.4,26.9,62.6
6174,2022/03/02 00:00,44.3,25.6,60.6
6174,2022/03/03 00:00,53.5,34.6,72.9
6174,2022/03/04 00:00,57.3,43.3,72.7
6174,2022/03/05 00:00,48.4,38.4,65.1
6174,2022/03/06 00:00,41.7,30.3,51.2
6174,2022/03/07 00:00,44.5,33.7,53.8
6174,2022/03/08 00:00,47.2,33.2,60.6
6174,2022/03/09 00:00,46.4,27.0,67.2
6174,2022/03/10 00:00,46.9,35.1,57.0
6174,2022/03/11 00:00,55.1,45.9,70.2
6174,2022/03/12 00:00,50.1,37.1,62.3
6174,2022/03/13 00:00,43.2,31.2,56.2
6174,2022/03/14 00:00,50.8,37.8,61.1
6174,2022/03/15 00:00,59.7,48.8,70.5
6174,2022/03/16 00:00,65.0,54.0,72.2
6174,2022/03/17 00:00,67.5,60.3,75.1
6174,2022/03/18 00:00,51.8,38.6,70.8
6174,2022/03/19 00:00,41.8,32.0,50.7
6174,2022/03/20 00:00,36.4,28.7,48.5
6174,2022/03/21 00:00,34.0,25.6,47.1
6174,2022/03/22 00:00,32.3,20.1,48.3
6174,2022/03/23 00:00,28.4,12.4,45.1
6174,2022/03/24 00:00,25.7,9.9,43.9
6174,2022/03/25 00:00,23.3,12.1,38.4
6174,2022/03/26 00:00,24.4,15.9,32.8
6174,2022/03/27 00:00,30.3,15.7,43.9
6174,2022/03/28 00:00,26.7,13.7,39.6
6174,2022/03/29 00:00,51.9,29.6,79.3
6174,2022/03/30 00:00,81.0,52.7,94.8
6174,2022/03/31 00:00,78.3,58.0,99.4
6174,2022/04/01 00:00,74.8,56.7,94.8
6174,2022/04/02 00:00,56.5,39.6,77.7
6174,2022/04/03 00:00,62.8,44.9,76.1
6174,2022/04/04 00:00,56.4,37.2,80.0
6174,2022/04/05 00:00,48.5,29.9,70.0
6174,2022/04/06 00:00,55.9,37.9,74.6
6174,2022/04/07 00:00,55.4,33.2,73.4
6174,2022/04/08 00:00,58.1,41.1,77.7
6174,2022/04/09 00:00,42.0,10.8,79.6
6174,2022/04/10 00:00,44.8,15.8,80.5
6174,2022/04/11 00:00,30.6,22.6,39.6
6174,2022/04/12 00:00,32.9,22.2,41.7
6174,2022/04/13 00:00,46.5,35.3,62.5
6174,2022/04/14 00:00,40.9,23.5,62.0
6174,2022/04/15 00:00,40.4,28.0,56.2
6174,2022/04/16 00:00,43.1,28.7,56.8
6174,2022/04/17 00:00,43.0,33.0,60.7
6174,2022/04/18 00:00,34.2,25.5,44.7
6174,2022/04/19 00:00,42.1,25.4,70.1
6174,2022/04/20 00:00,59.8,48.9,75.5
6174,2022/04/21 00:00,49.5,36.8,65.7
6174,2022/04/22 00:00,74.8,59.7,92.2
6174,2022/04/23 00:00,80.9,69.0,98.3
6174,2022/04/24 00:00,71.1,49.3,99.3
6174,2022/04/25 00:00,68.1,44.2,92.6
6174,2022/04/26 00:00,82.0,61.1,99.1
6174,2022/04/27 00:00,58.7,32.1,86.9
6174,2022/04/28 00:00,48.9,35.8,62.3
6174,2022/04/29 00:00,41.3,29.0,55.7
6174,2022/04/30 00:00,37.0,26.6,47.4
6174,2022/05/01 00:00,49.6,32.7,66.3
6174,2022/05/02 00:00,50.1,35.4,69.5
6174,2022/05/03 00:00,55.2,39.7,76.3
