ATS,Stagione_test,R2,Alpha_scelto
ATS Bergamo (pianura/colline),22-23,0.6993,1.0
ATS Bergamo (pianura/colline),23-24,0.6721,1.0
ATS Bergamo (pianura/colline),24-25,0.6635,1.0
ATS Bergamo (pianura/colline),25-26,0.7067,1.0
