Variabile,Coef_medio,Coef_std,Importanza
ILI_NORM_lag1,1.3052,0.1112,1.3052
PM25_lag1,-0.3886,0.0641,0.3886
PM10_lag1,0.3294,0.0658,0.3294
TEMP_lag2,-0.2265,0.1449,0.2265
NO2_lag1,0.1588,0.1142,0.1588
HUMIDITY_lag1,-0.1058,0.1058,0.1058
