Variabile,Coefficiente,Std_err,t_stat,p_value,IC95_low,IC95_high
TEMP_lag2,-0.2706,0.1659,-1.6315,0.1076,-0.6019,0.0606
HUMIDITY_lag1,-0.0758,0.1464,-0.5181,0.6062,-0.3682,0.2165
PM25_lag1,-0.9578,0.6301,-1.5201,0.1333,-2.2163,0.3006
PM10_lag1,0.8837,0.6214,1.4221,0.1598,-0.3573,2.1246
NO2_lag1,0.1296,0.1773,0.7314,0.4672,-0.2244,0.4836
ILI_NORM_lag1,1.3583,0.1159,11.7243,0.0,1.1269,1.5897
