WEEK,2022,2023,2024,2025,2026
48,576,448,446,423,
49,658,519,455,520,
50,573,612,450,521,
51,529,683,474,612,
52,627,830,542,641,
1,287,633,729,607,545
2,293,419,442,463,430
3,249,457,418,473,400
4,298,411,440,541,439
5,309,473,442,537,441
6,280,462,442,538,372
7,275,473,426,471,425
8,292,457,386,436,414
9,327,445,435,457,417
10,303,464,467,466,400
11,351,409,451,445,414
12,383,434,499,391,410
13,390,435,480,454,396
14,364,375,498,453,419
15,373,448,483,414,411
