stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Bergamo,PM25,2023,46,W46/2023,1,242,13.7373,7.5626,1.0714,25.5857,18.0078,10.7184
23-24,ATS_Bergamo,PM25,2023,47,W47/2023,2,242,15.7886,7.2760,1.4286,27.3714,19.8998,12.6519
23-24,ATS_Bergamo,PM25,2023,48,W48/2023,3,242,12.8634,6.3198,1.5000,22.8714,16.5468,9.9966
23-24,ATS_Bergamo,PM25,2023,49,W49/2023,4,242,18.3093,8.8812,1.1857,31.3857,23.4019,14.2928
23-24,ATS_Bergamo,PM25,2023,50,W50/2023,5,242,18.7731,10.5175,1.1429,33.7143,24.6804,14.2681
23-24,ATS_Bergamo,PM25,2023,51,W51/2023,6,242,15.7149,9.0903,1.3857,33.2857,20.4146,12.4490
23-24,ATS_Bergamo,PM25,2023,52,W52/2023,7,242,25.0584,11.4339,1.8143,40.3857,31.4558,19.8428
23-24,ATS_Bergamo,PM25,2024,1,W01/2024,8,242,14.8360,6.6645,1.4571,24.7143,18.4782,11.9076
23-24,ATS_Bergamo,PM25,2024,2,W02/2024,9,242,19.6160,8.2426,2.9000,31.1714,24.0080,16.1164
23-24,ATS_Bergamo,PM25,2024,3,W03/2024,10,242,22.3880,10.6061,2.6429,37.3571,28.0585,17.9354
23-24,ATS_Bergamo,PM25,2024,4,W04/2024,11,242,30.8220,16.5970,0.9429,53.8714,40.2224,23.8558
23-24,ATS_Bergamo,PM25,2024,5,W05/2024,12,242,34.3749,15.2967,3.3143,55.1286,43.0864,27.4927
23-24,ATS_Bergamo,PM25,2024,6,W06/2024,13,242,21.6591,9.9891,2.2143,42.9571,26.1678,17.7314
23-24,ATS_Bergamo,PM25,2024,7,W07/2024,14,242,33.8135,13.7260,5.3000,51.9714,41.4060,27.6099
23-24,ATS_Bergamo,PM25,2024,8,W08/2024,15,242,23.2759,10.3630,2.4429,38.8143,28.8645,18.7711
23-24,ATS_Bergamo,PM25,2024,9,W09/2024,16,242,6.1831,2.4487,1.4571,10.2286,7.4137,5.1764
23-24,ATS_Bergamo,PM25,2024,10,W10/2024,17,242,9.2201,2.7288,2.8429,13.8429,10.7049,8.0237
23-24,ATS_Bergamo,PM25,2024,11,W11/2024,18,242,14.2057,5.1665,2.9857,23.3429,16.9260,12.0182
23-24,ATS_Bergamo,PM25,2024,12,W12/2024,19,242,20.4107,7.3684,4.3000,31.1000,24.3976,17.1658
23-24,ATS_Bergamo,PM25,2024,13,W13/2024,20,242,10.1645,3.6107,2.5286,15.7857,12.1632,8.6417
23-24,ATS_Bergamo,PM25,2024,14,W14/2024,21,242,8.5149,2.8496,2.3429,13.1571,10.0259,7.3655
23-24,ATS_Bergamo,PM25,2024,15,W15/2024,22,242,14.7071,4.4747,5.3857,24.6571,16.7759,13.0704
