stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
24-25,ATS_Bergamo,PM25,2024,40,W40/2024,1,242,7.2260,2.0667,2.3429,10.6714,8.3095,6.3932
24-25,ATS_Bergamo,PM25,2024,41,W41/2024,2,242,5.7002,2.3660,1.6000,11.9571,6.6951,4.9280
24-25,ATS_Bergamo,PM25,2024,42,W42/2024,3,242,7.0671,3.3798,1.1571,13.4000,8.8147,5.8542
24-25,ATS_Bergamo,PM25,2024,43,W43/2024,4,242,10.1004,4.2341,2.4571,16.9857,12.3479,8.3786
24-25,ATS_Bergamo,PM25,2024,44,W44/2024,5,242,12.6746,6.9616,3.5143,29.3857,15.6846,10.9720
24-25,ATS_Bergamo,PM25,2024,45,W45/2024,6,242,18.8454,9.0842,4.3571,31.7429,23.8149,15.4649
24-25,ATS_Bergamo,PM25,2024,46,W46/2024,7,242,23.3880,10.7957,4.0429,37.7429,29.3655,18.9349
24-25,ATS_Bergamo,PM25,2024,47,W47/2024,8,242,15.4831,7.9330,1.3571,27.2429,19.8578,12.2064
24-25,ATS_Bergamo,PM25,2024,48,W48/2024,9,242,18.6639,9.9580,2.2714,32.6000,24.3432,14.6458
24-25,ATS_Bergamo,PM25,2024,49,W49/2024,10,242,19.4784,10.1586,2.5286,38.4857,24.7219,15.6622
24-25,ATS_Bergamo,PM25,2024,50,W50/2024,11,242,20.7557,10.9047,2.8000,35.6000,26.8036,16.3814
24-25,ATS_Bergamo,PM25,2024,51,W51/2024,12,242,16.7187,10.2592,1.3429,31.6429,22.5469,12.7909
24-25,ATS_Bergamo,PM25,2024,52,W52/2024,13,242,12.0928,9.3522,1.5000,35.5000,16.1871,9.6702
24-25,ATS_Bergamo,PM25,2025,1,W01/2025,14,242,31.8023,18.5793,3.5000,66.4286,41.5038,25.3513
24-25,ATS_Bergamo,PM25,2025,2,W02/2025,15,237,14.6413,6.6740,2.3000,24.8429,18.1760,11.9020
24-25,ATS_Bergamo,PM25,2025,3,W03/2025,16,237,20.2999,8.9597,2.9143,35.2286,24.7773,16.5700
24-25,ATS_Bergamo,PM25,2025,4,W04/2025,17,237,12.5091,6.2117,2.1143,22.6286,16.1124,10.0083
24-25,ATS_Bergamo,PM25,2025,5,W05/2025,18,237,9.9105,5.2416,1.5571,20.6429,12.3019,8.0844
24-25,ATS_Bergamo,PM25,2025,6,W06/2025,19,236,20.2148,7.4191,4.6000,32.5000,24.0182,17.0209
24-25,ATS_Bergamo,PM25,2025,7,W07/2025,20,236,14.8757,7.7661,2.1000,26.3857,19.0570,11.9045
24-25,ATS_Bergamo,PM25,2025,8,W08/2025,21,235,35.5954,12.4149,6.7429,48.8571,42.2945,29.4206
24-25,ATS_Bergamo,PM25,2025,9,W09/2025,22,234,24.6089,9.8107,4.4143,41.0286,29.7934,20.2705
24-25,ATS_Bergamo,PM25,2025,10,W10/2025,23,233,22.3860,6.6220,8.8571,35.4286,25.6288,19.7446
24-25,ATS_Bergamo,PM25,2025,11,W11/2025,24,232,7.6592,2.8273,1.7286,14.5714,8.9612,6.5585
24-25,ATS_Bergamo,PM25,2025,12,W12/2025,25,232,17.0348,4.8234,4.9857,24.1000,19.6309,14.8150
24-25,ATS_Bergamo,PM25,2025,13,W13/2025,26,232,9.5479,2.4616,2.8714,14.0429,10.6205,8.5440
24-25,ATS_Bergamo,PM25,2025,14,W14/2025,27,242,15.0629,2.9686,6.0000,20.2800,16.4486,13.7400
24-25,ATS_Bergamo,PM25,2025,15,W15/2025,28,60,15.6011,2.9857,6.1286,19.6857,17.2647,13.7004
24-25,ATS_Bergamo,PM25,2025,16,W16/2025,29,242,5.9011,1.5991,2.5000,10.1333,6.5634,5.4110
