stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Bergamo,NO2,2023,40,W40/2023,1,242,13.9231,8.7436,1.0286,48.0857,19.5070,10.9726
23-24,ATS_Bergamo,NO2,2023,41,W41/2023,2,242,15.9695,8.8867,1.1571,47.1143,21.6563,12.9451
23-24,ATS_Bergamo,NO2,2023,42,W42/2023,3,242,14.6066,6.7375,2.1571,39.4143,19.4365,11.8771
23-24,ATS_Bergamo,NO2,2023,43,W43/2023,4,242,13.4459,7.7843,1.0286,38.6857,18.5816,10.5490
23-24,ATS_Bergamo,NO2,2023,44,W44/2023,5,242,11.4194,6.2297,1.5143,33.5286,15.6659,9.0592
23-24,ATS_Bergamo,NO2,2023,45,W45/2023,6,242,15.4911,9.7522,1.1429,40.9714,21.7004,12.0177
23-24,ATS_Bergamo,NO2,2023,46,W46/2023,7,242,20.0625,11.6526,1.0571,47.3857,27.6911,15.2349
23-24,ATS_Bergamo,NO2,2023,47,W47/2023,8,242,20.1217,10.8670,1.3000,44.7000,27.1657,15.5341
23-24,ATS_Bergamo,NO2,2023,48,W48/2023,9,242,20.9556,11.2751,2.6429,47.2714,28.5078,16.1657
23-24,ATS_Bergamo,NO2,2023,49,W49/2023,10,242,24.3645,12.6736,1.3000,50.2429,32.7217,18.9718
23-24,ATS_Bergamo,NO2,2023,50,W50/2023,11,242,24.6180,13.4236,1.2143,50.5286,33.4184,18.8294
23-24,ATS_Bergamo,NO2,2023,51,W51/2023,12,242,23.9728,15.0720,0.7000,53.2286,33.5652,18.0373
23-24,ATS_Bergamo,NO2,2023,52,W52/2023,13,242,23.0192,10.6881,1.5429,48.5143,30.3973,18.1327
23-24,ATS_Bergamo,NO2,2024,1,W01/2024,14,242,17.6232,12.1541,1.0714,45.4000,25.5943,13.2985
23-24,ATS_Bergamo,NO2,2024,2,W02/2024,15,242,20.9287,11.9358,1.9000,46.1286,28.6413,16.4734
23-24,ATS_Bergamo,NO2,2024,3,W03/2024,16,242,23.1274,15.1883,0.9571,51.4143,32.8737,17.3511
23-24,ATS_Bergamo,NO2,2024,4,W04/2024,17,242,26.7839,18.3943,0.6000,59.2143,38.5373,19.7287
23-24,ATS_Bergamo,NO2,2024,5,W05/2024,18,242,32.9039,18.3439,1.5143,65.4286,44.9899,25.0007
23-24,ATS_Bergamo,NO2,2024,6,W06/2024,19,242,19.7506,10.8641,1.1857,41.7000,26.5900,15.3447
23-24,ATS_Bergamo,NO2,2024,7,W07/2024,20,242,25.3968,12.5178,2.4714,48.6143,33.4553,20.0844
23-24,ATS_Bergamo,NO2,2024,8,W08/2024,21,242,17.5832,10.8816,1.2571,40.4000,24.2530,13.6658
23-24,ATS_Bergamo,NO2,2024,9,W09/2024,22,242,13.8082,9.6551,0.8000,34.1286,19.6785,10.5985
23-24,ATS_Bergamo,NO2,2024,10,W10/2024,23,242,13.7348,7.9885,1.5571,34.7714,18.9706,10.6993
23-24,ATS_Bergamo,NO2,2024,11,W11/2024,24,242,15.2924,9.1704,0.9000,41.6286,21.1967,11.8022
23-24,ATS_Bergamo,NO2,2024,12,W12/2024,25,242,13.8959,8.2130,0.9714,36.9429,19.2292,10.7336
23-24,ATS_Bergamo,NO2,2024,13,W13/2024,26,242,11.5106,8.1396,0.8143,33.1857,16.6238,8.7361
23-24,ATS_Bergamo,NO2,2024,14,W14/2024,27,242,11.6277,7.3934,0.5429,34.8571,16.3937,8.9526
23-24,ATS_Bergamo,NO2,2024,15,W15/2024,28,242,12.0207,7.8602,0.6000,32.5286,16.9667,9.2539
23-24,ATS_Bergamo,NO2,2024,16,W16/2024,29,242,8.7514,6.1904,0.5429,26.6429,12.6306,6.6364
