stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
25-26,ATS_Bergamo,NO2,2025,40,W40/2025,1,242,10.5439,5.2742,1.4333,26.9500,14.0387,8.7543
25-26,ATS_Bergamo,NO2,2025,41,W41/2025,2,242,13.0092,7.0675,1.1571,31.9286,17.3633,10.6443
25-26,ATS_Bergamo,NO2,2025,42,W42/2025,3,242,12.7284,6.1098,2.4167,30.3833,16.4558,10.8510
25-26,ATS_Bergamo,NO2,2025,43,W43/2025,4,242,12.4063,7.1901,0.9000,32.0400,16.8858,9.9045
25-26,ATS_Bergamo,NO2,2025,44,W44/2025,5,242,14.1337,7.4023,1.3714,32.8143,18.7966,11.3742
25-26,ATS_Bergamo,NO2,2025,45,W45/2025,6,242,16.8344,7.1173,1.6833,34.1833,21.5964,13.9551
25-26,ATS_Bergamo,NO2,2025,46,W46/2025,7,242,18.7020,10.2880,1.3800,40.5333,24.7781,14.8910
25-26,ATS_Bergamo,NO2,2025,47,W47/2025,8,242,13.8339,6.6323,2.0143,31.9286,18.2226,11.2246
25-26,ATS_Bergamo,NO2,2025,48,W48/2025,9,242,19.1251,10.8772,1.5286,40.1143,26.0269,14.8985
25-26,ATS_Bergamo,NO2,2025,49,W49/2025,10,242,16.6057,9.1655,1.0000,36.6429,22.9886,13.0445
25-26,ATS_Bergamo,NO2,2025,50,W50/2025,11,242,20.1946,10.3524,0.9167,41.5833,26.9022,15.9946
25-26,ATS_Bergamo,NO2,2025,51,W51/2025,12,242,19.6349,9.5066,1.0286,37.2571,26.0755,15.7815
25-26,ATS_Bergamo,NO2,2025,52,W52/2025,13,242,14.7838,7.4775,1.2000,30.5000,19.7909,11.9004
25-26,ATS_Bergamo,NO2,2026,1,W01/2026,14,242,18.1018,10.6204,1.4500,41.8667,25.1364,14.1641
25-26,ATS_Bergamo,NO2,2026,2,W02/2026,15,242,20.5967,12.0942,1.2167,44.8000,28.0759,15.9378
25-26,ATS_Bergamo,NO2,2026,3,W03/2026,16,242,22.9339,13.3028,1.0000,54.4143,31.5864,17.6216
25-26,ATS_Bergamo,NO2,2026,4,W04/2026,17,242,24.1133,10.5626,1.8600,48.2600,30.9762,19.1054
25-26,ATS_Bergamo,NO2,2026,5,W05/2026,18,242,17.6156,11.1012,1.1000,46.1667,24.7327,13.7846
25-26,ATS_Bergamo,NO2,2026,6,W06/2026,19,242,16.6445,9.7518,0.9800,41.8000,23.0362,13.1457
25-26,ATS_Bergamo,NO2,2026,7,W07/2026,20,242,16.1137,8.6581,1.5333,37.0333,21.6604,12.9010
25-26,ATS_Bergamo,NO2,2026,8,W08/2026,21,242,15.3809,9.3818,0.9857,36.8286,20.9679,12.1195
25-26,ATS_Bergamo,NO2,2026,9,W09/2026,22,242,18.6446,8.6453,1.4500,42.3833,24.5513,14.9532
25-26,ATS_Bergamo,NO2,2026,10,W10/2026,23,242,14.8634,6.8053,1.6000,39.8000,19.2785,12.2655
25-26,ATS_Bergamo,NO2,2026,11,W11/2026,24,242,13.3510,7.1525,1.4429,34.9571,17.8887,10.7821
25-26,ATS_Bergamo,NO2,2026,12,W12/2026,25,242,11.6550,7.0679,1.2167,34.9000,16.0425,9.2817
25-26,ATS_Bergamo,NO2,2026,13,W13/2026,26,242,10.4650,6.6475,1.0000,29.7600,14.4740,8.3239
25-26,ATS_Bergamo,NO2,2026,14,W14/2026,27,242,10.8379,7.3544,0.7286,35.0143,15.2019,8.4019
25-26,ATS_Bergamo,NO2,2026,15,W15/2026,28,242,11.6187,6.2444,0.6833,36.5500,15.7451,9.2782
25-26,ATS_Bergamo,NO2,2026,16,W16/2026,29,242,9.8722,5.7296,0.9500,32.0500,13.4705,7.9466
