"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"097001","Abbadia Lariana","742","716","71","40","","","","1569","656","724","90","167","","","","1637","3206"
"097002","Airuno","742","638","44","42","","","","1466","551","631","35","173","","","","1390","2856"
"097003","Annone di Brianza","521","567","21","25","","","","1134","448","557","21","124","","","","1150","2284"
"097004","Ballabio","1024","953","89","42","","","","2108","874","914","92","171","","","","2051","4159"
"097005","Barzago","539","561","40","30","","","","1170","475","556","30","138","","","","1199","2369"
"097006","Barzanò","1118","1204","76","53","","","","2451","949","1190","97","316","","","","2552","5003"
"097007","Barzio","306","270","18","16","","","","610","267","263","22","96","","","","648","1258"
"097008","Bellano","770","748","84","81","","","","1683","663","769","72","239","","","","1743","3426"
"097009","Bosisio Parini","814","750","53","45","","","","1662","675","734","58","160","","","","1627","3289"
"097010","Brivio","1084","1022","67","62","","","","2235","819","999","70","289","","","","2177","4412"
"097011","Bulciago","739","680","36","39","","","","1494","551","675","35","163","","","","1424","2918"
"097012","Calco","1360","1228","78","56","","","","2722","1186","1190","78","234","","","","2688","5410"
"097013","Calolziocorte","3079","3189","179","184","","","","6631","2626","3192","245","860","","","","6923","13554"
"097014","Carenno","311","338","21","6","","","","676","284","337","18","67","","","","706","1382"
"097015","Casargo","199","178","17","17","","","","411","156","169","17","72","","","","414","825"
"097016","Casatenovo","3105","3058","169","173","","","","6505","2636","3125","234","751","","","","6746","13251"
"097017","Cassago Brianza","1043","1052","57","58","","","","2210","870","1041","52","226","","","","2189","4399"
"097018","Cassina Valsassina","123","127","14","11","","","","275","97","109","15","39","","","","260","535"
"097019","Castello di Brianza","626","621","29","28","","","","1304","527","616","36","113","","","","1292","2596"
"097020","Cernusco Lombardone","888","885","32","40","","","","1845","775","887","58","209","","","","1929","3774"
"097021","Cesana Brianza","562","556","29","25","","","","1172","469","564","33","129","","","","1195","2367"
"097022","Civate","878","864","43","48","","","","1833","700","869","67","227","","","","1863","3696"
"097023","Colico","2043","1776","128","79","","","","4026","1617","1791","180","489","","","","4077","8103"
"097024","Colle Brianza","449","417","24","23","","","","913","353","400","25","75","","","","853","1766"
"097025","Cortenova","244","286","18","18","","","","566","195","278","17","91","","","","581","1147"
"097026","Costa Masnaga","1133","1116","59","63","","","","2371","949","1108","65","265","","","","2387","4758"
"097027","Crandola Valsassina","70","60","5","5","","","","140","52","53","5","17","","","","127","267"
"097028","Cremella","396","413","17","12","","","","838","327","410","23","91","","","","851","1689"
"097029","Cremeno","498","342","43","16","","","","899","318","355","38","74","","","","785","1684"
"097030","Dervio","592","620","38","36","","","","1286","459","616","38","207","","","","1320","2606"
"097031","Dolzago","609","599","25","21","","","","1254","500","611","38","148","","","","1297","2551"
"097032","Dorio","77","62","8","3","","","","150","66","65","12","29","","","","172","322"
"097033","Ello","263","286","12","12","","","","573","259","290","18","52","","","","619","1192"
"097034","Erve","169","150","6","9","","","","334","131","155","7","48","","","","341","675"
"097035","Esino Lario","180","185","14","8","","","","387","142","168","7","57","","","","374","761"
"097036","Galbiate","1913","1953","142","110","","","","4118","1674","1943","150","533","","","","4300","8418"
"097037","Garbagnate Monastero","652","600","30","26","","","","1308","471","598","28","128","","","","1225","2533"
"097038","Garlate","632","619","33","33","","","","1317","519","618","50","147","","","","1334","2651"
"097039","Imbersago","594","554","66","20","","","","1234","520","542","72","126","","","","1260","2494"
"097040","Introbio","472","422","49","31","","","","974","348","404","50","144","","","","946","1920"
"097042","Lecco","11242","9996","774","611","26","1","0","22650","9869","10247","1179","3051","12","0","0","24358","47008"
"097043","Lierna","510","482","59","30","","","","1081","421","457","71","123","","","","1072","2153"
"097044","Lomagna","1175","1184","59","55","","","","2473","1005","1176","93","228","","","","2502","4975"
"097045","Malgrate","959","958","54","63","","","","2034","879","981","99","248","","","","2207","4241"
"097046","Mandello del Lario","2259","2281","193","139","","","","4872","1869","2279","239","670","","","","5057","9929"
"097047","Margno","106","83","11","7","","","","207","68","85","10","20","","","","183","390"
"097048","Merate","3326","3397","209","202","","","","7134","2946","3470","308","968","","","","7692","14826"
"097049","Missaglia","2151","1995","141","107","","","","4394","1834","1997","182","440","","","","4453","8847"
"097050","Moggio","91","132","7","5","","","","235","85","126","11","31","","","","253","488"
"097051","Molteno","872","822","36","47","","","","1777","678","817","53","209","","","","1757","3534"
"097052","Monte Marenzo","438","438","15","20","","","","911","368","429","25","103","","","","925","1836"
"097053","Montevecchia","628","625","49","42","","","","1344","553","622","58","104","","","","1337","2681"
"097054","Monticello Brianza","935","985","56","63","","","","2039","766","977","69","281","","","","2093","4132"
"097055","Morterone","9","7","1","1","","","","18","8","5","0","1","","","","14","32"
"097056","Nibionno","843","844","44","40","","","","1771","716","863","43","186","","","","1808","3579"
