"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"013003","Albavilla","1525","1464","79","78","","","","3146","1239","1506","120","385","","","","3250","6396"
"013004","Albese con Cassano","940","974","78","64","","","","2056","880","1001","87","226","","","","2194","4250"
"013005","Albiolo","671","630","70","28","","","","1399","505","637","75","142","","","","1359","2758"
"013006","Alserio","332","326","23","8","","","","689","284","318","18","60","","","","680","1369"
"013007","Alzate Brianza","1095","1152","79","65","","","","2391","909","1166","89","268","","","","2432","4823"
"013009","Anzano del Parco","402","397","26","11","","","","836","332","408","27","94","","","","861","1697"
"013010","Appiano Gentile","1778","1751","134","101","","","","3764","1550","1742","173","486","","","","3951","7715"
"013011","Argegno","152","149","22","8","","","","331","129","152","12","47","","","","340","671"
"013012","Arosio","1243","1129","74","58","","","","2504","1030","1171","102","329","","","","2632","5136"
"013013","Asso","813","781","84","40","","","","1718","695","802","103","186","","","","1786","3504"
"013015","Barni","128","150","17","3","","","","298","113","133","16","28","","","","290","588"
"013021","Bene Lario","85","80","7","2","","","","174","68","71","5","23","","","","167","341"
"013022","Beregazzo con Figliaro","654","647","46","31","","","","1378","585","649","54","158","","","","1446","2824"
"013023","Binago","1222","1049","97","56","","","","2424","1019","1051","95","253","","","","2418","4842"
"013024","Bizzarone","437","372","40","29","","","","878","372","370","50","97","","","","889","1767"
"013025","Blessagno","72","71","8","7","","","","158","63","61","7","14","","","","145","303"
"013026","Blevio","248","206","34","10","","","","498","230","212","24","84","","","","550","1048"
"013028","Bregnano","1586","1470","141","64","","","","3261","1280","1455","140","317","","","","3192","6453"
"013029","Brenna","525","541","28","30","","","","1124","410","542","34","93","","","","1079","2203"
"013030","Brienno","62","75","13","2","","","","152","64","74","7","20","","","","165","317"
"013032","Brunate","388","352","29","26","","","","795","317","346","47","91","","","","801","1596"
"013034","Bulgarograsso","1017","911","58","38","","","","2024","811","899","85","181","","","","1976","4000"
"013035","Cabiate","1691","1735","116","100","","","","3642","1434","1716","148","379","","","","3677","7319"
"013036","Cadorago","1958","1756","151","78","","","","3943","1660","1748","199","402","","","","4009","7952"
"013037","Caglio","106","120","6","12","","","","244","103","100","15","26","","","","244","488"
"013040","Campione d'Italia","364","406","51","30","","","","851","346","375","76","109","","","","906","1757"
"013041","Cantù","9569","8958","662","489","11","0","0","19689","8058","8989","864","2396","6","0","0","20313","40002"
"013042","Canzo","1150","1165","104","88","","","","2507","992","1152","136","342","","","","2622","5129"
"013043","Capiago Intimiano","1283","1244","74","58","","","","2659","1123","1239","115","304","","","","2781","5440"
"013044","Carate Urio","229","264","31","14","","","","538","215","264","33","67","","","","579","1117"
"013045","Carbonate","675","727","47","33","","","","1482","521","727","50","170","","","","1468","2950"
"013046","Carimate","1044","1025","62","57","","","","2188","874","1025","93","227","","","","2219","4407"
"013047","Carlazzo","735","714","51","41","","","","1541","700","728","69","177","","","","1674","3215"
"013048","Carugo","1595","1524","110","60","","","","3289","1354","1514","118","332","","","","3318","6607"
"013052","Caslino d'Erba","389","376","26","21","","","","812","352","363","38","102","","","","855","1667"
"013053","Casnate con Bernate","1142","1191","76","51","","","","2460","991","1216","118","257","","","","2582","5042"
"013055","Cassina Rizzardi","782","719","76","36","","","","1613","705","733","81","164","","","","1683","3296"
"013058","Castelmarte","298","323","20","17","","","","658","222","313","15","51","","","","601","1259"
"013059","Castelnuovo Bozzente","221","208","13","10","","","","452","183","204","27","49","","","","463","915"
"013062","Cavargna","50","33","7","2","","","","92","26","28","3","21","","","","78","170"
"013063","Cerano d'Intelvi","129","127","15","10","","","","281","128","125","20","38","","","","311","592"
"013064","Cermenate","2209","2157","165","129","","","","4660","1811","2169","188","560","","","","4728","9388"
"013065","Cernobbio","1357","1440","135","105","","","","3037","1223","1393","218","446","","","","3280","6317"
"013068","Cirimido","539","511","27","19","","","","1096","399","495","46","125","","","","1065","2161"
"013071","Claino con Osteno","140","124","11","10","","","","285","96","117","11","32","","","","256","541"
"013074","Colonno","101","105","7","8","","","","221","80","95","12","26","","","","213","434"
"013075","Como","20500","17385","1532","1108","67","3","0","40595","17454","17673","2487","5351","26","0","0","42991","83586"
"013077","Corrido","216","180","11","12","","","","419","185","178","20","45","","","","428","847"
"013083","Cremia","162","157","12","13","","","","344","141","158","11","43","","","","353","697"
"013084","Cucciago","812","818","38","40","","","","1708","667","823","48","169","","","","1707","3415"
"013085","Cusino","58","54","8","4","","","","124","39","50","7","15","","","","111","235"
"013087","Dizzasco","151","141","13","11","","","","316","132","137","19","42","","","","330","646"
"013089","Domaso","349","301","26","20","","","","696","271","313","31","98","","","","713","1409"
"013090","Dongo","754","692","64","54","","","","1564","572","713","77","242","","","","1604","3168"
"013092","Dosso del Liro","61","44","8","3","","","","116","48","45","6","22","","","","121","237"
"013095","Erba","3668","3721","266","229","","","","7884","3199","3692","404","1057","","","","8352","16236"
"013097","Eupilio","587","591","60","38","","","","1276","499","578","60","128","","","","1265","2541"
"013098","Faggeto Lario","250","260","25","23","","","","558","200","258","20","57","","","","535","1093"
"013099","Faloppio","1209","1071","83","46","","","","2409","1040","1072","101","238","","","","2451","4860"
"013100","Fenegrò","806","734","72","30","","","","1642","681","731","64","138","","","","1614","3256"
"013101","Figino Serenza","1152","1163","62","50","","","","2427","961","1167","92","284","","","","2504","4931"
"013102","Fino Mornasco","2458","2268","174","105","","","","5005","1986","2295","229","496","","","","5006","10011"
"013106","Garzeno","155","142","15","14","","","","326","107","134","13","79","","","","333","659"
"013107","Gera Lario","281","232","29","9","","","","551","207","215","19","67","","","","508","1059"
"013110","Grandate","620","666","42","31","","","","1359","582","676","55","171","","","","1484","2843"
"013111","Grandola ed Uniti","325","271","33","16","","","","645","257","267","44","74","","","","642","1287"
"013113","Griante","139","128","5","9","","","","281","105","135","9","48","","","","297","578"
"013114","Guanzate","1426","1254","98","73","","","","2851","1206","1297","117","276","","","","2896","5747"
"013118","Inverigo","2175","2127","156","123","","","","4581","1863","2129","181","493","","","","4666","9247"
"013119","Laglio","173","194","28","10","","","","405","189","203","19","42","","","","453","858"
"013120","Laino","134","115","23","8","","","","280","96","112","20","42","","","","270","550"
"013121","Lambrugo","620","570","32","29","","","","1251","523","579","42","137","","","","1281","2532"
"013123","Lasnigo","108","105","5","7","","","","225","91","101","6","34","","","","232","457"
"013126","Lezzeno","457","438","24","24","","","","943","368","433","35","144","","","","980","1923"
"013128","Limido Comasco","985","856","61","44","","","","1946","838","865","73","157","","","","1933","3879"
"013129","Lipomo","1328","1333","114","97","","","","2872","1178","1337","156","365","","","","3036","5908"
"013130","Livo","43","37","7","4","","","","91","21","35","4","13","","","","73","164"
"013131","Locate Varesino","1013","1035","70","49","","","","2167","843","1005","88","222","","","","2158","4325"
"013133","Lomazzo","2403","2181","158","124","","","","4866","2120","2199","237","547","","","","5103","9969"
"013134","Longone al Segrino","432","474","27","17","","","","950","398","471","35","98","","","","1002","1952"
"013135","Luisago","678","601","52","36","","","","1367","577","602","61","162","","","","1402","2769"
"013136","Lurago d'Erba","1308","1250","111","59","","","","2728","1087","1302","100","279","","","","2768","5496"
"013137","Lurago Marinone","633","603","32","32","","","","1300","509","594","42","133","","","","1278","2578"
"013138","Lurate Caccivio","2309","2160","152","106","","","","4727","1920","2152","260","636","","","","4968","9695"
"013139","Magreglio","151","171","21","8","","","","351","120","163","21","32","","","","336","687"
"013143","Mariano Comense","6014","5772","411","320","11","0","1","12529","5120","5836","533","1361","8","0","0","12858","25387"
"013144","Maslianico","763","697","56","32","","","","1548","599","690","80","215","","","","1584","3132"
"013145","Menaggio","750","642","65","51","","","","1508","595","655","67","202","","","","1519","3027"
"013147","Merone","958","943","68","61","","","","2030","805","935","83","204","","","","2027","4057"
"013152","Moltrasio","322","327","31","27","","","","707","313","339","45","119","","","","816","1523"
"013153","Monguzzo","560","544","52","23","","","","1179","461","535","39","131","","","","1166","2345"
"013154","Montano Lucino","1305","1227","89","78","","","","2699","1111","1224","124","252","","","","2711","5410"
"013155","Montemezzo","50","43","8","3","","","","104","34","44","4","14","","","","96","200"
"013157","Montorfano","535","599","42","35","","","","1211","491","629","51","152","","","","1323","2534"
"013159","Mozzate","2069","1982","161","91","","","","4303","1794","1972","210","455","","","","4431","8734"
