giorno,ATS,parametro,valore_medio,n_misure
2021-01-18,ATS_Bergamo,PM25,71.4,5
2021-01-18,ATS_Montagna,NO2,37.59,192
2021-01-18,ATS_Montagna,PM10,75.57,7
2021-01-18,ATS_Montagna,PM25,62.67,3
2021-01-19,ATS_Bergamo,NO2,61.46,216
2021-01-19,ATS_Bergamo,PM10,99.62,8
2021-01-19,ATS_Bergamo,PM25,76.0,4
2021-01-19,ATS_Montagna,NO2,44.86,192
2021-01-19,ATS_Montagna,PM10,62.14,7
2021-01-19,ATS_Montagna,PM25,45.67,3
2021-01-20,ATS_Bergamo,NO2,46.65,216
2021-01-20,ATS_Bergamo,PM10,93.38,8
2021-01-20,ATS_Bergamo,PM25,74.8,5
2021-01-20,ATS_Montagna,NO2,39.97,184
2021-01-20,ATS_Montagna,PM10,84.29,7
2021-01-20,ATS_Montagna,PM25,72.67,3
2021-01-21,ATS_Bergamo,NO2,46.33,216
2021-01-21,ATS_Bergamo,PM10,67.86,7
2021-01-21,ATS_Bergamo,PM25,53.6,5
2021-01-21,ATS_Montagna,NO2,44.78,168
2021-01-21,ATS_Montagna,PM10,79.86,7
2021-01-21,ATS_Montagna,PM25,64.33,3
2021-01-22,ATS_Bergamo,NO2,45.08,216
2021-01-22,ATS_Bergamo,PM10,32.5,8
2021-01-22,ATS_Bergamo,PM25,25.4,5
2021-01-22,ATS_Montagna,NO2,46.25,178
2021-01-22,ATS_Montagna,PM10,42.71,7
2021-01-22,ATS_Montagna,PM25,35.33,3
2021-01-23,ATS_Bergamo,NO2,33.3,216
2021-01-23,ATS_Bergamo,PM10,13.88,8
2021-01-23,ATS_Bergamo,PM25,9.8,5
2021-01-23,ATS_Montagna,NO2,30.48,192
2021-01-23,ATS_Montagna,PM10,12.71,7
2021-01-23,ATS_Montagna,PM25,13.0,3
2021-01-24,ATS_Bergamo,NO2,27.69,216
2021-01-24,ATS_Bergamo,PM10,19.0,8
2021-01-24,ATS_Bergamo,PM25,14.6,5
2021-01-24,ATS_Montagna,NO2,25.9,192
2021-01-24,ATS_Montagna,PM10,26.29,7
2021-01-24,ATS_Montagna,PM25,20.0,3
2021-01-25,ATS_Bergamo,NO2,39.28,215
2021-01-25,ATS_Bergamo,PM10,24.88,8
2021-01-25,ATS_Bergamo,PM25,19.0,5
2021-01-25,ATS_Montagna,NO2,42.45,178
2021-01-25,ATS_Montagna,PM10,32.71,7
2021-01-25,ATS_Montagna,PM25,21.0,3
2021-01-26,ATS_Bergamo,NO2,22.96,214
2021-01-26,ATS_Bergamo,PM10,14.12,8
2021-01-26,ATS_Bergamo,PM25,11.0,5
2021-01-26,ATS_Montagna,NO2,28.6,168
2021-01-26,ATS_Montagna,PM10,16.0,7
2021-01-26,ATS_Montagna,PM25,11.0,3
2021-01-27,ATS_Bergamo,NO2,34.04,216
2021-01-27,ATS_Bergamo,PM10,19.38,8
2021-01-27,ATS_Bergamo,PM25,15.2,5
2021-01-27,ATS_Montagna,NO2,43.35,168
2021-01-27,ATS_Montagna,PM10,31.86,7
2021-01-27,ATS_Montagna,PM25,24.33,3
2021-01-28,ATS_Bergamo,NO2,44.26,216
2021-01-28,ATS_Bergamo,PM10,38.12,8
2021-01-28,ATS_Bergamo,PM25,27.8,5
2021-01-28,ATS_Montagna,NO2,45.77,175
2021-01-28,ATS_Montagna,PM10,40.17,6
2021-01-28,ATS_Montagna,PM25,26.67,3
2021-01-29,ATS_Bergamo,NO2,50.14,216
2021-01-29,ATS_Bergamo,PM10,63.62,8
2021-01-29,ATS_Bergamo,PM25,44.6,5
2021-01-29,ATS_Montagna,NO2,46.44,192
