giorno,ATS,NO2_mean_ugm3,PM10_mean_ugm3,PM25_mean_ugm3
2021-02-18,ATS_Bergamo,51.47,88.32,67.72
2021-02-18,ATS_Montagna,40.24,74.0,56.0
2021-02-19,ATS_Bergamo,57.99,63.84,47.49
2021-02-19,ATS_Montagna,42.37,70.0,54.0
2021-02-20,ATS_Bergamo,54.3,77.91,55.3
2021-02-20,ATS_Montagna,37.66,72.0,51.0
2021-02-21,ATS_Bergamo,36.9,65.07,51.02
2021-02-21,ATS_Montagna,25.56,64.0,51.0
2021-02-22,ATS_Bergamo,41.24,66.05,47.85
2021-02-22,ATS_Montagna,32.88,70.0,49.0
2021-02-23,ATS_Bergamo,56.05,79.1,56.99
2021-02-23,ATS_Montagna,39.64,70.0,43.0
2021-02-24,ATS_Bergamo,52.54,91.81,51.38
2021-02-24,ATS_Montagna,32.42,112.0,44.0
2021-02-25,ATS_Bergamo,48.34,90.71,44.89
2021-02-25,ATS_Montagna,29.88,,
2021-02-26,ATS_Bergamo,59.05,97.02,45.94
2021-02-26,ATS_Montagna,31.26,,
2021-02-27,ATS_Bergamo,36.66,74.81,38.18
2021-02-27,ATS_Montagna,23.66,,
2021-02-28,ATS_Bergamo,22.58,20.73,13.54
2021-02-28,ATS_Montagna,18.28,,
2021-03-01,ATS_Bergamo,42.65,37.09,28.43
2021-03-01,ATS_Montagna,23.21,,
2021-03-02,ATS_Bergamo,47.94,42.63,32.24
2021-03-02,ATS_Montagna,,34.0,24.0
2021-03-03,ATS_Bergamo,57.8,63.09,46.19
2021-03-03,ATS_Montagna,54.31,52.0,35.0
2021-03-04,ATS_Bergamo,49.43,49.43,34.81
2021-03-04,ATS_Montagna,39.35,43.0,31.0
2021-03-05,ATS_Bergamo,41.33,49.73,35.16
2021-03-05,ATS_Montagna,34.5,57.0,42.0
2021-03-06,ATS_Bergamo,22.77,29.25,20.03
2021-03-06,ATS_Montagna,19.04,34.0,24.0
2021-03-07,ATS_Bergamo,26.15,22.11,18.88
2021-03-07,ATS_Montagna,17.14,31.0,24.0
2021-03-08,ATS_Bergamo,35.95,42.35,34.66
2021-03-08,ATS_Montagna,30.45,45.0,35.0
2021-03-09,ATS_Bergamo,32.22,40.72,32.07
2021-03-09,ATS_Montagna,22.0,49.0,46.0
2021-03-10,ATS_Bergamo,36.45,39.27,31.3
2021-03-10,ATS_Montagna,24.11,38.0,30.0
2021-03-11,ATS_Bergamo,52.83,59.42,44.17
2021-03-11,ATS_Montagna,36.43,59.0,43.0
2021-03-12,ATS_Bergamo,40.47,51.71,36.11
2021-03-12,ATS_Montagna,28.49,46.0,32.0
2021-03-13,ATS_Bergamo,33.67,57.41,42.76
2021-03-13,ATS_Montagna,21.02,38.0,28.0
2021-03-14,ATS_Bergamo,15.9,24.51,14.57
2021-03-14,ATS_Montagna,11.78,17.0,13.0
2021-03-15,ATS_Bergamo,23.98,13.97,5.96
2021-03-15,ATS_Montagna,22.17,12.0,9.0
2021-03-16,ATS_Bergamo,15.15,9.12,8.56
2021-03-16,ATS_Montagna,17.28,15.0,9.0
2021-03-17,ATS_Bergamo,23.86,8.67,7.27
2021-03-17,ATS_Montagna,22.17,14.0,8.0
2021-03-18,ATS_Bergamo,28.32,14.18,11.2
2021-03-18,ATS_Montagna,21.23,16.0,13.0
2021-03-19,ATS_Bergamo,22.02,15.39,13.08
2021-03-19,ATS_Montagna,11.7,17.0,12.0
2021-03-20,ATS_Bergamo,22.92,18.15,17.85
2021-03-20,ATS_Montagna,14.35,21.0,15.0
2021-03-21,ATS_Bergamo,19.36,14.83,14.93
2021-03-21,ATS_Montagna,16.11,27.0,22.0
