Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Marche,Milano v.Senato
48,39.0,24.43,47.86,35.29
49,38.86,25.83,46.14,37.71
50,53.14,33.86,60.29,48.29
51,40.29,27.86,45.57,37.29
52,20.0,12.57,25.71,19.14
1,73.86,39.29,83.0,51.71
2,40.14,33.14,52.29,41.0
3,49.71,39.14,57.57,46.71
4,41.71,33.43,49.86,39.0
5,34.57,29.29,41.57,33.57
6,29.43,23.86,36.14,20.8
7,24.0,20.43,31.86,23.57
8,22.43,20.0,29.83,22.43
9,48.29,41.0,60.57,47.57
10,52.57,45.57,62.14,50.0
11,40.71,35.86,49.0,40.14
12,21.57,18.71,27.43,13.0
13,21.29,19.86,25.29,11.0
14,17.86,18.0,25.14,18.0
15,24.86,19.86,27.4,24.86
