Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Marche,Milano v.Senato
48,39.57,40.71,49.8,41.0
49,50.0,51.86,64.0,48.29
50,41.29,41.86,50.86,41.71
51,40.71,42.0,50.0,36.0
52,37.29,41.86,46.57,39.57
1,93.14,83.71,96.43,82.14
2,27.71,28.0,33.86,28.0
3,43.0,46.71,57.86,44.71
4,22.57,23.43,29.0,23.43
5,24.43,24.29,31.29,25.29
6,39.0,42.86,53.14,40.43
7,29.29,28.71,37.57,28.86
8,55.0,60.43,69.29,56.43
9,43.43,49.14,53.29,46.14
10,49.71,50.14,66.0,50.29
11,14.43,13.43,20.86,16.0
12,28.0,26.71,41.0,28.86
13,18.14,15.67,27.57,19.43
14,24.0,12.33,32.57,24.71
15,25.86,21.5,34.43,28.0
