stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Montagna,NO2,2024,13,W13/2024,26,134,3.4683,2.6464,0.4571,15.6857,4.0597,2.1635
23-24,ATS_Montagna,NO2,2024,14,W14/2024,27,134,2.9587,2.2154,0.2714,13.2143,3.5150,1.7815
23-24,ATS_Montagna,NO2,2024,15,W15/2024,28,134,2.7600,2.0626,0.2857,12.6143,3.2293,1.6826
23-24,ATS_Montagna,NO2,2024,16,W16/2024,29,134,2.0677,1.2740,0.5714,7.5286,2.4795,1.4434
24-25,ATS_Montagna,NO2,2024,40,W40/2024,1,134,3.3757,2.1529,0.8857,13.2571,4.0397,2.3419
24-25,ATS_Montagna,NO2,2024,41,W41/2024,2,134,3.1211,2.1628,0.5857,12.1571,3.7410,2.0665
24-25,ATS_Montagna,NO2,2024,42,W42/2024,3,134,3.6042,2.6606,0.4429,15.9286,4.2712,2.2422
24-25,ATS_Montagna,NO2,2024,43,W43/2024,4,134,3.7505,2.7969,0.4143,18.6429,4.4966,2.3235
24-25,ATS_Montagna,NO2,2024,44,W44/2024,5,134,4.5611,3.4524,0.5143,20.1286,5.5389,2.7881
24-25,ATS_Montagna,NO2,2024,45,W45/2024,6,134,8.3029,5.8505,0.8429,33.7429,9.5651,4.9736
24-25,ATS_Montagna,NO2,2024,46,W46/2024,7,134,7.8705,5.9462,0.6286,31.3143,9.3116,4.6156
24-25,ATS_Montagna,NO2,2024,47,W47/2024,8,134,4.8183,3.8397,0.6857,22.7000,6.1475,2.9164
24-25,ATS_Montagna,NO2,2024,48,W48/2024,9,134,6.4230,5.0171,0.5429,28.0714,7.9105,3.7552
24-25,ATS_Montagna,NO2,2024,49,W49/2024,10,134,6.7188,5.3622,0.7714,30.3000,8.4311,3.9224
24-25,ATS_Montagna,NO2,2024,50,W50/2024,11,134,7.8184,5.7260,1.0286,30.9143,9.4703,4.6620
24-25,ATS_Montagna,NO2,2024,51,W51/2024,12,134,6.6248,5.0581,0.8714,28.6571,8.3442,3.9622
24-25,ATS_Montagna,NO2,2024,52,W52/2024,13,134,5.5130,4.4457,0.8429,24.5714,7.0637,3.2744
24-25,ATS_Montagna,NO2,2025,1,W01/2025,14,134,8.5032,6.5417,0.6143,31.5714,10.7109,5.2050
24-25,ATS_Montagna,NO2,2025,2,W02/2025,15,133,5.9039,4.9832,0.6000,28.0571,7.2113,3.6890
24-25,ATS_Montagna,NO2,2025,3,W03/2025,16,133,7.7120,6.4397,0.3714,32.5000,9.1240,4.4912
24-25,ATS_Montagna,NO2,2025,4,W04/2025,17,133,6.7245,5.4673,0.4714,24.8571,8.1067,4.1404
24-25,ATS_Montagna,NO2,2025,5,W05/2025,18,134,5.8000,4.7166,0.5714,24.6714,7.4474,3.6608
24-25,ATS_Montagna,NO2,2025,6,W06/2025,19,134,8.0481,5.8338,0.6571,29.3286,9.8482,5.1183
24-25,ATS_Montagna,NO2,2025,7,W07/2025,20,134,6.8122,4.5027,1.0143,24.7857,8.6445,4.5799
24-25,ATS_Montagna,NO2,2025,8,W08/2025,21,134,8.4956,5.3005,0.5571,29.7857,10.4640,5.4986
24-25,ATS_Montagna,NO2,2025,9,W09/2025,22,134,6.0069,3.9372,1.1714,24.0286,7.7066,4.0827
24-25,ATS_Montagna,NO2,2025,10,W10/2025,23,134,5.3747,4.0008,0.6000,21.9286,6.6856,3.3755
24-25,ATS_Montagna,NO2,2025,11,W11/2025,24,134,4.2062,2.9342,0.6286,17.5857,5.3818,2.7644
24-25,ATS_Montagna,NO2,2025,12,W12/2025,25,134,4.7538,3.1892,0.5571,19.1571,5.9826,3.0830
24-25,ATS_Montagna,NO2,2025,13,W13/2025,26,134,3.1918,2.5485,0.6571,15.7857,4.2978,2.1611
24-25,ATS_Montagna,NO2,2025,14,W14/2025,27,134,3.2511,2.4665,0.4167,12.5833,4.2115,2.0763
24-25,ATS_Montagna,NO2,2025,15,W15/2025,28,134,4.3763,2.7794,0.3000,14.5857,5.3641,2.9624
24-25,ATS_Montagna,NO2,2025,16,W16/2025,29,134,3.9484,3.2970,0.3714,20.0000,4.9351,2.6745
25-26,ATS_Montagna,NO2,2025,40,W40/2025,1,134,4.0885,2.4429,0.8200,13.2000,4.9407,3.0910
25-26,ATS_Montagna,NO2,2025,41,W41/2025,2,134,5.1168,3.6138,0.4833,17.2333,6.1285,3.2965
25-26,ATS_Montagna,NO2,2025,42,W42/2025,3,134,5.8218,3.2288,1.1000,16.6667,6.7555,4.1769
25-26,ATS_Montagna,NO2,2025,43,W43/2025,4,134,4.6664,2.8302,0.7167,14.9571,5.6749,3.4058
25-26,ATS_Montagna,NO2,2025,44,W44/2025,5,134,5.9664,3.6741,1.1000,19.6200,7.1251,4.2864
25-26,ATS_Montagna,NO2,2025,45,W45/2025,6,134,9.1926,5.9544,1.1286,29.3167,11.1340,6.2257
25-26,ATS_Montagna,NO2,2025,46,W46/2025,7,134,7.7524,5.1575,1.1833,26.0000,9.4067,5.0831
25-26,ATS_Montagna,NO2,2025,47,W47/2025,8,134,5.8265,3.5749,1.4714,21.6429,7.2641,4.0361
25-26,ATS_Montagna,NO2,2025,48,W48/2025,9,134,8.4891,4.8963,1.6571,25.9143,9.9632,6.1850
25-26,ATS_Montagna,NO2,2025,49,W49/2025,10,134,8.9159,5.2440,1.1000,32.2750,11.2127,6.5778
25-26,ATS_Montagna,NO2,2025,50,W50/2025,11,134,9.7233,6.5287,1.1667,35.7400,11.9503,6.6526
25-26,ATS_Montagna,NO2,2025,51,W51/2025,12,134,10.6963,6.3140,1.1429,31.0500,12.6155,8.5559
25-26,ATS_Montagna,NO2,2025,52,W52/2025,13,134,8.7678,4.6594,1.1800,23.7250,10.4891,6.6785
25-26,ATS_Montagna,NO2,2026,1,W01/2026,14,134,8.2754,4.9464,0.9833,23.8833,10.3425,6.5218
25-26,ATS_Montagna,NO2,2026,2,W02/2026,15,134,7.1682,5.1472,1.2667,25.6000,9.5294,4.7925
25-26,ATS_Montagna,NO2,2026,3,W03/2026,16,134,9.2306,5.8848,0.7714,29.3714,11.5306,6.3036
25-26,ATS_Montagna,NO2,2026,4,W04/2026,17,134,10.1790,6.0316,1.0667,31.8000,12.1206,6.7999
25-26,ATS_Montagna,NO2,2026,5,W05/2026,18,134,6.6727,3.9892,0.7333,22.8000,7.9851,4.7070
25-26,ATS_Montagna,NO2,2026,6,W06/2026,19,134,7.8406,4.4814,0.8800,23.7667,9.1760,5.8030
25-26,ATS_Montagna,NO2,2026,7,W07/2026,20,134,6.7642,3.6224,1.4000,21.4333,8.1295,5.0842
25-26,ATS_Montagna,NO2,2026,8,W08/2026,21,134,5.3763,3.4211,0.8857,19.0167,6.9104,3.9239
25-26,ATS_Montagna,NO2,2026,9,W09/2026,22,134,7.5296,5.5035,0.5833,26.2833,9.8638,4.8560
25-26,ATS_Montagna,NO2,2026,10,W10/2026,23,134,6.1322,3.6360,0.6000,20.3833,7.5309,4.2901
25-26,ATS_Montagna,NO2,2026,11,W11/2026,24,134,5.3116,3.0377,0.9429,16.2000,6.2039,3.8154
25-26,ATS_Montagna,NO2,2026,12,W12/2026,25,134,4.0963,2.5838,0.5000,14.4167,4.7313,2.8117
25-26,ATS_Montagna,NO2,2026,13,W13/2026,26,134,3.0256,1.6639,1.1000,9.3600,3.8667,2.3467
25-26,ATS_Montagna,NO2,2026,14,W14/2026,27,134,2.4906,1.6655,0.6000,9.8000,3.2906,1.7358
25-26,ATS_Montagna,NO2,2026,15,W15/2026,28,134,3.8762,2.6802,0.3167,14.4600,4.6846,2.6523
25-26,ATS_Montagna,NO2,2026,16,W16/2026,29,134,3.1800,2.2003,0.4167,12.3000,4.0408,2.1396
21-22,ATS_Montagna,PM10,2021,40,W40/2021,1,134,4.9279,1.3183,2.9429,10.6857,5.2762,4.1479
21-22,ATS_Montagna,PM10,2021,41,W41/2021,2,134,7.4355,2.6446,2.6000,15.7714,7.8823,5.6036
21-22,ATS_Montagna,PM10,2021,42,W42/2021,3,134,8.1753,3.3088,2.3286,20.3429,9.0769,5.9460
21-22,ATS_Montagna,PM10,2021,43,W43/2021,4,134,8.7483,3.7066,2.5857,20.3286,9.3992,6.3159
21-22,ATS_Montagna,PM10,2021,44,W44/2021,5,134,4.5968,2.8254,1.2571,18.4143,5.4735,3.0451
21-22,ATS_Montagna,PM10,2021,45,W45/2021,6,134,10.6353,5.1835,3.3429,33.9857,12.1520,7.5021
21-22,ATS_Montagna,PM10,2021,46,W46/2021,7,134,10.0402,5.8491,2.1571,33.3571,11.7235,6.5779
21-22,ATS_Montagna,PM10,2021,47,W47/2021,8,134,8.1359,4.5863,2.0143,28.4000,9.4613,5.4373
