Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5909,2024/01/01 00:00,6.8,4.9,9.8
5909,2024/01/02 00:00,5.2,3.9,6.3
5909,2024/01/03 00:00,7.2,5.5,10.7
5909,2024/01/04 00:00,8.9,5.0,14.9
5909,2024/01/05 00:00,6.0,5.4,6.9
5909,2024/01/06 00:00,6.4,5.1,7.1
5909,2024/01/07 00:00,7.7,6.1,8.8
5909,2024/01/08 00:00,8.4,7.3,9.5
5909,2024/01/09 00:00,6.8,5.6,7.7
5909,2024/01/10 00:00,4.7,3.9,5.4
5909,2024/01/11 00:00,5.4,2.9,9.4
5909,2024/01/12 00:00,5.5,2.0,9.9
5909,2024/01/13 00:00,4.1,1.5,8.6
5909,2024/01/14 00:00,2.5,0.5,5.4
5909,2024/01/15 00:00,5.2,1.8,10.1
5909,2024/01/16 00:00,3.9,2.0,7.7
5909,2024/01/17 00:00,3.8,3.4,4.1
5909,2024/01/18 00:00,4.9,3.3,6.8
5909,2024/01/19 00:00,5.5,4.0,7.7
5909,2024/01/20 00:00,5.0,2.0,9.6
5909,2024/01/21 00:00,3.4,1.0,6.0
5909,2024/01/22 00:00,4.8,0.7,8.9
5909,2024/01/23 00:00,6.1,2.6,10.4
5909,2024/01/24 00:00,8.2,4.3,13.3
5909,2024/01/25 00:00,7.0,3.2,10.3
5909,2024/01/26 00:00,6.7,3.6,8.4
5909,2024/01/27 00:00,6.3,0.8,14.8
5909,2024/01/28 00:00,4.0,1.1,7.8
5909,2024/01/29 00:00,3.5,1.3,8.0
5909,2024/01/30 00:00,5.2,1.0,9.4
5909,2024/01/31 00:00,7.7,4.2,12.0
5909,2024/02/01 00:00,6.7,5.0,10.7
5909,2024/02/02 00:00,8.8,4.2,14.6
5909,2024/02/03 00:00,11.4,6.2,17.4
5909,2024/02/04 00:00,10.8,6.6,14.6
5909,2024/02/05 00:00,11.9,9.1,15.8
5909,2024/02/06 00:00,10.6,7.7,13.2
5909,2024/02/07 00:00,12.1,10.8,14.4
5909,2024/02/08 00:00,11.7,9.6,13.5
5909,2024/02/09 00:00,9.8,9.1,10.6
5909,2024/02/10 00:00,9.4,8.7,9.9
5909,2024/02/11 00:00,9.8,8.6,11.1
5909,2024/02/12 00:00,9.4,7.0,12.1
5909,2024/02/13 00:00,10.0,3.7,15.8
5909,2024/02/14 00:00,11.3,7.5,15.7
5909,2024/02/15 00:00,10.2,7.3,12.8
5909,2024/02/16 00:00,11.5,9.1,14.7
5909,2024/02/17 00:00,12.3,8.2,16.8
5909,2024/02/18 00:00,12.1,8.6,15.7
5909,2024/02/19 00:00,12.4,10.0,17.0
5909,2024/02/20 00:00,12.8,10.4,15.8
5909,2024/02/21 00:00,11.9,8.7,15.6
5909,2024/02/22 00:00,9.9,8.8,11.5
5909,2024/02/23 00:00,8.8,7.8,10.3
5909,2024/02/24 00:00,8.6,6.3,11.6
5909,2024/02/25 00:00,9.4,7.4,12.3
5909,2024/02/26 00:00,6.7,5.3,7.9
5909,2024/02/27 00:00,7.6,6.2,9.3
5909,2024/02/28 00:00,11.8,9.0,15.4
5909,2024/02/29 00:00,12.5,10.5,13.7
5909,2024/03/01 00:00,10.7,10.1,11.8
5909,2024/03/02 00:00,10.1,9.4,11.1
5909,2024/03/03 00:00,10.5,9.5,11.4
5909,2024/03/04 00:00,11.0,9.0,13.6
5909,2024/03/05 00:00,11.1,8.0,14.3
5909,2024/03/06 00:00,10.0,6.8,13.1
5909,2024/03/07 00:00,11.0,8.0,14.2
5909,2024/03/08 00:00,8.8,6.8,10.2
5909,2024/03/09 00:00,7.5,6.2,8.9
5909,2024/03/10 00:00,8.7,6.0,9.7
5909,2024/03/11 00:00,10.4,8.0,14.7
5909,2024/03/12 00:00,13.4,6.9,20.6
5909,2024/03/13 00:00,13.4,10.1,16.8
5909,2024/03/14 00:00,13.5,10.3,18.0
5909,2024/03/15 00:00,13.7,11.3,17.9
5909,2024/03/16 00:00,15.6,11.2,20.8
5909,2024/03/17 00:00,15.1,12.4,18.2
5909,2024/03/18 00:00,14.8,12.3,18.6
5909,2024/03/19 00:00,13.4,10.8,18.7
5909,2024/03/20 00:00,14.2,11.1,17.8
5909,2024/03/21 00:00,16.4,12.3,20.9
5909,2024/03/22 00:00,16.0,11.8,20.2
5909,2024/03/23 00:00,15.4,11.9,18.6
5909,2024/03/24 00:00,14.1,10.1,18.1
5909,2024/03/25 00:00,12.8,8.8,17.0
5909,2024/03/26 00:00,9.6,7.9,11.7
5909,2024/03/27 00:00,9.4,6.9,11.5
5909,2024/03/28 00:00,8.9,7.2,10.5
5909,2024/03/29 00:00,10.6,8.8,12.4
5909,2024/03/30 00:00,13.2,9.8,16.6
5909,2024/03/31 00:00,13.3,11.5,16.2
5909,2024/04/01 00:00,14.0,10.6,18.2
5909,2024/04/02 00:00,14.3,8.8,19.8
5909,2024/04/03 00:00,12.6,11.7,13.3
5909,2024/04/04 00:00,14.5,10.1,19.1
5909,2024/04/05 00:00,16.2,13.0,19.9
5909,2024/04/06 00:00,17.9,13.3,22.3
5909,2024/04/07 00:00,19.6,15.1,24.4
5909,2024/04/08 00:00,20.9,16.5,26.2
5909,2024/04/09 00:00,16.1,13.3,18.3
5909,2024/04/10 00:00,11.0,9.6,12.4
5909,2024/04/11 00:00,16.5,11.0,21.3
5909,2024/04/12 00:00,20.0,14.1,25.8
5909,2024/04/13 00:00,21.7,16.2,26.7
5909,2024/04/14 00:00,23.1,17.5,29.7
5909,2024/04/15 00:00,19.9,17.0,22.4
5909,2024/04/16 00:00,17.4,10.5,22.0
5909,2024/04/17 00:00,13.1,8.9,18.4
5909,2024/04/18 00:00,12.1,10.2,15.2
5909,2024/04/19 00:00,13.0,6.8,18.7
5909,2024/04/20 00:00,14.8,11.0,19.0
5909,2024/04/21 00:00,12.1,8.3,17.9
5909,2024/04/22 00:00,6.1,5.0,8.5
5909,2024/04/23 00:00,7.6,4.9,12.1
5909,2024/04/24 00:00,10.9,6.0,15.8
5909,2024/04/25 00:00,10.9,6.9,15.1
5909,2024/04/26 00:00,11.1,9.0,15.0
5909,2024/04/27 00:00,12.5,10.2,15.6
5909,2024/04/28 00:00,14.3,11.4,18.4
5909,2024/04/29 00:00,17.7,11.6,23.3
5909,2024/04/30 00:00,20.4,14.4,25.6
5909,2024/05/01 00:00,16.6,14.1,18.9
5909,2024/05/02 00:00,13.1,10.4,15.8
5909,2024/05/03 00:00,15.0,10.9,20.0
5909,2024/05/04 00:00,16.6,12.5,20.6
5909,2024/05/05 00:00,17.7,14.4,22.4
5909,2024/05/06 00:00,16.6,15.2,19.4
5909,2024/05/07 00:00,14.8,13.5,16.2
5909,2024/05/08 00:00,17.1,12.4,22.3
5909,2024/05/09 00:00,-999,-999,-999
5909,2024/05/10 00:00,-999,-999,-999
5909,2024/05/11 00:00,-999,-999,-999
5909,2024/05/12 00:00,-999,-999,-999
5909,2024/05/13 00:00,-999,-999,-999
5909,2024/05/14 00:00,19.0,16.3,22.7
5909,2024/05/15 00:00,14.5,13.8,15.7
5909,2024/05/16 00:00,14.9,13.3,17.3
5909,2024/05/17 00:00,16.9,12.4,21.0
5909,2024/05/18 00:00,19.0,14.8,23.4
5909,2024/05/19 00:00,20.3,15.4,24.8
5909,2024/05/20 00:00,19.0,15.2,23.1
5909,2024/05/21 00:00,18.6,14.5,24.1
5909,2024/05/22 00:00,17.8,15.3,23.4
5909,2024/05/23 00:00,16.4,14.4,19.2
5909,2024/05/24 00:00,-999,-999,-999
5909,2024/05/25 00:00,-999,-999,-999
5909,2024/05/26 00:00,-999,-999,-999
5909,2024/05/27 00:00,-999,-999,-999
5909,2024/05/28 00:00,-999,-999,-999
5909,2024/05/29 00:00,-999,-999,-999
5909,2024/05/30 00:00,-999,-999,-999
5909,2024/05/31 00:00,-999,-999,-999
5909,2024/06/01 00:00,20.4,14.8,25.7
5909,2024/06/02 00:00,19.6,14.9,25.8
5909,2024/06/03 00:00,19.6,15.5,24.3
5909,2024/06/04 00:00,20.9,17.1,25.4
5909,2024/06/05 00:00,22.2,18.5,26.5
5909,2024/06/06 00:00,23.2,19.0,27.6
5909,2024/06/07 00:00,23.8,20.0,28.1
5909,2024/06/08 00:00,24.1,21.4,27.2
5909,2024/06/09 00:00,23.7,19.1,27.5
5909,2024/06/10 00:00,22.8,18.7,27.9
5909,2024/06/11 00:00,20.8,16.4,24.6
5909,2024/06/12 00:00,18.8,15.5,24.2
5909,2024/06/13 00:00,19.5,15.7,23.6
5909,2024/06/14 00:00,20.6,17.2,23.7
5909,2024/06/15 00:00,20.9,18.8,23.4
5909,2024/06/16 00:00,22.5,18.2,27.1
5909,2024/06/17 00:00,24.4,19.3,28.9
5909,2024/06/18 00:00,26.3,21.5,30.2
5909,2024/06/19 00:00,27.3,23.4,31.4
5909,2024/06/20 00:00,26.3,24.2,29.2
5909,2024/06/21 00:00,24.0,21.1,27.6
5909,2024/06/22 00:00,23.2,18.4,28.9
5909,2024/06/23 00:00,18.6,17.0,20.6
5909,2024/06/24 00:00,19.9,17.3,22.5
5909,2024/06/25 00:00,20.5,18.0,23.7
5909,2024/06/26 00:00,22.4,18.5,26.9
5909,2024/06/27 00:00,25.5,20.0,30.6
5909,2024/06/28 00:00,27.5,22.0,32.3
5909,2024/06/29 00:00,27.9,24.8,30.6
5909,2024/06/30 00:00,25.8,23.0,29.0
5909,2024/07/01 00:00,24.5,21.6,29.1
5909,2024/07/02 00:00,25.1,20.1,30.8
5909,2024/07/03 00:00,20.0,17.4,22.2
5909,2024/07/04 00:00,23.0,18.2,27.1
5909,2024/07/05 00:00,25.3,20.4,29.5
5909,2024/07/06 00:00,25.6,22.4,28.6
5909,2024/07/07 00:00,24.9,21.9,29.1
5909,2024/07/08 00:00,25.8,21.2,29.8
5909,2024/07/09 00:00,28.1,23.2,32.1
5909,2024/07/10 00:00,29.5,24.6,33.3
5909,2024/07/11 00:00,29.9,25.7,33.7
5909,2024/07/12 00:00,25.7,22.4,29.0
5909,2024/07/13 00:00,26.3,22.7,30.5
5909,2024/07/14 00:00,27.1,22.8,31.6
5909,2024/07/15 00:00,29.0,23.6,33.3
5909,2024/07/16 00:00,29.3,25.6,33.2
5909,2024/07/17 00:00,29.0,24.6,33.3
5909,2024/07/18 00:00,30.4,25.9,34.5
5909,2024/07/19 00:00,29.3,26.0,33.9
5909,2024/07/20 00:00,27.6,22.1,32.5
5909,2024/07/21 00:00,28.0,24.1,31.9
5909,2024/07/22 00:00,28.6,24.2,33.0
5909,2024/07/23 00:00,29.1,25.3,32.9
5909,2024/07/24 00:00,29.1,25.8,33.1
5909,2024/07/25 00:00,28.9,25.6,32.5
5909,2024/07/26 00:00,29.2,25.1,33.3
5909,2024/07/27 00:00,29.4,25.6,32.9
5909,2024/07/28 00:00,31.0,26.6,35.2
5909,2024/07/29 00:00,29.4,24.5,33.4
