Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5911,2022/01/01 00:00,5.2,1.8,11.2
5911,2022/01/02 00:00,5.9,2.3,10.7
5911,2022/01/03 00:00,5.0,2.8,6.4
5911,2022/01/04 00:00,6.8,5.8,7.6
5911,2022/01/05 00:00,7.1,6.0,8.2
5911,2022/01/06 00:00,5.7,3.4,8.7
5911,2022/01/07 00:00,3.7,1.6,6.7
5911,2022/01/08 00:00,1.7,0.1,5.8
5911,2022/01/09 00:00,2.4,0.4,5.9
5911,2022/01/10 00:00,1.8,-0.2,5.8
5911,2022/01/11 00:00,4.0,-0.5,10.3
5911,2022/01/12 00:00,3.7,0.6,9.5
5911,2022/01/13 00:00,3.8,0.1,9.7
5911,2022/01/14 00:00,4.6,0.4,10.3
5911,2022/01/15 00:00,6.0,2.2,12.7
5911,2022/01/16 00:00,6.1,2.0,11.4
5911,2022/01/17 00:00,7.9,3.1,13.3
5911,2022/01/18 00:00,7.0,3.2,11.8
5911,2022/01/19 00:00,5.7,3.4,8.7
5911,2022/01/20 00:00,5.6,3.3,8.1
5911,2022/01/21 00:00,2.7,1.3,4.3
5911,2022/01/22 00:00,3.2,0.2,6.5
5911,2022/01/23 00:00,3.7,1.6,7.7
5911,2022/01/24 00:00,2.1,0.9,4.7
5911,2022/01/25 00:00,3.2,1.2,4.9
5911,2022/01/26 00:00,2.3,1.3,3.6
5911,2022/01/27 00:00,1.8,-0.1,5.3
5911,2022/01/28 00:00,6.3,-0.6,15.0
5911,2022/01/29 00:00,6.7,3.0,12.6
5911,2022/01/30 00:00,9.2,4.8,16.0
5911,2022/01/31 00:00,7.7,4.5,12.3
5911,2022/02/01 00:00,10.8,7.7,16.4
5911,2022/02/02 00:00,13.4,5.9,19.3
5911,2022/02/03 00:00,9.7,7.1,12.9
5911,2022/02/04 00:00,9.1,7.9,11.7
5911,2022/02/05 00:00,6.9,4.9,10.3
5911,2022/02/06 00:00,6.0,3.8,8.8
5911,2022/02/07 00:00,9.1,2.7,14.8
5911,2022/02/08 00:00,8.6,2.9,15.4
5911,2022/02/09 00:00,9.5,5.2,15.5
5911,2022/02/10 00:00,9.5,7.1,12.2
5911,2022/02/11 00:00,10.9,8.3,14.9
5911,2022/02/12 00:00,8.2,5.6,12.6
5911,2022/02/13 00:00,6.4,3.4,11.2
5911,2022/02/14 00:00,4.6,2.8,6.5
5911,2022/02/15 00:00,3.4,1.1,5.4
5911,2022/02/16 00:00,5.4,2.7,10.2
