stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
25-26,ATS_Brianza,NO2,2025,40,W40/2025,1,138,16.5779,7.4123,1.8750,31.8500,22.0164,14.3127
25-26,ATS_Brianza,NO2,2025,41,W41/2025,2,138,20.3243,8.7578,2.2500,37.9333,26.3976,17.6615
25-26,ATS_Brianza,NO2,2025,42,W42/2025,3,138,19.1819,7.6495,2.7167,35.2667,24.1170,16.8150
25-26,ATS_Brianza,NO2,2025,43,W43/2025,4,138,19.2037,8.6008,1.7667,33.7333,24.6337,16.3121
25-26,ATS_Brianza,NO2,2025,44,W44/2025,5,138,19.1966,7.9959,1.8500,34.0833,24.4712,16.4915
25-26,ATS_Brianza,NO2,2025,45,W45/2025,6,138,24.2087,9.1563,3.0714,39.5143,30.6373,21.2493
25-26,ATS_Brianza,NO2,2025,46,W46/2025,7,138,24.6346,10.1010,1.8571,41.2000,31.1952,21.2042
25-26,ATS_Brianza,NO2,2025,47,W47/2025,8,138,18.2534,7.2665,2.4714,31.0857,23.5462,15.9386
25-26,ATS_Brianza,NO2,2025,48,W48/2025,9,138,26.4415,11.7247,2.2400,49.4600,34.9087,22.6621
25-26,ATS_Brianza,NO2,2025,49,W49/2025,10,138,25.6230,10.6437,1.6667,41.0667,32.2229,21.6109
25-26,ATS_Brianza,NO2,2025,50,W50/2025,11,138,29.5659,11.8285,2.1750,50.6500,37.7158,25.6413
25-26,ATS_Brianza,NO2,2025,51,W51/2025,12,138,25.4797,9.7795,1.7571,40.5143,31.9401,22.0485
25-26,ATS_Brianza,NO2,2025,52,W52/2025,13,138,19.5089,6.9976,1.9400,30.0600,23.8412,16.8058
25-26,ATS_Brianza,NO2,2026,1,W01/2026,14,138,25.7071,11.7071,1.4750,39.9500,32.6902,21.2846
25-26,ATS_Brianza,NO2,2026,2,W02/2026,15,138,29.2990,13.2217,2.1400,48.3400,37.5943,24.4343
25-26,ATS_Brianza,NO2,2026,3,W03/2026,16,138,32.0967,12.9803,1.5857,46.5000,39.2508,27.0834
25-26,ATS_Brianza,NO2,2026,4,W04/2026,17,138,31.6228,10.4593,3.4600,42.5400,36.9203,27.2552
25-26,ATS_Brianza,NO2,2026,5,W05/2026,18,138,24.2442,10.0384,1.7200,38.1600,29.9369,20.3968
25-26,ATS_Brianza,NO2,2026,6,W06/2026,19,138,22.6671,8.7575,2.2800,35.6800,27.9393,19.4163
25-26,ATS_Brianza,NO2,2026,7,W07/2026,20,138,20.8071,8.2923,2.2600,33.7600,25.9669,17.6958
25-26,ATS_Brianza,NO2,2026,8,W08/2026,21,138,20.6592,9.3660,1.6833,37.3500,26.8734,17.4201
25-26,ATS_Brianza,NO2,2026,9,W09/2026,22,138,25.4770,8.9758,2.7333,38.1167,31.0824,22.3026
25-26,ATS_Brianza,NO2,2026,10,W10/2026,23,138,21.5610,7.5221,3.1500,32.5500,26.5067,18.9687
25-26,ATS_Brianza,NO2,2026,11,W11/2026,24,138,18.1066,6.7576,2.1600,27.2400,22.0455,15.5771
25-26,ATS_Brianza,NO2,2026,12,W12/2026,25,138,15.8490,6.5951,1.6400,26.4800,20.3183,13.5765
25-26,ATS_Brianza,NO2,2026,13,W13/2026,26,138,10.9555,5.6835,1.3600,26.6667,15.2921,9.4653
25-26,ATS_Brianza,NO2,2026,14,W14/2026,27,138,12.8013,6.8296,0.9143,28.8857,17.9170,10.8488
25-26,ATS_Brianza,NO2,2026,15,W15/2026,28,138,14.8409,5.4582,1.5000,24.7833,17.9922,12.8671
25-26,ATS_Brianza,NO2,2026,16,W16/2026,29,138,13.3328,5.6258,1.5400,25.4600,17.2629,11.5890
