stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Brianza,PM25,2023,40,W40/2023,1,138,18.2492,4.3239,7.0000,26.5143,21.3278,16.9775
23-24,ATS_Brianza,PM25,2023,41,W41/2023,2,138,15.1246,3.2308,6.0000,20.6429,16.9133,13.9917
23-24,ATS_Brianza,PM25,2023,42,W42/2023,3,138,9.8670,2.5888,3.2286,13.0000,11.0523,8.7794
23-24,ATS_Brianza,PM25,2023,43,W43/2023,4,138,8.5564,3.7080,1.5429,16.1143,11.3107,7.4323
23-24,ATS_Brianza,PM25,2023,44,W44/2023,5,138,5.2639,2.0484,1.1143,9.2857,6.7320,4.5695
23-24,ATS_Brianza,PM25,2023,45,W45/2023,6,138,8.2081,3.7720,1.3000,15.1143,10.7584,6.9131
23-24,ATS_Brianza,PM25,2023,46,W46/2023,7,138,12.8492,6.2141,1.2000,22.1714,16.6389,10.4865
23-24,ATS_Brianza,PM25,2023,47,W47/2023,8,138,15.8026,6.8977,1.6714,23.9429,19.5809,12.9212
23-24,ATS_Brianza,PM25,2023,48,W48/2023,9,138,11.5318,4.8365,1.6571,18.5714,14.0882,9.5353
23-24,ATS_Brianza,PM25,2023,49,W49/2023,10,138,18.2504,8.3512,1.8286,29.2571,23.0726,14.8650
23-24,ATS_Brianza,PM25,2023,50,W50/2023,11,138,19.3268,9.3110,1.7857,31.1000,25.0127,15.7933
23-24,ATS_Brianza,PM25,2023,51,W51/2023,12,138,16.3707,9.1409,1.6429,31.8000,23.2830,13.6689
23-24,ATS_Brianza,PM25,2023,52,W52/2023,13,138,22.7328,8.7607,3.6571,33.1286,26.5417,18.8022
23-24,ATS_Brianza,PM25,2024,1,W01/2024,14,137,16.7874,6.6674,1.9000,28.0714,21.4051,14.3341
23-24,ATS_Brianza,PM25,2024,2,W02/2024,15,137,19.3469,7.1727,4.2571,30.0143,24.0256,16.7290
23-24,ATS_Brianza,PM25,2024,3,W03/2024,16,138,24.4352,9.5393,3.5143,36.7286,30.4628,20.7320
23-24,ATS_Brianza,PM25,2024,4,W04/2024,17,138,35.8916,16.6710,1.6857,57.1429,46.4377,29.6047
23-24,ATS_Brianza,PM25,2024,5,W05/2024,18,138,34.4651,15.2322,3.7429,54.2857,44.2476,28.7289
23-24,ATS_Brianza,PM25,2024,6,W06/2024,19,138,19.7072,6.9806,3.4000,29.1286,24.0110,16.9783
23-24,ATS_Brianza,PM25,2024,7,W07/2024,20,138,34.8022,13.6946,6.7429,54.5143,43.7302,29.7725
23-24,ATS_Brianza,PM25,2024,8,W08/2024,21,138,24.5788,9.9400,3.4286,38.0429,31.0035,20.9651
23-24,ATS_Brianza,PM25,2024,9,W09/2024,22,138,6.9425,1.9725,2.0143,10.8286,8.3692,6.2881
23-24,ATS_Brianza,PM25,2024,10,W10/2024,23,138,9.4837,2.2616,3.1429,13.2571,10.9304,8.6277
23-24,ATS_Brianza,PM25,2024,11,W11/2024,24,138,12.7587,3.3764,4.2000,18.7857,14.9858,11.5430
23-24,ATS_Brianza,PM25,2024,12,W12/2024,25,138,21.8173,5.6952,7.4286,29.5571,25.4371,19.6821
23-24,ATS_Brianza,PM25,2024,13,W13/2024,26,138,9.5213,2.5741,3.0000,14.2571,11.3167,8.6360
23-24,ATS_Brianza,PM25,2024,14,W14/2024,27,138,8.4982,1.7772,3.0714,11.0143,9.3520,7.7904
23-24,ATS_Brianza,PM25,2024,15,W15/2024,28,138,14.2458,2.9719,6.8857,19.0714,15.8765,13.2162
23-24,ATS_Brianza,PM25,2024,16,W16/2024,29,138,5.5965,0.8870,3.3571,7.4857,6.1973,5.3809
