stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
24-25,ATS_Brianza,PM25,2024,40,W40/2024,1,138,7.7934,1.5009,3.5000,11.1143,8.7590,7.3083
24-25,ATS_Brianza,PM25,2024,41,W41/2024,2,138,6.5529,2.5273,1.9429,11.6429,8.3646,5.7480
24-25,ATS_Brianza,PM25,2024,42,W42/2024,3,138,7.8864,3.2120,1.3143,14.3571,10.1707,6.8250
24-25,ATS_Brianza,PM25,2024,43,W43/2024,4,138,11.8847,3.5192,2.6714,16.3571,13.8342,10.4438
24-25,ATS_Brianza,PM25,2024,44,W44/2024,5,138,15.3960,5.4302,4.9286,24.7286,18.9821,13.6284
24-25,ATS_Brianza,PM25,2024,45,W45/2024,6,138,25.1959,8.4755,7.9286,40.7571,31.5113,22.6657
24-25,ATS_Brianza,PM25,2024,46,W46/2024,7,138,27.1987,10.0524,7.1000,40.5286,33.6450,23.4905
24-25,ATS_Brianza,PM25,2024,47,W47/2024,8,138,16.8154,7.1674,1.4571,26.7571,21.5281,14.1487
24-25,ATS_Brianza,PM25,2024,48,W48/2024,9,138,22.5482,8.8367,4.2286,33.7857,27.7498,19.0623
24-25,ATS_Brianza,PM25,2024,49,W49/2024,10,138,22.0696,9.4895,4.1571,37.0429,28.7220,18.8480
24-25,ATS_Brianza,PM25,2024,50,W50/2024,11,138,25.5326,8.5806,7.1000,35.8714,30.5886,22.1118
24-25,ATS_Brianza,PM25,2024,51,W51/2024,12,138,18.1784,8.9933,2.4143,30.6857,24.0472,14.9980
24-25,ATS_Brianza,PM25,2024,52,W52/2024,13,138,12.1781,7.0000,0.9429,27.5429,17.4592,10.3352
24-25,ATS_Brianza,PM25,2025,1,W01/2025,14,138,36.6637,16.5016,6.4143,64.6857,48.0941,31.2095
24-25,ATS_Brianza,PM25,2025,2,W02/2025,15,138,15.1922,5.4189,3.1429,22.7286,18.6437,13.0948
24-25,ATS_Brianza,PM25,2025,3,W03/2025,16,138,22.1253,7.5996,5.8714,32.8000,27.0039,19.2429
24-25,ATS_Brianza,PM25,2025,4,W04/2025,17,138,13.8738,4.0159,3.4714,20.4429,16.3245,12.2489
24-25,ATS_Brianza,PM25,2025,5,W05/2025,18,138,11.5024,4.0538,2.6000,20.1143,14.4658,10.1936
24-25,ATS_Brianza,PM25,2025,6,W06/2025,19,138,23.2400,7.0654,6.6286,33.4286,27.7833,20.5243
24-25,ATS_Brianza,PM25,2025,7,W07/2025,20,138,17.5848,5.2236,4.4000,25.0143,20.9483,15.5556
24-25,ATS_Brianza,PM25,2025,8,W08/2025,21,138,39.3716,9.9968,11.4143,50.2429,44.6889,35.1401
24-25,ATS_Brianza,PM25,2025,9,W09/2025,22,138,27.4572,7.7745,7.1143,37.2286,32.1306,24.2861
24-25,ATS_Brianza,PM25,2025,10,W10/2025,23,138,25.4671,5.4905,13.0286,35.4571,29.4205,23.6927
24-25,ATS_Brianza,PM25,2025,11,W11/2025,24,138,9.4150,2.2783,2.7143,13.2000,10.8629,8.5637
24-25,ATS_Brianza,PM25,2025,12,W12/2025,25,138,18.2537,3.7333,6.9286,23.2429,20.2475,16.6914
24-25,ATS_Brianza,PM25,2025,13,W13/2025,26,138,10.0946,2.2457,4.6714,14.8286,11.7367,9.4798
24-25,ATS_Brianza,PM25,2025,14,W14/2025,27,138,14.7691,1.7612,9.4833,17.6167,15.5616,14.1713
24-25,ATS_Brianza,PM25,2025,15,W15/2025,28,2,,,,,,
24-25,ATS_Brianza,PM25,2025,16,W16/2025,29,138,6.8090,1.1421,3.6000,9.6000,7.6241,6.4920
