Variabile,Coef_medio,Coef_std,Importanza
ILI_NORM_lag1,1.0326,0.0975,1.0326
PM25_lag1,-0.6057,0.2886,0.6057
PM10_lag1,0.551,0.2924,0.551
TEMP_lag2,-0.2491,0.1004,0.2491
NO2_lag1,0.0921,0.0685,0.0921
HUMIDITY_lag1,-0.0715,0.0396,0.0715
