ATS,Stagione_test,R2,Alpha_scelto
ATS Milano (pianura padana),22-23,0.2819,1.0
ATS Milano (pianura padana),23-24,0.7285,1.0
ATS Milano (pianura padana),24-25,0.7372,1.0
ATS Milano (pianura padana),25-26,0.726,0.1
