Settimana,Milano Pascal Città Studi,Milano v.Marche,Milano v.Senato
48,25.71,35.29,26.14
49,34.0,44.71,29.29
50,28.57,38.43,28.0
51,26.29,34.57,29.5
52,25.14,30.86,28.71
1,56.71,74.29,67.0
2,20.0,24.43,20.71
3,30.43,35.43,29.43
4,17.0,21.0,17.71
5,17.57,20.14,18.86
6,29.0,35.29,32.0
7,21.43,26.86,23.14
8,41.57,47.71,44.71
9,32.57,38.0,37.43
10,33.0,37.57,35.71
11,10.29,15.4,12.0
12,18.43,22.71,20.43
13,11.57,13.86,14.0
14,12.57,15.57,17.14
15,13.0,15.57,16.43
