Settimana,Milano Pascal Città Studi,Milano v.Marche,Milano v.Senato
48,13.0,14.57,19.71
49,24.57,28.57,33.29
50,28.29,34.0,38.86
51,31.57,34.14,37.43
52,26.8,32.0,34.29
1,20.43,23.43,26.43
2,25.14,25.86,31.86
3,30.29,33.86,37.43
4,47.57,55.29,61.43
5,46.86,51.57,54.29
6,26.14,31.43,34.71
7,48.43,51.29,63.86
8,37.0,41.14,43.71
9,8.86,9.86,14.0
10,9.43,11.14,13.86
11,13.86,14.29,20.29
12,21.57,26.29,28.86
13,10.29,11.71,15.71
14,7.43,7.5,11.86
15,14.29,15.57,21.71
