Settimana,Milano Pascal Città Studi,Milano v.Marche,Milano v.Senato
48,25.86,32.0,30.0
49,27.43,35.0,32.71
50,35.43,41.14,39.71
51,31.57,32.57,31.43
52,15.71,16.57,18.0
1,46.57,61.71,45.71
2,32.71,36.71,34.14
3,39.0,44.43,40.71
4,31.29,36.29,33.57
5,25.86,30.71,29.14
6,22.29,24.71,25.43
7,17.57,20.14,20.86
8,15.43,18.57,19.0
9,34.43,39.71,37.57
10,37.0,40.86,42.0
11,29.14,40.0,33.14
12,12.86,15.0,15.43
13,13.0,12.86,11.4
14,9.29,9.71,12.67
15,11.71,12.14,14.71
