"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"014001","Albaredo per San Marco","69","70","7","9","","","","155","54","59","4","19","","","","136","291"
"014002","Albosaggia","705","704","58","43","","","","1510","553","686","57","205","","","","1501","3011"
"014003","Andalo Valtellino","155","135","6","10","","","","306","114","136","11","30","","","","291","597"
"014004","Aprica","375","322","20","21","","","","738","302","324","29","102","","","","757","1495"
"014005","Ardenno","791","751","51","37","","","","1630","579","771","45","197","","","","1592","3222"
"014006","Bema","30","22","5","2","","","","59","23","24","3","8","","","","58","117"
"014007","Berbenno di Valtellina","984","959","59","43","","","","2045","742","959","70","262","","","","2033","4078"
"014008","Bianzone","293","293","32","18","","","","636","231","299","31","65","","","","626","1262"
"014009","Bormio","947","907","54","45","","","","1953","784","918","72","263","","","","2037","3990"
"014010","Buglio in Monte","484","454","23","29","","","","990","353","463","22","139","","","","977","1967"
"014011","Caiolo","247","231","28","21","","","","527","212","224","21","64","","","","521","1048"
"014012","Campodolcino","240","201","13","12","","","","466","176","193","18","75","","","","462","928"
"014013","Caspoggio","310","330","16","6","","","","662","263","310","7","100","","","","680","1342"
"014014","Castello dell'Acqua","145","138","20","4","","","","307","103","134","13","58","","","","308","615"
"014015","Castione Andevenno","372","356","24","19","","","","771","291","344","33","94","","","","762","1533"
"014016","Cedrasco","93","93","10","7","","","","203","83","89","11","36","","","","219","422"
"014017","Cercino","200","181","6","10","","","","397","159","181","6","39","","","","385","782"
"014018","Chiavenna","1619","1555","137","108","","","","3419","1465","1584","190","577","","","","3816","7235"
"014019","Chiesa in Valmalenco","551","538","34","33","","","","1156","455","512","29","198","","","","1194","2350"
"014020","Chiuro","526","538","48","40","","","","1152","484","556","43","191","","","","1274","2426"
"014021","Cino","81","83","5","6","","","","175","57","79","4","18","","","","158","333"
"014022","Civo","259","281","21","16","","","","577","185","268","12","76","","","","541","1118"
"014023","Colorina","376","301","19","21","","","","717","236","294","27","116","","","","673","1390"
"014024","Cosio Valtellino","1367","1233","86","59","","","","2745","1029","1246","118","344","","","","2737","5482"
"014025","Dazio","98","111","13","4","","","","226","103","111","12","30","","","","256","482"
"014026","Delebio","864","760","39","33","","","","1696","609","739","60","227","","","","1635","3331"
"014027","Dubino","921","866","57","37","","","","1881","750","855","65","201","","","","1871","3752"
"014028","Faedo Valtellino","129","110","12","8","","","","259","71","108","10","55","","","","244","503"
"014029","Forcola","189","170","14","10","","","","383","139","175","6","62","","","","382","765"
"014030","Fusine","143","115","13","7","","","","278","101","117","9","48","","","","275","553"
"014031","Gerola Alta","49","47","1","1","","","","98","21","38","0","4","","","","63","161"
"014032","Gordona","467","456","26","18","","","","967","375","458","34","102","","","","969","1936"
"014033","Grosio","974","1025","46","53","","","","2098","834","1029","48","362","","","","2273","4371"
"014034","Grosotto","385","366","22","33","","","","806","325","370","26","110","","","","831","1637"
"014035","Madesimo","135","119","16","4","","","","274","100","102","13","41","","","","256","530"
"014036","Lanzada","350","278","16","13","","","","657","217","272","18","92","","","","599","1256"
"014037","Livigno","2075","1328","75","44","","","","3522","1709","1303","82","195","","","","3289","6811"
"014038","Lovero","163","132","16","10","","","","321","128","135","11","32","","","","306","627"
"014039","Mantello","175","169","9","12","","","","365","155","172","17","44","","","","388","753"
"014040","Mazzo di Valtellina","248","238","10","18","","","","514","191","252","23","48","","","","514","1028"
"014041","Mello","219","226","19","13","","","","477","165","223","10","53","","","","451","928"
"014043","Mese","464","404","22","16","","","","906","367","423","27","101","","","","918","1824"
"014044","Montagna in Valtellina","643","679","64","39","","","","1425","569","699","68","202","","","","1538","2963"
"014045","Morbegno","2875","2721","185","160","","","","5941","2411","2782","311","782","","","","6286","12227"
"014046","Novate Mezzola","442","421","42","18","","","","923","370","432","40","118","","","","960","1883"
"014047","Pedesina","8","9","1","1","","","","19","5","7","1","3","","","","16","35"
"014048","Piantedo","336","338","13","15","","","","702","297","319","9","88","","","","713","1415"
"014049","Piateda","450","489","27","25","","","","991","403","484","46","149","","","","1082","2073"
"014050","Piuro","454","438","29","23","","","","944","375","447","28","107","","","","957","1901"
"014051","Poggiridenti","419","400","35","25","","","","879","359","400","48","133","","","","940","1819"
"014052","Ponte in Valtellina","525","506","51","37","","","","1119","406","511","47","172","","","","1136","2255"
"014053","Postalesio","150","154","22","6","","","","332","127","152","13","35","","","","327","659"
"014054","Prata Camportaccio","736","655","39","34","","","","1464","563","663","53","175","","","","1454","2918"
"014055","Rasura","74","71","2","4","","","","151","41","75","5","19","","","","140","291"
"014056","Rogolo","144","127","9","5","","","","285","100","128","9","39","","","","276","561"
"014057","Samolaco","680","649","37","42","","","","1408","594","653","52","179","","","","1478","2886"
"014058","San Giacomo Filippo","96","80","12","1","","","","189","64","82","4","30","","","","180","369"
"014059","Sernio","124","99","11","7","","","","241","95","99","8","32","","","","234","475"
"014060","Sondalo","994","769","81","69","","","","1913","785","784","103","345","","","","2017","3930"
"014061","Sondrio","4793","4421","435","317","1","0","0","9967","4315","4593","694","1618","5","0","0","11225","21192"
"014062","Spriana","22","11","4","1","","","","38","21","12","1","7","","","","41","79"
"014063","Talamona","1073","1079","67","54","","","","2273","858","1109","70","313","","","","2350","4623"
"014064","Tartano","45","52","6","6","","","","109","31","36","2","18","","","","87","196"
"014065","Teglio","1023","978","88","64","","","","2153","811","985","89","372","","","","2257","4410"
"014066","Tirano","2057","1884","171","124","","","","4236","1710","1986","252","639","","","","4587","8823"
"014067","Torre di Santa Maria","188","154","16","11","","","","369","130","160","8","78","","","","376","745"
"014068","Tovo di Sant'Agata","161","137","12","7","","","","317","118","135","10","46","","","","309","626"
"014069","Traona","739","624","58","32","","","","1453","571","641","52","125","","","","1389","2842"
"014070","Tresivio","492","437","45","25","","","","999","372","443","53","144","","","","1012","2011"
"014071","Valdidentro","1031","959","58","42","","","","2090","810","981","42","211","","","","2044","4134"
"014072","Valdisotto","941","800","36","40","","","","1817","739","802","51","185","","","","1777","3594"
"014073","Valfurva","635","554","26","25","","","","1240","500","552","28","178","","","","1258","2498"
"014074","Val Masino","211","209","12","12","","","","444","123","197","12","65","","","","397","841"
"014075","Verceia","258","230","22","12","","","","522","193","235","25","88","","","","541","1063"
"014076","Vervio","54","44","5","0","","","","103","39","43","4","13","","","","99","202"
"014077","Villa di Chiavenna","250","232","5","16","","","","503","171","224","7","62","","","","464","967"
"014078","Villa di Tirano","734","640","69","41","","","","1484","584","635","64","229","","","","1512","2996"
