Variabile,Lag_ottimale_Pearson,r_Pearson_medio_ottimale,Lag_ottimale_Spearman,rho_Spearman_medio_ottimale,Lag_concordano
HUMIDITY,0,0.41827299467722723,0,0.4130350443557105,True
NO2,1,0.29234734822526015,2,0.43871080170772714,False
PM10,8,0.2497455573456751,8,0.3411634379844027,True
PM25,8,0.2805065964265356,8,0.33152200577696805,True
TEMPERATURE,3,0.46566078981320097,2,0.5439651664886442,False
